> PRN,"	                    time","	            C1C","	            L1C","	            S1C","	            C2L","	            L2L","	            S2L","	            C5Q","	            L5Q","	            S5Q","	            C1L","	            L1L","	            S1L","	            C1Z","	            L1Z","	            S1Z","	            C5P	            L5P","	            S5P",
  J02, 2025-01-18 01:09:00.000,41180230,216403566.3,34.031,41180232.99,168626174.1,34.906,               ,               ,               ,41180230.01,216403569.3,34.156,41180227.04,216403550,35.094,               ,               ,               
  J02, 2025-01-18 01:09:30.000,41183122.18,216418768,33.594,41183125.8,168638019.4,34.844,               ,               ,               ,41183122.58,216418771,34,41183119.77,216418751.6,34.719,               ,               ,               
  J02, 2025-01-18 01:10:00.000,41186021.16,216433999.9,33.219,41186024.91,168649888.3,34.188,               ,               ,               ,41186020.83,216434002.9,34.062,41186017.56,216433983.5,34.031,               ,               ,               
  J02, 2025-01-18 01:10:30.000,41188925.25,216449260,33.094,41188929.29,168661779.2,33.844,               ,               ,               ,41188925.57,216449263,33.531,41188921.98,216449243.7,34.312,               ,               ,               
  J02, 2025-01-18 01:11:00.000,41191834.89,216464550.7,33.094,41191838.87,168673693.9,34.25,               ,               ,               ,41191835.06,216464553.7,34.125,41191831.49,216464534.4,34.062,               ,               ,               
  J02, 2025-01-18 01:11:30.000,41194750.98,216479872.8,32.469,41194754.27,168685633,34.531,               ,               ,               ,41194750.69,216479875.8,33.031,41194746.51,216479856.4,33.375,               ,               ,               
  J02, 2025-01-18 01:12:00.000,41197673.01,216495222.9,32.5,41197675.47,168697594,35.625,               ,               ,               ,41197672.1,216495225.9,33.125,41197668.23,216495206.5,33.188,               ,               ,               
  J02, 2025-01-18 01:12:30.000,41200598.56,216510600.3,31.625,41200601.85,168709576.3,35.375,               ,               ,               ,41200598.08,216510603.3,32.156,41200593.97,216510584,32.938,               ,               ,               
  J02, 2025-01-18 01:13:00.000,41203530.72,216526011.7,31.094,41203535.17,168721585,36.312,               ,               ,               ,41203530.84,216526014.7,31.25,41203527,216525995.3,32.375,               ,               ,               
  J02, 2025-01-18 01:13:30.000,41206468.4,216541449.9,30.719,41206474,168733614.6,36.719,               ,               ,               ,41206468.68,216541452.9,30.375,41206464.57,216541433.6,31.344,               ,               ,               
  J02, 2025-01-18 01:14:00.000,41209412.53,216556918.3,29.062,41209417.17,168745667.8,36.094,               ,               ,               ,41209411.13,216556921.3,29.844,41209407.58,216556902,30.312,               ,               ,               
  J02, 2025-01-18 01:14:30.000,41212361.76,216572416.4,30.406,41212366.3,168757744.1,35.906,               ,               ,               ,41212361.61,216572419.4,30.875,41212357.85,216572400.1,30.812,               ,               ,               
  J02, 2025-01-18 01:15:00.000,41215316.73,216587945.4,30.906,41215321.09,168769844.5,36.531,               ,               ,               ,41215316.43,216587948.4,30.938,41215313.79,216587929,31.5,               ,               ,               
  J02, 2025-01-18 01:15:30.000,41218275.25,216603496.9,30.531,41218280.91,168781962.4,35.938,               ,               ,               ,41218276.59,216603500,30.75,41218273.12,216603480.6,31.25,               ,               ,               
  J02, 2025-01-18 01:16:00.000,41221242.03,216619085.1,31.469,41221247.55,168794108.9,36.75,               ,               ,               ,41221242.79,216619088.1,31.469,41221239.24,216619068.7,32.125,               ,               ,               
  J02, 2025-01-18 01:16:30.000,41224213.5,216634698.7,32.531,41224218.69,168806275.3,37.062,               ,               ,               ,41224214.65,216634701.8,32.375,41224211.13,216634682.4,33.406,               ,               ,               
  J02, 2025-01-18 01:17:00.000,41227191.1,216650343.1,31.75,41227195.86,168818465.5,36.219,               ,               ,               ,41227191.03,216650346.1,31.875,41227187.84,216650326.7,32.406,               ,               ,               
  J02, 2025-01-18 01:17:30.000,41230172.79,216666014.6,32.594,41230177.59,168830677,35.875,               ,               ,               ,41230173.37,216666017.6,32.781,41230170.07,216665998.2,33.25,               ,               ,               
  J02, 2025-01-18 01:18:00.000,41233161.16,216681716.4,32.688,41233166.15,168842912,35.5,               ,               ,               ,41233161.58,216681719.4,33.188,41233158.29,216681700,33.906,               ,               ,               
