> PRN,"	                    time","	            C1C","	            L1C","	            S1C","	            C2L","	            L2L","	            S2L","	            C5Q","	            L5Q","	            S5Q","	            C1L","	            L1L","	            S1L","	            C1Z","	            L1Z","	            S1Z","	            C5P	            L5P","	            S5P",
  J02, 2025-01-07 02:36:00.000,41435764.9,               ,38.75,41435771.99,169672554.4,39.312,41435770.82,162602863.1,34.219,41435765,217746414.6,39,41435761.77,217746394.6,39.125,               ,               ,               
  J02, 2025-01-07 02:36:30.000,41439091.72,217763896,38.688,41439099.47,169686177.8,39.031,41439097.86,162615918.9,34.062,41439092.05,217763898,38.719,41439088.87,217763878,39.188,41439094.14,162615903.8,30.562
  J02, 2025-01-07 02:37:00.000,41442422.8,217781399.4,38.281,41442430.82,169699816.8,38.969,41442428.19,162628989.6,34,41442422.61,217781401.4,38.562,41442419.43,217781381.5,38.906,41442424.44,162628974.5,29.875
  J02, 2025-01-07 02:37:30.000,41445757.46,217798925,38.25,41445765.2,169713473.1,38.906,41445763.71,162642076.8,33.656,41445757.53,217798927,38.375,41445754.15,217798907.1,38.469,41445759.58,162642061.7,30.344
  J02, 2025-01-07 02:38:00.000,41449096.55,217816470.9,38.375,41449104.12,169727145.2,39,41449102.65,162655179.3,33.938,41449096.43,217816472.9,38.25,41449092.83,217816453,38.625,41449098.67,162655164.1,30.812
  J02, 2025-01-07 02:38:30.000,41452439.24,217834038.1,38.406,41452447.55,169740833.9,38.844,41452445.35,162668297.6,33.969,41452439.68,217834040.1,38.562,41452436.09,217834020.2,38.938,41452441.94,162668282.5,30.5
  J02, 2025-01-07 02:39:00.000,41455786.4,217851627.2,38.344,41455794.55,169754539.6,39.406,41455792.37,162681432.2,34.188,41455786.77,217851629.2,38.281,41455783.54,217851609.2,38.688,41455789.03,162681417.1,31.125
  J02, 2025-01-07 02:39:30.000,41459137.56,217869239.3,37.656,41459145.66,169768263.3,39.438,41459143.92,162694584.1,34.25,41459138.13,217869241.3,38.344,41459134.44,217869221.3,38.344,41459140.52,162694568.9,31.438
  J02, 2025-01-07 02:40:00.000,41462493.37,217886870.9,37.094,41462501.48,169782002.2,38.5,41462499.33,162707750.5,34.219,41462493.09,217886872.9,37.781,41462489.24,217886852.9,38.062,41462496.02,162707735.3,31.25
  J02, 2025-01-07 02:40:30.000,41465852.47,217904519.4,36.688,41465859.85,169795754.3,38.875,41465858.04,162720929.5,34.906,41465851.66,217904521.4,37.188,41465847.59,217904501.5,37.406,41465854.83,162720914.4,31.531
  J02, 2025-01-07 02:41:00.000,41469214.4,217922192.7,36.938,41469222.93,169809525.6,39.719,41469221.2,162734127.1,35.219,41469214.54,217922194.7,36.906,41469210.75,217922174.8,37.531,41469217.73,162734112,32.281
  J02, 2025-01-07 02:41:30.000,41472581.69,217939885.6,37.062,41472589.57,169823312.3,40.406,41472587.9,162747339.3,35.312,41472581.39,217939887.6,37.25,41472577.72,217939867.7,37.562,41472585.24,162747324.2,31.812
  J02, 2025-01-07 02:42:00.000,41475951.51,217957595.9,37.5,41475959.78,169837112.5,41.094,41475958.42,162760564.5,35.156,41475951.76,217957597.9,37.656,41475948.15,217957578,38.125,41475955.43,162760549.4,32.156
