> PRN,"	                    time","	            C1C","	            L1C","	            S1C","	            C2L","	            L2L","	            S2L","	            C5Q","	            L5Q","	            S5Q","	            C1L","	            L1L","	            S1L","	            C1Z","	            L1Z","	            S1Z","	            C5P	            L5P","	            S5P",
  J02, 2025-01-20 00:22:30.000,40974536.51,               ,32.156,               ,               ,               ,               ,               ,               ,               ,               ,               ,40974533.57,215322624.4,32.562,               ,               ,               
  J02, 2025-01-20 00:23:00.000,40976980.32,               ,30.438,               ,               ,               ,               ,               ,               ,               ,               ,               ,40976976.62,215335474.1,31.25,               ,               ,               
  J02, 2025-01-20 00:23:30.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,40979429.12,215348354,32,               ,               ,               
  J02, 2025-01-20 00:24:00.000,40981890.7,               ,32.688,               ,               ,               ,               ,               ,               ,               ,               ,               ,40981886.77,215361264.2,33.031,               ,               ,               
  J02, 2025-01-20 00:24:30.000,40984352.46,               ,32.281,               ,               ,               ,               ,               ,               ,               ,               ,               ,40984348.87,215374205.1,32.688,               ,               ,               
  J02, 2025-01-20 00:25:00.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,40986820.73,215387187.1,31.438,40986817.47,215387175.5,32.062,               ,               ,               
  J02, 2025-01-20 00:25:30.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,40989294.8,215400190.6,30.938,40989291.04,215400179.1,31.406,               ,               ,               
  J02, 2025-01-20 00:26:00.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,40991774.37,215413223.2,30.531,40991769.63,215413211.7,30.125,               ,               ,               
  J02, 2025-01-20 00:26:30.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,40994259.58,215426286.6,28.219,40994253.19,215426275.1,27.125,               ,               ,               
  J02, 2025-01-20 00:27:00.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,40996751.86,215439380.7,25.438,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:27:30.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,40999249.87,215452506.8,25.844,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:28:00.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,41001748.68,               ,22.688,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:28:30.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,41004260.43,               ,22.594,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:29:00.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,41006776.74,               ,23.938,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:29:30.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,41009298.55,               ,25.438,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:30:00.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,41011826.49,               ,24.781,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:30:30.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,41014359.84,               ,25.062,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:31:00.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,41016898.16,               ,26.656,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:31:30.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,41019443.45,               ,28.406,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:32:00.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,41021993.47,               ,29.031,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:32:30.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,41024549.31,               ,28.188,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:33:00.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,41027112.86,               ,29.25,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:33:30.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,41029681.69,               ,30.281,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:34:00.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,41032254.05,               ,29.531,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:34:30.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,41034833.91,               ,28.969,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:35:00.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,41037419.39,               ,29.094,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:35:30.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,41040009.26,               ,27.562,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:36:00.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,41042608.09,               ,28.312,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:36:30.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,41045213.24,               ,30.25,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:37:00.000,               ,               ,               ,               ,               ,               ,               ,               ,               ,41047824.05,               ,32.031,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:37:30.000,41050438.82,215721526.2,32.688,               ,               ,               ,               ,               ,               ,41050440.5,               ,32.469,41050436.67,215721503.7,33.406,               ,               ,               
  J02, 2025-01-20 00:38:00.000,41053059.77,215735301.6,31.969,               ,               ,               ,               ,               ,               ,41053061.16,               ,32.25,41053057.94,215735279.1,33.219,               ,               ,               
  J02, 2025-01-20 00:38:30.000,41055687.5,215749108.6,31.375,               ,               ,               ,               ,               ,               ,41055688.62,               ,31.312,41055684.86,215749086.1,32.469,               ,               ,               
  J02, 2025-01-20 00:39:00.000,41058320.13,215762947.5,30.156,               ,               ,               ,               ,               ,               ,41058321.32,               ,30.531,41058317.68,215762925,31.281,               ,               ,               
  J02, 2025-01-20 00:39:30.000,41060958.87,215776815.3,28.625,               ,               ,               ,               ,               ,               ,41060958.58,               ,28.625,41060954.96,215776792.9,29.25,               ,               ,               
  J02, 2025-01-20 00:40:00.000,41063606.08,215790716.4,27.406,               ,               ,               ,               ,               ,               ,41063602.46,               ,28.156,41063598.78,215790694,28.625,               ,               ,               
  J02, 2025-01-20 00:40:30.000,41066255.63,215804647.1,29.594,               ,               ,               ,               ,               ,               ,41066255.49,               ,29.625,41066251.41,215804624.6,30.281,               ,               ,               
  J02, 2025-01-20 00:41:00.000,41068912.69,215818608.4,30.5,               ,               ,               ,               ,               ,               ,41068912.15,               ,30.938,41068908.2,215818585.9,31.188,               ,               ,               
  J02, 2025-01-20 00:41:30.000,41071575.19,215832603.3,30.656,               ,               ,               ,               ,               ,               ,41071575.33,               ,30.656,41071571.93,215832580.9,31.75,               ,               ,               
  J02, 2025-01-20 00:42:00.000,41074244.69,215846625.8,30.5,               ,               ,               ,               ,               ,               ,41074243.13,               ,30.875,41074239.42,215846603.3,32.062,               ,               ,               
  J02, 2025-01-20 00:42:30.000,41076919.49,215860681.9,31.562,               ,               ,               ,               ,               ,               ,41076918.48,               ,31.906,41076914.69,215860659.4,33.125,               ,               ,               
  J02, 2025-01-20 00:43:00.000,41079600.76,215874769.2,31.906,               ,               ,               ,               ,               ,               ,41079598.61,               ,32.406,41079595.32,215874746.7,33.125,               ,               ,               
  J02, 2025-01-20 00:43:30.000,41082286.68,215888885.4,32,               ,               ,               ,               ,               ,               ,41082285.2,               ,31.875,41082281.6,215888863,32.719,               ,               ,               
  J02, 2025-01-20 00:44:00.000,41084978.17,215903034,33.781,               ,               ,               ,               ,               ,               ,41084978.13,               ,33.594,41084974.9,215903011.5,34.656,               ,               ,               
  J02, 2025-01-20 00:44:30.000,41087676.94,215917212.1,34.031,               ,               ,               ,               ,               ,               ,41087676.5,215917194.1,34.219,41087673.01,215917189.6,34.719,               ,               ,               
  J02, 2025-01-20 00:45:00.000,41090380.68,215931423.5,33.375,               ,               ,               ,               ,               ,               ,41090380.56,215931405.6,33.969,41090377.39,215931401.1,34,               ,               ,               
  J02, 2025-01-20 00:45:30.000,41093089.86,215945663.4,33.312,               ,               ,               ,               ,               ,               ,41093090.61,215945645.4,33.594,41093086.85,215945640.9,34.438,               ,               ,               
  J02, 2025-01-20 00:46:00.000,41095807.32,215959937.6,31.688,               ,               ,               ,               ,               ,               ,41095805.84,215959919.6,32.688,41095802.37,215959915.1,32.562,               ,               ,               
  J02, 2025-01-20 00:46:30.000,41098529.49,215974240.2,30.656,               ,               ,               ,               ,               ,               ,41098528.25,215974222.2,31.562,41098524.83,215974217.8,32.188,               ,               ,               
  J02, 2025-01-20 00:47:00.000,41101256.35,215988574.9,29.781,               ,               ,               ,               ,               ,               ,41101255.96,215988556.9,31,41101252.06,215988552.4,31.031,               ,               ,               
  J02, 2025-01-20 00:47:30.000,41103990.31,216002940.2,30.094,               ,               ,               ,               ,               ,               ,41103990,216002922.2,30.188,41103985.83,216002917.7,31.125,               ,               ,               
  J02, 2025-01-20 00:48:00.000,41106728.14,216017335.3,29.125,               ,               ,               ,               ,               ,               ,41106729.24,216017317.3,29.562,41106725.82,216017312.8,29.719,               ,               ,               
  J02, 2025-01-20 00:48:30.000,41109475.63,216031762.2,29.094,               ,               ,               ,               ,               ,               ,41109473.5,216031744.1,29.344,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:49:00.000,41112226.11,216046220.3,30.656,               ,               ,               ,               ,               ,               ,41112226.38,216046202.3,30.219,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:49:30.000,41114983.35,216060708.4,31.188,               ,               ,               ,               ,               ,               ,41114983.91,216060690.4,30.656,               ,               ,               ,               ,               ,               
  J02, 2025-01-20 00:50:00.000,41117746.06,216075229,30.281,41117750.72,168370309,35.062,               ,               ,               ,41117745.89,216075210.9,30.75,41117743.27,216075196.5,31.156,               ,               ,               
  J02, 2025-01-20 00:50:30.000,41120515.55,216089777.9,30.094,41120519.13,168381645.8,35.594,               ,               ,               ,41120514.28,216089760,30.562,41120510.02,216089745.5,30.656,               ,               ,               
  J02, 2025-01-20 00:51:00.000,41123289.97,216104360.3,32.062,41123294.01,168393008.6,36.344,               ,               ,               ,41123290.58,216104342.3,31.969,41123287.05,216104327.9,32.969,               ,               ,               
  J02, 2025-01-20 00:51:30.000,41126070.37,216118971.6,33.656,41126074.46,168404394,36.406,               ,               ,               ,41126070.75,216118953.6,33.594,41126068.26,216118939.1,34.594,               ,               ,               
  J02, 2025-01-20 00:52:00.000,41128857.96,216133616.5,33.688,41128860.61,168415805.5,35.719,               ,               ,               ,41128857.36,216133598.4,33.812,41128854,216133584,34.531,               ,               ,               
  J02, 2025-01-20 00:52:30.000,41131649.95,216148286.6,33.344,41131652.89,168427236.8,34.562,               ,               ,               ,41131649.23,216148268.6,34.031,41131646.18,216148254.2,34.219,               ,               ,               
  J02, 2025-01-20 00:53:00.000,41134447.42,216162990.9,33.438,41134450.95,168438694.6,33.406,               ,               ,               ,41134447.5,216162972.9,33.875,41134444.17,216162958.5,34.719,               ,               ,               
  J02, 2025-01-20 00:53:30.000,41137251.55,216177724.7,33.219,41137253.69,168450175.4,32.812,               ,               ,               ,41137251.68,216177706.7,32.812,41137248.2,216177692.3,34.312,               ,               ,               
  J02, 2025-01-20 00:54:00.000,41140060.93,216192488.1,32.031,41140064.19,168461679.3,33.25,               ,               ,               ,41140060.69,216192470,31.812,41140055.82,216192455.6,32.406,               ,               ,               
