> PRN,"	                    time","	            C1C","	            L1C","	            S1C","	            C2L","	            L2L","	            S2L","	            C5Q","	            L5Q","	            S5Q","	            C1L","	            L1L","	            S1L","	            C1Z","	            L1Z","	            S1Z","	            C5P	            L5P","	            S5P",
  J02, 2025-01-16 00:10:30.000,40845752.47,               ,32.969,40845752.9,167256526.9,33.969,               ,               ,               ,40845751.9,214645873.5,32.844,40845749.56,214645853,33.656,               ,               ,               
  J02, 2025-01-16 00:11:00.000,               ,               ,               ,40847881.52,167265243,33.812,               ,               ,               ,40847880.82,214657059.3,33.969,40847878,214657038.7,34.656,               ,               ,               
  J02, 2025-01-16 00:11:30.000,40850012.79,214668282.3,33.594,40850014.78,167273981.2,31.656,               ,               ,               ,40850014.5,214668273.3,33.469,40850011.98,214668252.7,34.469,               ,               ,               
  J02, 2025-01-16 00:12:00.000,40852152.48,214679522.7,33.75,40852153.29,167282739.9,31.531,               ,               ,               ,40852153.45,214679513.6,33.094,40852151,214679493.1,34.406,               ,               ,               
  J02, 2025-01-16 00:12:30.000,40854295.73,214690790.7,30.656,40854298.05,167291520.2,29.812,               ,               ,               ,40854296.65,214690781.7,31.062,40854293.53,214690761.1,31.156,               ,               ,               
  J02, 2025-01-16 00:13:00.000,40856445.85,214702084.4,29.312,40856445.14,167300320.5,29.969,               ,               ,               ,40856446.08,214702075.4,29.688,40856441.17,214702054.8,30.406,               ,               ,               
  J02, 2025-01-16 00:13:30.000,40858599.61,214713404.8,28.594,40858601.34,167309141.6,31.031,               ,               ,               ,40858600.73,214713395.8,28,40858595.98,214713375.3,29.375,               ,               ,               
  J02, 2025-01-16 00:14:00.000,40860761.05,214724755.4,28.5,40860762.27,167317986.2,31.188,               ,               ,               ,40860760.74,214724746.4,28.75,40860756.08,214724725.8,29.656,               ,               ,               
  J02, 2025-01-16 00:14:30.000,40862925.64,214736131.9,28.531,40862925.98,167326851,32.125,               ,               ,               ,40862924.75,214736122.9,28.938,40862920.83,214736102.3,29.156,               ,               ,               
  J02, 2025-01-16 00:15:00.000,40865094.2,214747535.1,29.562,40865096.49,167335736.6,32.469,               ,               ,               ,40865094.67,214747526.1,29.562,40865091.11,214747505.5,30.5,               ,               ,               
  J02, 2025-01-16 00:15:30.000,40867270.5,214758964.1,29.312,40867272.35,167344642.3,31.156,               ,               ,               ,40867269.61,214758955.1,30.062,40867265.51,214758934.5,30.594,               ,               ,               
