> PRN,"	                    time","	            C1C","	            L1C","	            S1C","	            C2L","	            L2L","	            S2L","	            C5Q","	            L5Q","	            S5Q","	            C1L","	            L1L","	            S1L","	            C1Z","	            L1Z","	            S1Z","	            C5P	            L5P","	            S5P",
  J02, 2025-01-25 00:02:30.000,40971521.99,               ,32.594,40971522.79,167771538.6,30.406,               ,               ,               ,               ,               ,               ,40971519.3,215306784,33.25,               ,               ,               
  J02, 2025-01-25 00:03:00.000,40973965.76,215319638.3,32.562,40973967.06,167781546,29.344,               ,               ,               ,40973966.33,215319650.3,32.938,40973962.98,215319626.8,33.25,               ,               ,               
  J02, 2025-01-25 00:03:30.000,40976415.57,215332510.6,32.344,40976414.75,167791576.4,28.562,               ,               ,               ,40976415.19,215332522.6,32.938,40976412.2,215332499.1,32.906,               ,               ,               
  J02, 2025-01-25 00:04:00.000,40978871.79,215345415.4,32.469,40978872.33,167801632,27.219,               ,               ,               ,40978871.45,215345427.4,33,40978868.3,215345403.9,33.156,               ,               ,               
  J02, 2025-01-25 00:04:30.000,40981332.39,215358348,32.469,               ,               ,               ,               ,               ,               ,40981332.39,215358360,32.844,40981328.02,215358336.5,33.031,               ,               ,               
  J02, 2025-01-25 00:05:00.000,40983800.32,215371314.6,32.062,40983801.4,167821813.3,26.562,               ,               ,               ,40983799.89,215371326.6,32.719,40983796.03,215371303.1,32.969,               ,               ,               
  J02, 2025-01-25 00:05:30.000,40986273.57,215384310.8,32.469,40986274.26,167831940.1,28.062,               ,               ,               ,40986273.23,215384322.8,31.844,40986268.81,215384299.2,33.188,               ,               ,               
  J02, 2025-01-25 00:06:00.000,40988753.3,215397336.9,30.969,40988751.43,167842090.3,29.125,               ,               ,               ,40988751.66,215397348.9,31.906,40988747.7,215397325.3,31.531,               ,               ,               
  J02, 2025-01-25 00:06:30.000,40991236.69,215410395.4,29.469,40991237.22,167852265.8,30.438,               ,               ,               ,40991237.28,215410407.4,30.562,40991231.51,215410383.8,30.5,               ,               ,               
  J02, 2025-01-25 00:07:00.000,40993728.38,215423484.2,30.188,40993728.12,167862464.9,30.906,               ,               ,               ,40993727.94,215423496.2,30.156,40993723.24,215423472.7,30.125,               ,               ,               
  J02, 2025-01-25 00:07:30.000,40996224.64,215436602.8,28.688,40996224.85,167872687.1,31.75,               ,               ,               ,40996223.71,215436614.9,28.438,40996220.7,215436591.3,30.062,               ,               ,               
  J02, 2025-01-25 00:08:00.000,40998725.42,215449753,26.312,40998728.32,167882934,32.594,               ,               ,               ,40998726.1,215449765,26.5,               ,               ,               ,               ,               ,               
  J02, 2025-01-25 00:08:30.000,41001234.63,215462933.7,23.375,41001235.97,167893204.7,33.406,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               
  J02, 2025-01-25 00:09:00.000,               ,               ,               ,41003750.51,167903500.6,34.062,               ,               ,               ,41003747.24,215476158.9,25.438,               ,               ,               ,               ,               ,               
  J02, 2025-01-25 00:09:30.000,41006267.03,215489390,26.656,41006269.3,167913819.8,34.031,               ,               ,               ,41006267.22,215489402,26.656,               ,               ,               ,               ,               ,               
  J02, 2025-01-25 00:10:00.000,41008793.07,215502663.6,24.25,41008795.91,167924162.9,32.594,               ,               ,               ,41008793.74,215502675.6,24.531,               ,               ,               ,               ,               ,               
  J02, 2025-01-25 00:10:30.000,41011327.08,215515970.6,24.062,41011328.65,167934532,31.656,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               
  J02, 2025-01-25 00:11:00.000,41013864.55,215529306.3,26.969,41013865.01,167944923.4,31.312,               ,               ,               ,41013865.5,215529318.3,26.969,               ,               ,               ,               ,               ,               
  J02, 2025-01-25 00:11:30.000,41016407.65,215542673.1,28.344,41016409.8,167955339.1,31.062,               ,               ,               ,41016407.78,215542685.1,27.844,               ,               ,               ,               ,               ,               
  J02, 2025-01-25 00:12:00.000,41018957.25,215556071.4,28.094,41018958.78,167965779.3,32.344,               ,               ,               ,41018957.61,215556083.4,28.781,               ,               ,               ,               ,               ,               
  J02, 2025-01-25 00:12:30.000,41021514.37,215569500.4,28.031,41021513.33,167976243.4,32.5,               ,               ,               ,41021514.24,215569512.4,28.812,               ,               ,               ,               ,               ,               
  J02, 2025-01-25 00:13:00.000,41024074.85,215582960.4,29.25,41024075.12,167986731.8,32.406,               ,               ,               ,41024075.76,215582972.4,29.625,               ,               ,               ,               ,               ,               
  J02, 2025-01-25 00:13:30.000,41026642.85,215596451.5,30.156,41026643.4,167997244.3,32.938,               ,               ,               ,41026642.67,215596463.6,30.75,               ,               ,               ,               ,               ,               
  J02, 2025-01-25 00:14:00.000,41029215.55,215609975.1,30.281,41029216.29,168007782.2,33.312,               ,               ,               ,41029215.92,215609987.1,30.875,41029213.26,215609973.5,31.094,               ,               ,               
  J02, 2025-01-25 00:14:30.000,41031793.78,215623525.2,30.281,41031795.93,168018340.7,33.406,               ,               ,               ,41031794.61,215623537.3,30.344,41031790.34,215623523.7,30.688,               ,               ,               
  J02, 2025-01-25 00:15:00.000,41034379.72,215637112.5,29.906,41034381.25,168028928.2,34.781,               ,               ,               ,41034380.03,215637124.5,30.25,41034376.77,215637111,30.719,               ,               ,               
  J02, 2025-01-25 00:15:30.000,41036971.46,215650726.6,28.062,41036971.54,168039536.6,35,               ,               ,               ,41036970.07,215650738.6,29.156,41036964.91,215650725.1,29.031,               ,               ,               
  J02, 2025-01-25 00:16:00.000,41039569.22,215664375.4,28,41039569.18,168050171.9,34.656,               ,               ,               ,41039567.57,215664387.3,28.375,               ,               ,               ,               ,               ,               
  J02, 2025-01-25 00:16:30.000,41042172.48,215678053.7,29.781,41042171.95,168060830.4,33.938,               ,               ,               ,41042170.79,215678065.7,30.188,               ,               ,               ,               ,               ,               
  J02, 2025-01-25 00:17:00.000,41044779.98,215691762.2,31.438,41044781.3,168071512.2,34.344,               ,               ,               ,41044779.68,215691774.2,31.25,41044775.67,215691743.6,32.562,               ,               ,               
  J02, 2025-01-25 00:17:30.000,41047394.02,215705502.9,32.125,41047395.28,168082219.2,34.062,               ,               ,               ,41047394.72,215705514.9,32.438,41047391.46,215705484.3,33.281,               ,               ,               
  J02, 2025-01-25 00:18:00.000,41050014.83,215719275,32.281,41050015.5,168092950.6,33.594,               ,               ,               ,41050015.39,215719287,32.625,41050012.78,215719256.4,33.156,               ,               ,               
  J02, 2025-01-25 00:18:30.000,41052641.38,215733078.4,32.406,41052642.07,168103706.6,33.438,               ,               ,               ,41052642.23,215733090.4,32.375,41052639.65,215733059.9,33.219,               ,               ,               
  J02, 2025-01-25 00:19:00.000,41055273.49,215746910.9,31.438,41055273.83,168114485.1,33.5,               ,               ,               ,41055274.2,215746922.9,30.781,41055271.5,215746892.4,32.469,               ,               ,               
  J02, 2025-01-25 00:19:30.000,41057911.99,215760776.4,29.094,41057912.95,168125289.3,34.625,               ,               ,               ,41057911.95,215760788.4,29.25,41057907.63,215760757.9,30.25,               ,               ,               
  J02, 2025-01-25 00:20:00.000,41060556.4,215774673.7,28.875,41060558.15,168136118.3,34.625,               ,               ,               ,41060555.79,215774685.7,28.688,41060552.65,215774655.2,29.469,               ,               ,               
  J02, 2025-01-25 00:20:30.000,41063206.17,215788599.7,29.344,41063208.08,168146969.7,34.344,               ,               ,               ,41063206.67,215788611.6,29.031,41063203.02,215788581.2,30.5,               ,               ,               
  J02, 2025-01-25 00:21:00.000,41065862.87,215802558.7,28.594,41065864.49,168157846.8,34.406,               ,               ,               ,41065862.32,215802570.7,29.312,41065857.97,215802540.2,30.188,               ,               ,               
  J02, 2025-01-25 00:21:30.000,41068525.98,215816549.4,29.344,41068527.14,168168748.7,33.688,               ,               ,               ,41068524.51,215816561.4,30.312,41068519.91,215816530.9,30.281,               ,               ,               
  J02, 2025-01-25 00:22:00.000,41071193.23,215830571.3,30.438,41071196.28,168179674.8,34.312,               ,               ,               ,41071193.45,215830583.3,30.594,41071188.5,215830552.7,30.938,               ,               ,               
  J02, 2025-01-25 00:22:30.000,41073867.27,215844622.4,31,41073869.79,168190623.7,35.5,               ,               ,               ,41073867.34,215844634.4,31.25,41073862.29,215844603.9,32.219,               ,               ,               
  J02, 2025-01-25 00:23:00.000,41076547.83,215858703.5,31.812,41076548.12,168201596,34.75,               ,               ,               ,41076546.48,215858715.5,32.656,41076541.85,215858685,32.656,               ,               ,               
  J02, 2025-01-25 00:23:30.000,41079233.92,215872819.3,33.281,41079235.77,168212595.2,34.625,               ,               ,               ,41079233.09,215872831.3,33.781,41079228.78,215872800.7,34,               ,               ,               
  J02, 2025-01-25 00:24:00.000,41081924.02,215886965.4,34.656,41081927.1,168223618.2,34.656,               ,               ,               ,41081925.31,215886977.4,34.719,41081921.68,215886946.9,35.25,               ,               ,               
  J02, 2025-01-25 00:24:30.000,41084622.02,215901140.5,35.125,41084624.23,168234663.6,35,               ,               ,               ,41084622.6,215901152.5,35.625,41084619.87,215901122,35.812,               ,               ,               
  J02, 2025-01-25 00:25:00.000,41087325.72,215915347.7,35.438,41087327.29,168245734.2,35.312,               ,               ,               ,41087325.84,215915359.7,35.531,41087323.26,215915329.2,36.094,               ,               ,               
  J02, 2025-01-25 00:25:30.000,41090035.63,215929587.4,35,41090037.14,168256830,35.312,               ,               ,               ,41090035.72,215929599.4,35.188,41090032.49,215929568.9,35.781,               ,               ,               
  J02, 2025-01-25 00:26:00.000,41092751.44,215943856.3,34.375,41092753.02,168267948.6,35.312,               ,               ,               ,41092750.96,215943868.4,34.938,41092747.91,215943837.9,34.969,               ,               ,               
  J02, 2025-01-25 00:26:30.000,41095473.24,215958157.2,33.438,41095473.47,168279092.1,35.656,               ,               ,               ,41095472.42,215958169.3,34.094,41095468.86,215958138.8,34.188,               ,               ,               
  J02, 2025-01-25 00:27:00.000,41098200.63,215972491.3,33.281,41098201.36,168290261.5,35.406,               ,               ,               ,41098200.4,215972503.3,34.062,41098196.8,215972472.8,34.25,               ,               ,               
  J02, 2025-01-25 00:27:30.000,41100933.69,215986851.1,33.125,41100934.36,168301450.9,34.75,               ,               ,               ,41100932.81,215986863.1,33.656,41100928.88,215986832.7,34.219,               ,               ,               
  J02, 2025-01-25 00:28:00.000,41103671.71,216001244.8,32.625,41103673.29,168312666.8,34.812,               ,               ,               ,41103671.91,216001256.8,32.75,41103668.84,216001226.3,33.219,               ,               ,               
  J02, 2025-01-25 00:28:30.000,41106417.56,216015670.9,31.656,41106417.83,168323907.9,34.594,               ,               ,               ,41106417.91,216015682.9,32.312,41106413.84,216015652.4,32.844,               ,               ,               
  J02, 2025-01-25 00:29:00.000,41109167.92,216030126.8,31.438,41109168.76,168335172.1,34.781,               ,               ,               ,41109168.31,216030138.8,32.219,41109165.47,216030108.2,32.594,               ,               ,               
  J02, 2025-01-25 00:29:30.000,41111923.71,216044613.5,31.375,41111927,168346460.4,35.125,               ,               ,               ,41111924.71,216044625.5,31.562,41111922.27,216044595,32.281,               ,               ,               
  J02, 2025-01-25 00:30:00.000,41114686.6,216059128.6,31.094,41114689.22,168357770.9,35.156,               ,               ,               ,41114686.48,216059140.6,31.562,41114683.83,216059110.1,32,               ,               ,               
  J02, 2025-01-25 00:30:30.000,41117454.96,216073676.5,30.75,41117457.57,168369106.8,35.344,               ,               ,               ,41117454.82,216073688.5,31.281,41117451.87,216073658,31.031,               ,               ,               
  J02, 2025-01-25 00:31:00.000,41120228.48,216088256.1,31.719,41120231.65,168380467.5,36.344,               ,               ,               ,41120229.8,216088268.1,31.625,41120227.43,216088237.6,32.656,               ,               ,               
  J02, 2025-01-25 00:31:30.000,41123009.87,216102866.1,32.5,41123012.16,168391851.9,37.25,               ,               ,               ,41123010.21,216102878.1,32.438,41123008.13,216102847.6,33.344,               ,               ,               
  J02, 2025-01-25 00:32:00.000,41125795.72,216117508.3,32.938,41125798.59,168403261.3,36.812,               ,               ,               ,41125796.3,216117520.2,32.5,41125793.83,216117489.7,34.031,               ,               ,               
  J02, 2025-01-25 00:32:30.000,41128587.54,216132178.7,32.344,41128589.97,168414692.9,36.5,               ,               ,               ,41128588.38,216132190.8,32.219,41128585.97,216132160.2,33.344,               ,               ,               
  J02, 2025-01-25 00:33:00.000,41131385.74,216146880.7,32.562,41131387.47,168426148.9,35.344,               ,               ,               ,41131385.45,216146892.7,32.219,41131383.78,216146862.2,33.438,               ,               ,               
  J02, 2025-01-25 00:33:30.000,41134190.09,216161614.9,31.25,41134191.91,168437630.1,35.406,               ,               ,               ,41134189.48,216161626.9,31.594,41134186.4,216161596.5,33.094,               ,               ,               
  J02, 2025-01-25 00:34:00.000,41136998.32,216176375.9,31.5,41137001.22,168449132,34.5,               ,               ,               ,41136998.3,216176387.9,31.781,41136995.16,216176357.3,32.406,               ,               ,               
  J02, 2025-01-25 00:34:30.000,41139814.32,216191171,32.156,41139816.12,168460660.7,35.25,               ,               ,               ,41139814.39,216191183,32.125,41139810.93,216191152.5,32.875,               ,               ,               
  J02, 2025-01-25 00:35:00.000,41142635.32,216205995.8,32.875,41142637.14,168472212.4,35.438,               ,               ,               ,41142635.79,216206007.8,32.469,41142633.01,216205977.3,33.625,               ,               ,               
  J02, 2025-01-25 00:35:30.000,41145461.77,216220850.5,32.688,41145463.48,168483787.5,34.531,               ,               ,               ,41145462.66,216220862.5,32.406,41145459.01,216220832,33.594,               ,               ,               
  J02, 2025-01-25 00:36:00.000,41148294.46,216235736.6,32.688,41148297.4,168495386.9,33.688,               ,               ,               ,41148294.81,216235748.6,33.281,41148291.62,216235718.1,33.562,               ,               ,               
  J02, 2025-01-25 00:36:30.000,41151133.47,216250654.4,32.312,41151135.8,168507011.1,33.281,               ,               ,               ,41151133.68,216250666.4,32.688,41151130.23,216250635.9,33.062,               ,               ,               
  J02, 2025-01-25 00:37:00.000,41153977.96,216265599.8,32.406,41153978.81,168518656.9,33.438,               ,               ,               ,41153977.73,216265611.8,32.25,41153973.83,216265581.4,32.844,               ,               ,               
  J02, 2025-01-25 00:37:30.000,41156828.89,216280577,32.844,41156828.59,168530327.3,32.656,               ,               ,               ,41156828.14,216280588.9,33.125,41156824.21,216280558.5,34,               ,               ,               
  J02, 2025-01-25 00:38:00.000,41159684.51,216295584,33,41159685.26,168542021,31.562,               ,               ,               ,41159683.63,216295596,33.156,41159680.03,216295565.5,33.719,               ,               ,               
  J02, 2025-01-25 00:38:30.000,41162545.88,216310620.7,32.844,41162546.26,168553737.9,31.312,               ,               ,               ,41162544.71,216310632.7,33.656,41162540.79,216310602.2,33.781,               ,               ,               
  J02, 2025-01-25 00:39:00.000,41165413.15,216325690.6,32.844,41165415.38,168565480.6,30.938,               ,               ,               ,41165412.47,216325702.6,33.438,41165408.29,216325672.2,33.562,               ,               ,               
  J02, 2025-01-25 00:39:30.000,41168286.23,216340789.4,32.5,41168288.38,168577245.8,32.344,               ,               ,               ,41168285.8,216340801.4,32.969,41168282.02,216340770.9,33.469,               ,               ,               
  J02, 2025-01-25 00:40:00.000,41171164.9,216355917.3,33,41171166.93,168589033.7,34.156,               ,               ,               ,41171164.5,216355929.3,33.062,41171160.81,216355898.9,33.531,               ,               ,               
  J02, 2025-01-25 00:40:30.000,41174049.27,216371075.2,32.438,41174051.21,168600845,34.75,               ,               ,               ,41174049.01,216371087.2,32.969,41174045.16,216371056.7,33.531,               ,               ,               
  J02, 2025-01-25 00:41:00.000,41176940.76,216386265.8,33.062,41176942.29,168612681.8,34.875,               ,               ,               ,41176939.86,216386277.8,32.781,41176936.23,216386247.4,33.219,               ,               ,               
  J02, 2025-01-25 00:41:30.000,41179835.39,216401482.3,32.75,41179838.22,168624538.8,34.938,               ,               ,               ,41179835.47,216401494.3,32.906,41179832.31,216401463.9,33.438,               ,               ,               
  J02, 2025-01-25 00:42:00.000,41182737.98,216416732.2,32.094,41182740.06,168636421.7,34.281,               ,               ,               ,41182737.74,216416744.2,32.5,41182732.75,216416713.7,32.406,               ,               ,               
  J02, 2025-01-25 00:42:30.000,41185645.68,216432010.4,32.969,41185646.64,168648326.8,33.719,               ,               ,               ,41185645.24,216432022.4,33,41185641.11,216431991.9,33.031,               ,               ,               
  J02, 2025-01-25 00:43:00.000,41188558.61,216447319.5,33.094,41188559.38,168660255.9,33.469,               ,               ,               ,41188558.66,216447331.5,33.188,41188554.81,216447301,34.062,               ,               ,               
  J02, 2025-01-25 00:43:30.000,41191477.42,216462657.5,32.656,41191479.32,168672207.5,34.406,               ,               ,               ,41191477.31,216462669.5,33.125,41191473.5,216462639,33.562,               ,               ,               
  J02, 2025-01-25 00:44:00.000,41194401.83,216478026.8,32.844,41194403.01,168684183.5,34.719,               ,               ,               ,41194401.94,216478038.8,33.344,41194398.51,216478008.3,33.75,               ,               ,               
  J02, 2025-01-25 00:44:30.000,41197331.64,216493423.8,33.875,41197333.25,168696181.1,35.688,               ,               ,               ,41197332.15,216493435.8,33.406,41197330,216493405.3,34.531,               ,               ,               
  J02, 2025-01-25 00:45:00.000,41200266.93,216508851,33.375,41200269.94,168708202.3,36.031,               ,               ,               ,41200267.78,216508863,33.281,41200264.87,216508832.6,34.156,               ,               ,               
  J02, 2025-01-25 00:45:30.000,41203208.07,216524306.7,32.219,41203211,168720245.6,36.281,               ,               ,               ,41203208.45,216524318.7,32.531,41203205.59,216524288.3,32.875,               ,               ,               
  J02, 2025-01-25 00:46:00.000,41206156.56,216539796.1,32.469,41206158.59,168732315.2,36.969,               ,               ,               ,41206156.27,216539808.1,32.281,41206154.13,216539777.6,32.656,               ,               ,               
  J02, 2025-01-25 00:46:30.000,41209107.87,216555308.8,33.094,41209110.88,168744403,37.062,               ,               ,               ,41209109.19,216555320.8,32.688,41209105.78,216555290.4,33.312,               ,               ,               
  J02, 2025-01-25 00:47:00.000,41212065.81,216570856.1,33.281,41212069.49,168756517.7,36.875,               ,               ,               ,41212067.58,216570868.1,32.531,41212065.56,216570837.7,33.594,               ,               ,               
  J02, 2025-01-25 00:47:30.000,41215029.4,216586431.7,32.531,41215033.98,168768654.4,36.938,               ,               ,               ,41215031.41,216586443.7,31.812,41215028.69,216586413.3,33.344,               ,               ,               
  J02, 2025-01-25 00:48:00.000,41217999.03,216602036.2,32.188,41218003.21,168780813.7,36.844,               ,               ,               ,41218000.37,216602048.2,31.812,41217997.9,216602017.7,32.969,               ,               ,               
  J02, 2025-01-25 00:48:30.000,41220974.19,216617668.5,32.281,41220978.08,168792994.6,36.719,               ,               ,               ,41220975.29,216617680.5,32,41220972.02,216617650.1,32.969,               ,               ,               
  J02, 2025-01-25 00:49:00.000,41223955.43,216633330.4,32.219,41223958.1,168805198.7,36.219,               ,               ,               ,41223955.46,216633342.4,32.156,41223952.82,216633312,32.688,               ,               ,               
  J02, 2025-01-25 00:49:30.000,41226941.81,216649021.4,31.438,41226943.69,168817425.3,36.188,               ,               ,               ,41226941.92,216649033.4,31.812,41226937.49,216649003,32.219,               ,               ,               
  J02, 2025-01-25 00:50:00.000,41229933.97,216664743.7,32.094,41229936.32,168829676.4,35.781,               ,               ,               ,41229933.78,216664755.7,31.781,41229929.78,216664725.3,32.469,               ,               ,               
  J02, 2025-01-25 00:50:30.000,41232931,216680492.6,33.5,41232932.94,168841948.2,36.125,               ,               ,               ,41232930.65,216680504.6,33.25,41232927.02,216680474.2,34,               ,               ,               
  J02, 2025-01-25 00:51:00.000,41235932.82,216696271.7,33.906,41235935.62,168854243.6,36.125,               ,               ,               ,41235933.49,216696283.8,34.594,41235930.72,216696253.3,35.156,               ,               ,               
  J02, 2025-01-25 00:51:30.000,41238941.5,216712078.9,34.344,41238943.6,168866560.8,36.156,               ,               ,               ,41238941.7,216712090.9,34.5,41238938.81,216712060.5,35.094,               ,               ,               
  J02, 2025-01-25 00:52:00.000,41241955.41,216727916.1,33.938,41241957.85,168878901.4,35.844,               ,               ,               ,41241955.01,216727928.1,34.344,41241952.19,216727897.7,34.469,               ,               ,               
  J02, 2025-01-25 00:52:30.000,41244974.4,216743780.7,32.562,41244976.82,168891263.2,36.156,               ,               ,               ,41244973.59,216743792.7,32.656,41244970.39,216743762.2,33.875,               ,               ,               
  J02, 2025-01-25 00:53:00.000,41247997.96,216759672.2,31.719,41248001.18,168903646.1,36.281,               ,               ,               ,41247997.68,216759684.2,32.125,41247993.94,216759653.7,32.656,               ,               ,               
