> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C1Z,L1Z,S1Z,C2X,L2X,S2X,C5X,L5X,S5X
  J02, 2025-01-11 00:00:00.000,40703306.5,213897313.8,31.6,40703305.31,213897401.8,36.8,40703301.5,213897294.2,32.4,40703313.93,166673316.3,32.4,40703312.34,159728596.6,35.2
  J02, 2025-01-11 00:00:30.000,40702966.58,213895529.5,32.5,40702965.69,213895617.5,36.4,40702962.22,213895509.8,33.3,40702975.2,166671926,31.2,40702972.67,159727264.1,35
  J02, 2025-01-11 00:01:00.000,40702631.69,213893768.2,33.3,40702630.69,213893856.2,37.1,40702627.4,213893748.5,34.3,40702639.27,166670553.5,31.1,40702637.48,159725948.9,35.8
  J02, 2025-01-11 00:01:30.000,40702300.81,213892029.8,33.1,40702299.17,213892117.8,37.2,40702296.13,213892010.2,32.3,40702308.73,166669198.9,32,40702306.55,159724650.8,34.9
  J02, 2025-01-11 00:02:00.000,40701974.88,213890314.7,33.8,40701973.12,213890402.7,37.5,40701969.81,213890295.1,34.9,40701982.18,166667862.4,32.6,40701979.93,159723370,35.5
  J02, 2025-01-11 00:02:30.000,40701653.05,213888623.1,33.5,40701651.86,213888711.1,37.5,40701647.79,213888603.4,34.6,40701659.51,166666544.3,30.1,40701658.11,159722106.8,34.6
  J02, 2025-01-11 00:03:00.000,40701335.86,               ,31.9,40701334.11,213887043.7,36.7,40701330.9,               ,33.2,40701342.88,166665245.1,31.2,40701340.93,159720861.7,35.1
  J02, 2025-01-11 00:03:30.000,40701023.45,213885313,33.9,40701022.06,213885401,37.2,40701018.02,213885293.3,34.8,40701030.63,166663965,31.6,40701028.43,159719635,35.7
  J02, 2025-01-11 00:04:00.000,40700715.11,213883695.4,33.5,40700713.73,213883783.4,37.6,40700710.25,213883675.7,34.2,40700722.98,166662704.6,31.6,40700720.29,159718427,34.8
  J02, 2025-01-11 00:04:30.000,40700412.47,213882101.5,33.2,40700410.54,213882189.5,36.9,40700407.11,213882081.8,33.7,40700418.7,166661462.6,32.1,40700416.9,159717236.8,34.3
  J02, 2025-01-11 00:05:00.000,40700113.33,213880531.1,33.6,40700111.4,213880619.1,37.5,40700108.2,213880511.5,33.4,40700120.6,166660238.9,31.6,40700117.89,159716064.2,34.4
  J02, 2025-01-11 00:05:30.000,40699819.2,213878984.8,32.3,40699817.49,213879072.8,37.1,40699813.9,213878965.2,33.5,40699826.03,166659034.1,32.1,40699823.91,159714909.5,34.3
  J02, 2025-01-11 00:06:00.000,40699529.42,213877462.9,33.6,40699527.7,213877550.9,37.3,40699524.08,213877443.3,33.6,40699536.61,166657848.1,33.1,40699534.29,159713773,33.6
  J02, 2025-01-11 00:06:30.000,40699244.28,213875965.3,32.6,40699242.57,213876053.3,37.3,40699239.36,213875945.7,34.1,40699251.47,166656681.1,33,40699248.85,159712654.6,34.1
  J02, 2025-01-11 00:07:00.000,40698963.58,               ,32.6,40698962.05,213874577.5,37,40698958.08,               ,33.2,40698970.29,166655531.1,32.1,40698967.61,159711552.5,33.4
  J02, 2025-01-11 00:07:30.000,40698687.64,               ,31.9,40698685.51,213873127.5,37.5,40698682.73,               ,32.5,40698695.05,166654401.3,32.9,40698691.9,159710469.8,33.7
  J02, 2025-01-11 00:08:00.000,40698417.17,213871616.1,32.1,40698415.47,213871704.1,36.9,40698411.78,213871596.5,34,40698424.52,166653292.2,34.6,40698421.32,159709406.9,34
  J02, 2025-01-11 00:08:30.000,40698150.42,213870219.1,32.3,40698149.14,213870307.1,36.3,40698145.45,213870199.4,33.2,40698157.79,166652203.6,33.5,40698155.28,159708363.6,33.7
  J02, 2025-01-11 00:09:00.000,40697890.11,213868848.2,33.5,40697888.35,213868936.2,36.6,40697884.93,213868828.6,34.9,40697897.17,166651135.4,33.4,40697894.29,159707340,33.6
  J02, 2025-01-11 00:09:30.000,40697634.28,213867503.4,33.6,40697632.25,213867591.4,37.9,40697628.98,213867483.8,34.7,40697641.48,166650087.5,33.5,40697638.47,159706335.7,34.7
  J02, 2025-01-11 00:10:00.000,40697383.11,213866184.8,33.5,40697381.75,213866272.8,37.1,40697378.5,213866165.1,33.4,40697390.54,166649060,34.6,40697387.73,159705351,34.6
  J02, 2025-01-11 00:10:30.000,40697137.66,               ,31.6,40697135.18,213864980.2,36.9,40697132.23,               ,31.9,40697144.79,166648052.9,34.2,40697142.15,159704385.8,34.6
  J02, 2025-01-11 00:11:00.000,40696896.28,213863626.3,32.4,40696894.62,213863714.3,37.1,40696891.01,213863606.7,33.7,40696903.42,166647066.4,34.7,40696901.36,159703440.5,35
  J02, 2025-01-11 00:11:30.000,40696659.61,213862387.1,35,40696658.9,213862475.1,36.5,40696655.34,213862367.5,34.8,40696668.16,166646100.8,35.3,40696665.31,159702515.1,35.5
  J02, 2025-01-11 00:12:00.000,40696430.17,213861174.6,32.8,40696427.85,213861262.6,36.9,40696424.63,213861155,33.4,40696437.36,166645156.1,35.4,40696434.64,159701609.7,36
  J02, 2025-01-11 00:12:30.000,40696203.8,213859988.9,32.2,40696202.43,213860076.9,36.9,40696198.49,213859969.2,34,40696211.29,166644232.1,34.8,40696209.02,159700724.3,35.4
  J02, 2025-01-11 00:13:00.000,40695983.48,213858830.3,32.6,40695981.65,213858918.3,37.4,40695978.86,213858810.7,33.4,40695991.1,166643329.3,35.9,40695988.51,159699859.1,36.2
  J02, 2025-01-11 00:13:30.000,40695767.69,213857698.9,34.3,40695766.68,213857786.9,37.7,40695762.76,213857679.2,33.6,40695775.76,166642447.7,35,40695773.56,159699014.2,36.8
  J02, 2025-01-11 00:14:00.000,40695557.72,213856594.8,33.4,40695556.35,213856682.8,37.9,40695552.81,213856575.2,36,40695565.73,166641587.4,35.7,40695563.39,159698189.8,37
  J02, 2025-01-11 00:14:30.000,40695353.05,213855518.2,32.7,40695351.59,213855606.2,38.2,40695348.04,213855498.6,34.3,40695360.8,166640748.5,35.1,40695358.61,159697385.8,37.3
  J02, 2025-01-11 00:15:00.000,40695153,213854469.3,33.7,40695151.7,213854557.3,38.1,40695148.75,213854449.7,34.5,40695160.99,166639931.1,35.7,40695158.73,159696602.5,37.3
  J02, 2025-01-11 00:15:30.000,40694959.44,213853448.2,33.3,40694957.09,213853536.2,38.6,40694954.73,213853428.6,34.2,40694967.1,166639135.6,36.2,40694964,159695840,37.7
  J02, 2025-01-11 00:16:00.000,40694769.69,213852455.1,33.5,40694768.71,213852543.1,38.2,40694765.7,213852435.5,33.6,40694777.66,166638361.7,36.1,40694775.37,159695098.4,38
  J02, 2025-01-11 00:16:30.000,40694586.64,213851490.1,34,40694585.29,213851578.1,38,40694581.77,213851470.5,34.6,40694593.86,166637609.7,36.1,40694592,159694377.8,37.3
  J02, 2025-01-11 00:17:00.000,40694408.45,213850553.5,33,40694407.24,213850641.4,38.4,40694403.69,213850533.8,33.9,40694416.35,166636879.9,36.8,40694413.55,159693678.3,37.9
  J02, 2025-01-11 00:17:30.000,40694235.33,213849645.1,35,40694234.07,213849733.1,38.5,40694230.63,213849625.5,35.9,40694242.86,166636172.1,36.2,40694240.75,159693000.1,38.4
  J02, 2025-01-11 00:18:00.000,40694068.41,213848765.4,35.4,40694066.69,213848853.4,39,40694063.03,213848745.7,36.7,40694075.64,166635486.6,36.8,40694073.09,159692343.1,38.2
  J02, 2025-01-11 00:18:30.000,40693906.08,213847914.4,34.8,40693904.27,213848002.4,38.9,40693901.1,213847894.8,35.5,40693914,166634823.4,36.9,40693911.31,159691707.6,39
  J02, 2025-01-11 00:19:00.000,40693749.59,213847092.4,34.6,40693748.36,213847180.4,39.3,40693744.73,213847072.7,36,40693757.27,166634183,37.5,40693754.83,159691093.8,39.9
  J02, 2025-01-11 00:19:30.000,40693598.95,213846299.4,35.2,40693597.45,213846387.4,38.9,40693593.9,213846279.8,36.9,40693606.58,166633565.1,38,40693603.95,159690501.7,39.6
  J02, 2025-01-11 00:20:00.000,40693453.23,213845535.7,33.6,40693451.99,213845623.7,38.8,40693448.45,213845516.1,35.5,40693461.4,166632970,38.7,40693458.59,159689931.4,39.1
  J02, 2025-01-11 00:20:30.000,40693314.36,213844801.4,34.3,40693312.32,213844889.4,38.4,40693308.93,213844781.8,35.5,40693321.5,166632397.8,38,40693318.98,159689383,40
  J02, 2025-01-11 00:21:00.000,40693179.92,213844096.6,34.6,40693178.24,213844184.6,38.6,40693174.82,213844077,35.1,40693187.49,166631848.6,38.1,40693184.91,159688856.7,40.2
  J02, 2025-01-11 00:21:30.000,40693051.52,213843421.5,36,40693049.35,213843509.4,39.4,40693046.24,213843401.8,36.3,40693059.2,166631322.5,38.4,40693056.43,159688352.5,40.2
  J02, 2025-01-11 00:22:00.000,40692928.23,213842776.2,35.1,40692926.98,213842864.2,39.4,40692922.98,213842756.6,36.1,40692936,166630819.7,38.3,40692933.68,159687870.7,40.2
  J02, 2025-01-11 00:22:30.000,40692811.23,213842160.8,34.3,40692809.93,213842248.8,39.2,40692806.6,213842141.2,35.4,40692818.84,166630340.2,38.3,40692816.36,159687411.2,40.8
  J02, 2025-01-11 00:23:00.000,40692699.58,213841575.6,34.4,40692698.45,213841663.6,39,40692695.02,213841556,35.2,40692707.59,166629884.2,39.2,40692704.98,159686974.1,41.6
  J02, 2025-01-11 00:23:30.000,40692594.36,213841020.4,35.4,40692592.92,213841108.4,39.6,40692589.78,213841000.8,35.2,40692601.6,166629451.6,39.4,40692599.53,159686559.6,41.3
  J02, 2025-01-11 00:24:00.000,40692494.17,213840495.7,35.4,40692492.92,213840583.7,39.9,40692489.08,213840476.1,35.8,40692501.82,166629042.7,38.7,40692499.8,159686167.7,41.6
  J02, 2025-01-11 00:24:30.000,40692400.55,213840001.5,36,40692399.09,213840089.5,39.9,40692395.24,213839981.9,36,40692407.79,166628657.6,39.2,40692405.89,159685798.7,40.9
  J02, 2025-01-11 00:25:00.000,40692312.09,213839537.9,36.1,40692310.4,213839625.9,40.5,40692306.38,213839518.3,36.9,40692319.74,166628296.3,39.5,40692317.57,159685452.5,42
  J02, 2025-01-11 00:25:30.000,40692229.66,213839105,37.5,40692228.7,213839193,40.2,40692224.71,213839085.4,36.6,40692237.59,166627959.1,39.3,40692235.03,159685129.2,41.6
  J02, 2025-01-11 00:26:00.000,40692153.5,213838703.2,38.2,40692151.94,213838791.2,40.4,40692148.37,213838683.6,36.9,40692160.92,166627645.9,39.9,40692158.52,159684829.2,42.2
  J02, 2025-01-11 00:26:30.000,40692082.78,213838332.7,37.1,40692081.48,213838420.7,39.8,40692077.7,213838313.1,36.9,40692090.31,166627357.2,39.9,40692088.16,159684552.5,42.2
  J02, 2025-01-11 00:27:00.000,40692018.67,213837993.4,35.6,40692016.65,213838081.4,40.2,40692013.53,213837973.8,36.6,40692025.83,166627092.9,39.9,40692023.56,159684299.2,42.5
  J02, 2025-01-11 00:27:30.000,40691959.36,213837685.1,35.4,40691957.69,213837773.1,40.3,40691954.54,213837665.5,36.1,40691967.07,166626852.6,38.4,40691964.88,159684068.9,41.9
  J02, 2025-01-11 00:28:00.000,40691906.56,213837408.3,37.7,40691905.11,213837496.3,40.1,40691901.66,213837388.7,36.7,40691914.81,166626637,39.4,40691912.26,159683862.3,42.4
  J02, 2025-01-11 00:28:30.000,40691859.89,213837162.8,35.6,40691858.98,213837250.9,39.9,40691855.29,213837143.2,36.2,40691868.03,166626445.7,39.6,40691865.32,159683678.9,42.2
  J02, 2025-01-11 00:29:00.000,40691819.72,213836949.3,36,40691817.86,213837037.3,40.3,40691814.9,213836929.7,36.4,40691827.31,166626279.3,40.6,40691824.68,159683519.5,42.2
  J02, 2025-01-11 00:29:30.000,40691785.06,213836767.5,38.3,40691783.46,213836855.5,40.7,40691780.18,213836747.9,38.3,40691792.29,166626137.6,40.6,40691790.06,159683383.7,42.7
  J02, 2025-01-11 00:30:00.000,40691756.34,213836617.8,37.9,40691755.01,213836705.8,40.8,40691751.61,213836598.2,37.7,40691764.09,166626020.9,40.6,40691761.46,159683271.9,42.9
  J02, 2025-01-11 00:30:30.000,40691734.03,213836500.2,39,40691732.91,213836588.2,40.6,40691729.11,213836480.6,37.5,40691741.81,166625929.3,40.9,40691739.4,159683184.1,42.6
  J02, 2025-01-11 00:31:00.000,40691718,213836415.1,37.5,40691716.48,213836503.1,40.8,40691712.73,213836395.5,38.5,40691725.68,166625863,40.8,40691723.16,159683120.5,42.6
  J02, 2025-01-11 00:31:30.000,40691707.83,213836362.3,37.3,40691706.45,213836450.3,41,40691703.02,213836342.7,37.2,40691715.47,166625821.9,41.1,40691713.13,159683081.1,42.9
  J02, 2025-01-11 00:32:00.000,40691703.97,213836341.9,38.1,40691702.36,213836429.9,41.3,40691699.15,213836322.3,38.7,40691711.69,166625806,41.8,40691709.32,159683065.9,42.7
  J02, 2025-01-11 00:32:30.000,40691706.08,213836354.2,39,40691704.88,213836442.2,41.5,40691701.46,213836334.6,37.9,40691714.09,166625815.5,41.1,40691711.59,159683075.1,43.6
  J02, 2025-01-11 00:33:00.000,40691714.98,213836399,37.4,40691713.33,213836487,41.4,40691710.07,213836379.4,38.1,40691723.07,166625850.4,41.2,40691720.02,159683108.5,43.4
  J02, 2025-01-11 00:33:30.000,40691729.39,213836476.6,38.3,40691728.18,213836564.6,41.6,40691724.94,213836457,37.5,40691737.16,166625910.9,41.3,40691734.82,159683166.5,43.3
