> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C1Z,L1Z,S1Z,C2X,L2X,S2X,C5X,L5X,S5X
  J02, 2025-01-26 00:00:00.000,40708741.39,213925858.2,38.7,40708740.15,213925892.2,43.3,40708736.51,213925866.2,39.9,40708748.3,166695525.7,42.1,40708746.07,159749873.8,44.5
  J02, 2025-01-26 00:00:30.000,40709135.61,213927929.6,39.4,40709134.36,213927963.6,43.2,40709130.83,213927937.5,40.3,40709142.32,166697139.7,41.8,40709140.15,159751420.6,44.3
  J02, 2025-01-26 00:01:00.000,40709537.11,213930038.6,38.7,40709535.73,213930072.6,43.3,40709532.15,213930046.5,39.7,40709543.88,166698783.1,41.2,40709541.41,159752995.5,44.3
  J02, 2025-01-26 00:01:30.000,40709945.3,213932184.9,38.9,40709944.03,213932218.9,43.4,40709940.52,213932192.8,39.7,40709952.31,166700455.6,41.6,40709949.72,159754598.3,44.3
  J02, 2025-01-26 00:02:00.000,40710361.03,213934369.7,39.4,40710359.61,213934403.7,43.5,40710356.11,213934377.6,39.8,40710368.3,166702158,41.4,40710365.51,159756229.8,44.2
  J02, 2025-01-26 00:02:30.000,40710784.17,213936593.1,38.7,40710782.86,213936627.1,43.2,40710779.14,213936601,40.4,40710791.27,166703890.6,41.8,40710788.75,159757890.2,43.5
  J02, 2025-01-26 00:03:00.000,40711214.7,213938854.9,39.4,40711213.57,213938888.9,43.1,40711209.97,213938862.8,40.2,40711221.7,166705652.9,41.7,40711218.98,159759579.1,44.2
  J02, 2025-01-26 00:03:30.000,40711652.39,213941155.1,38.9,40711651.25,213941189.1,43.3,40711647.62,213941163,40.4,40711659.53,166707445.4,42,40711656.75,159761296.8,43.8
  J02, 2025-01-26 00:04:00.000,40712097.67,213943493.8,39.2,40712096.25,213943527.8,43.3,40712092.45,213943501.8,39.7,40712104.48,166709267.7,42.3,40712101.74,159763043.3,43.4
  J02, 2025-01-26 00:04:30.000,40712549.88,213945871,39.6,40712548.67,213945905,43.5,40712544.77,213945878.9,40.5,40712556.87,166711120.1,41.7,40712554.23,159764818.4,43.7
  J02, 2025-01-26 00:05:00.000,40713009.92,213948286.8,40.2,40713008.34,213948320.8,43.6,40713004.35,213948294.7,40.4,40713016.28,166713002.5,41.6,40713013.83,159766622.5,43.7
  J02, 2025-01-26 00:05:30.000,40713476.83,213950741.4,39.5,40713475.39,213950775.4,43.3,40713471.88,213950749.3,39.2,40713483.66,166714915.2,40.9,40713480.95,159768455.4,43.4
  J02, 2025-01-26 00:06:00.000,40713951.47,213953234.5,38.3,40713949.71,213953268.5,43.5,40713946.52,213953242.4,39.4,40713958.16,166716857.9,41.7,40713955.1,159770317.2,43.9
  J02, 2025-01-26 00:06:30.000,40714432.67,213955766.3,38.4,40714431.7,213955800.3,42.8,40714428.22,213955774.2,39.4,40714439.72,166718830.7,42.3,40714437.15,159772207.8,43.4
  J02, 2025-01-26 00:07:00.000,40714922.13,213958336.8,38.1,40714920.84,213958370.8,43.2,40714916.95,213958344.8,39.2,40714928.77,166720833.7,41.8,40714926.23,159774127.4,43.2
  J02, 2025-01-26 00:07:30.000,40715418.27,213960946.3,39.2,40715417.3,213960980.3,43.7,40715413.6,213960954.3,40.4,40715425.31,166722867.1,42,40715422.99,159776076,43.6
  J02, 2025-01-26 00:08:00.000,40715922.55,213963594.7,39,40715921.2,213963628.7,43.5,40715917.53,213963602.6,41.1,40715929.43,166724930.8,42,40715926.94,159778053.7,43.4
  J02, 2025-01-26 00:08:30.000,40716433.86,213966282.1,39.2,40716432.49,213966316.1,43.6,40716429.07,213966290,41,40716440.78,166727024.9,42.5,40716438.13,159780060.5,43.5
  J02, 2025-01-26 00:09:00.000,40716952.73,213969008.6,39.2,40716951.79,213969042.6,43.3,40716948.19,213969016.6,40.6,40716959.61,166729149.5,42.3,40716957.11,159782096.6,43.8
  J02, 2025-01-26 00:09:30.000,40717479.27,213971774.3,39.6,40717477.86,213971808.3,43.4,40717474.44,213971782.2,41.1,40717486.09,166731304.5,42.3,40717483.34,159784161.8,43.2
  J02, 2025-01-26 00:10:00.000,40718012.91,213974579,39.4,40718011.2,213974613,43.9,40718007.81,213974586.9,40.8,40718019.75,166733490,42.8,40718017.15,159786256.2,43.5
  J02, 2025-01-26 00:10:30.000,40718553.78,213977422.7,39.2,40718552.57,213977456.7,43.7,40718549.59,213977430.6,39.9,40718560.71,166735705.9,41.7,40718558.35,159788379.8,43.6
  J02, 2025-01-26 00:11:00.000,40719102.63,213980305.8,39.4,40719101.14,213980339.8,43.9,40719097.73,213980313.7,40,40719109.47,166737952.4,41.6,40719106.96,159790532.8,43.6
  J02, 2025-01-26 00:11:30.000,40719658.77,213983228,39.3,40719657.51,213983262,43.8,40719654.17,213983235.9,40.1,40719665.75,166740229.5,42,40719663,159792714.9,44.6
  J02, 2025-01-26 00:12:00.000,40720222.5,213986189.5,40.5,40720220.82,213986223.5,43.8,40720217.76,213986197.4,41,40720229.41,166742537.1,42,40720226.49,159794926.4,43.4
  J02, 2025-01-26 00:12:30.000,40720793.77,213989190.3,39.2,40720792.02,213989224.4,43.9,40720788.45,213989198.3,40.3,40720800,166744875.5,42.3,40720797.68,159797167.4,44.4
  J02, 2025-01-26 00:13:00.000,40721371.34,213992230.4,39.9,40721370.25,213992264.4,43.9,40721366.88,213992238.3,40.5,40721378.46,166747244.3,41.6,40721376.23,159799437.5,43.9
  J02, 2025-01-26 00:13:30.000,40721958.2,213995310.1,41.1,40721956.71,213995344.1,43.8,40721952.89,213995318,40.5,40721964.51,166749644.1,42.3,40721962.34,159801737.3,44.4
  J02, 2025-01-26 00:14:00.000,40722551.55,213998429.2,40.9,40722549.77,213998463.2,43.9,40722546.3,213998437.1,40.5,40722557.84,166752074.6,41.7,40722555.85,159804066.5,44.5
  J02, 2025-01-26 00:14:30.000,40723152.53,214001587.7,39.4,40723151.13,214001621.7,43.9,40723147.64,214001595.6,40.1,40723159.18,166754535.8,42,40723156.67,159806425.1,44.1
  J02, 2025-01-26 00:15:00.000,40723761.47,214004785.8,40.1,40723759.8,214004819.8,44,40723756.42,214004793.7,41.6,40723767.74,166757027.8,41.7,40723765.3,159808813.3,44.2
  J02, 2025-01-26 00:15:30.000,40724377.23,214008023.4,39.4,40724375.67,214008057.4,44.1,40724372.19,214008031.3,41.6,40724383.91,166759550.6,41.7,40724381.51,159811231,44.5
  J02, 2025-01-26 00:16:00.000,40725001,214011300.6,39.6,40724999.4,214011334.6,43.7,40724995.75,214011308.5,39.8,40725007.5,166762104.3,42,40725005.22,159813678.3,43.8
  J02, 2025-01-26 00:16:30.000,40725632.22,214014617.4,39.3,40725630.57,214014651.4,43.9,40725627.03,214014625.4,40.2,40725638.52,166764688.8,42.1,40725636.3,159816155.1,44.1
  J02, 2025-01-26 00:17:00.000,40726270.8,214017974.2,39.9,40726269.2,214018008.2,43.9,40726265.92,214017982.1,40.3,40726277.35,166767304.5,42.2,40726275.08,159818661.8,43.8
  J02, 2025-01-26 00:17:30.000,40726917.09,214021370.4,39.9,40726915.52,214021404.4,44,40726911.99,214021378.3,40.6,40726923.75,166769950.9,41.7,40726921.37,159821198,44.2
  J02, 2025-01-26 00:18:00.000,40727570.98,214024806.5,40.5,40727569.47,214024840.5,43.9,40727565.76,214024814.4,40.9,40727577.59,166772628.4,41.7,40727575.14,159823763.9,44.2
