> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C1Z,L1Z,S1Z,C2X,L2X,S2X,C5X,L5X,S5X
  J02, 2025-01-16 00:00:00.000,40702209.11,213891495.4,33.2,40702207.61,213891629.4,38.4,40702204.47,213891535.3,35,40702216.03,166668821.9,37.9,40702213.14,159724289.6,39.2
  J02, 2025-01-16 00:00:30.000,40702077.19,213890803,34,40702076.13,213890937,38.4,40702072.41,213890842.9,35,40702084,166668282.4,37.6,40702081.64,159723772.6,39
  J02, 2025-01-16 00:01:00.000,40701951.08,213890140,34.8,40701949.63,213890274,39,40701945.98,213890179.9,35.8,40701958.1,166667765.8,37.9,40701955.34,159723277.5,40.1
  J02, 2025-01-16 00:01:30.000,40701830.86,213889506.6,34.8,40701829.48,213889640.5,39.2,40701825.91,213889546.4,35.7,40701837.37,166667272.2,38.6,40701834.91,159722804.5,39.9
  J02, 2025-01-16 00:02:00.000,40701715.55,213888902.9,33.4,40701714.07,213889036.8,39,40701710.69,213888942.7,35.2,40701722.66,166666801.8,38.9,40701719.92,159722353.6,39.8
  J02, 2025-01-16 00:02:30.000,40701605.88,213888328.9,35.3,40701605.07,213888462.9,39.1,40701601.67,213888368.8,35.4,40701613.48,166666354.6,39.4,40701610.75,159721925.1,40.6
  J02, 2025-01-16 00:03:00.000,40701502.77,213887785.1,34.9,40701501.43,213887919.1,38.7,40701498.13,213887825,35.5,40701510.06,166665930.8,38.9,40701507.16,159721519,40.5
  J02, 2025-01-16 00:03:30.000,40701404.67,213887271.4,34.4,40701403.73,213887405.4,39.6,40701400.45,213887311.3,35.9,40701412.1,166665530.5,39,40701409.63,159721135.4,40.8
  J02, 2025-01-16 00:04:00.000,40701312.45,213886787.8,34.3,40701311.1,213886921.8,39.5,40701307.94,213886827.7,35.1,40701320.06,166665153.7,38.7,40701317.87,159720774.3,40.9
  J02, 2025-01-16 00:04:30.000,40701226.55,213886334.5,37.1,40701225.27,213886468.5,40.2,40701222.18,213886374.4,36.9,40701233.47,166664800.6,39.4,40701231.43,159720435.8,41.6
  J02, 2025-01-16 00:05:00.000,40701146.05,213885911.9,36.7,40701145,213886045.8,40.2,40701141.32,213885951.7,36.5,40701153.32,166664471.2,39.4,40701150.95,159720120.2,41.1
  J02, 2025-01-16 00:05:30.000,40701071.69,213885519.7,35.5,40701070.28,213885653.7,39.8,40701066.63,213885559.6,36.5,40701078.73,166664165.6,39.9,40701076.13,159719827.4,41.7
  J02, 2025-01-16 00:06:00.000,40701003.11,213885158.2,36,40701001.61,213885292.2,40.3,40700998.04,213885198.1,36.9,40701009.8,166663884,40.1,40701007.39,159719557.4,41.4
  J02, 2025-01-16 00:06:30.000,40700940.33,213884828,36.4,40700938.43,213884962,40,40700935.52,213884867.9,35.8,40700946.95,166663626.6,40.6,40700944.48,159719310.8,41.8
  J02, 2025-01-16 00:07:00.000,40700882.52,213884528.6,35.4,40700881.27,213884662.6,40.2,40700878.14,213884568.5,35.7,40700889.77,166663393.3,39.4,40700887.57,159719087.2,41.8
  J02, 2025-01-16 00:07:30.000,40700831.75,213884260.3,35.7,40700830.52,213884394.3,39.8,40700826.82,213884300.2,36.9,40700839.43,166663184.3,40.4,40700836.5,159718886.9,41.6
  J02, 2025-01-16 00:08:00.000,40700787,213884023.6,36.5,40700785.83,213884157.6,40.3,40700781.93,213884063.5,37.1,40700794.02,166662999.8,39.7,40700791.42,159718710.1,42.2
  J02, 2025-01-16 00:08:30.000,40700747.95,213883818.2,36.2,40700746.52,213883952.2,40,40700742.76,213883858,38,40700754.86,166662839.8,40.6,40700752.11,159718556.8,42.1
  J02, 2025-01-16 00:09:00.000,40700714.83,213883644.2,37.9,40700713.59,213883778.2,40.8,40700709.93,213883684.1,37.4,40700721.88,166662704.2,40.4,40700718.99,159718426.9,42.2
  J02, 2025-01-16 00:09:30.000,40700687.84,213883502.2,37.3,40700686.14,213883636.2,40.8,40700682.41,213883542.1,37.1,40700694.81,166662593.5,40.2,40700691.98,159718320.8,42.5
  J02, 2025-01-16 00:10:00.000,40700666.91,213883391.9,38.8,40700665.59,213883525.9,41,40700661.97,213883431.8,36.8,40700673.87,166662507.7,41.2,40700671.08,159718238.5,42
  J02, 2025-01-16 00:10:30.000,40700652,213883313.6,40.1,40700650.5,213883447.6,40.6,40700647.27,213883353.5,38,40700659.03,166662446.6,41.1,40700656.22,159718180,42.6
  J02, 2025-01-16 00:11:00.000,40700643.42,213883267.5,36.3,40700641.75,213883401.5,41.3,40700638.45,213883307.4,37.2,40700650.39,166662410.7,41.7,40700647.47,159718145.5,42.5
  J02, 2025-01-16 00:11:30.000,40700640.66,213883253.6,38.9,40700638.78,213883387.6,41.3,40700635.36,213883293.5,38.4,40700647.57,166662399.9,41.7,40700644.9,159718135.2,43
  J02, 2025-01-16 00:12:00.000,40700644.06,213883272,37.4,40700642.95,213883405.9,41.3,40700638.92,213883311.9,38.2,40700651.32,166662414.2,41.4,40700648.31,159718148.9,42.8
  J02, 2025-01-16 00:12:30.000,40700654.02,213883323.1,39.2,40700652.28,213883457.1,41.6,40700648.73,213883363,38.8,40700660.74,166662454.1,41.3,40700658.04,159718187.1,42.8
  J02, 2025-01-16 00:13:00.000,40700670.09,213883406.8,38.9,40700668.38,213883540.8,41.5,40700664.94,213883446.7,38.3,40700676.69,166662519.3,41.3,40700673.9,159718249.6,43.2
  J02, 2025-01-16 00:13:30.000,40700692.03,213883523.2,38.7,40700690.22,213883657.2,41.7,40700686.94,213883563.1,38.4,40700698.93,166662610,41,40700696.12,159718336.5,43.9
  J02, 2025-01-16 00:14:00.000,40700720.17,213883672.3,38.7,40700718.81,213883806.3,42.1,40700715.08,213883712.2,38.7,40700726.99,166662726.1,41.7,40700724.58,159718447.9,43.7
  J02, 2025-01-16 00:14:30.000,40700754.89,213883854.3,39,40700753.34,213883988.3,41.8,40700749.98,213883894.2,38.3,40700761.87,166662868,40.6,40700759.23,159718583.8,43.6
  J02, 2025-01-16 00:15:00.000,40700795.61,213884069.4,37.4,40700794.54,213884203.4,41.9,40700791.12,213884109.3,38.1,40700802.44,166663035.6,40.6,40700800.22,159718744.4,43.6
  J02, 2025-01-16 00:15:30.000,40700842.95,213884317.9,37.9,40700841.41,213884451.9,42.5,40700838.26,213884357.8,38.2,40700849.7,166663229.2,40.9,40700847.41,159718930,43.8
  J02, 2025-01-16 00:16:00.000,40700896.58,213884599.6,38.5,40700895.36,213884733.6,42.6,40700891.9,213884639.5,38.8,40700903.39,166663448.7,40.3,40700900.97,159719140.3,43.7
  J02, 2025-01-16 00:16:30.000,40700956.78,213884914.7,39,40700955.41,213885048.7,42.3,40700951.69,213884954.6,38.7,40700963.3,166663694.3,40.6,40700961.05,159719375.7,43.8
  J02, 2025-01-16 00:17:00.000,40701022.75,213885263.4,38.6,40701021.36,213885397.4,42.5,40701018.2,213885303.3,38.1,40701029.6,166663966,40.9,40701027.53,159719636.1,44.1
  J02, 2025-01-16 00:17:30.000,40701095.55,213885645.8,38.8,40701094.22,213885779.8,42.4,40701090.85,213885685.7,39.1,40701102.54,166664263.9,41.6,40701100.09,159719921.6,43.8
  J02, 2025-01-16 00:18:00.000,40701175.13,213886061.8,37.7,40701173.33,213886195.9,42.4,40701170.09,213886101.8,38.9,40701181.39,166664588.1,40.2,40701179.23,159720232.3,43.9
  J02, 2025-01-16 00:18:30.000,40701260.56,213886512,37.6,40701259.15,213886646,42.2,40701255.45,213886551.9,39.5,40701267.54,166664938.9,40.4,40701264.87,159720568.4,44.3
  J02, 2025-01-16 00:19:00.000,40701352.63,213886996,40.1,40701351.2,213887130,43,40701347.25,213887035.9,40.2,40701359.38,166665316.1,40.5,40701356.94,159720929.9,43.7
  J02, 2025-01-16 00:19:30.000,40701451.48,213887514.3,39,40701449.95,213887648.3,42.8,40701446.27,213887554.2,39.4,40701457.9,166665719.9,41.3,40701455.72,159721316.9,43.8
  J02, 2025-01-16 00:20:00.000,40701556.64,213888066.9,39.9,40701554.82,213888200.9,42.4,40701551.32,213888106.8,39,40701563.29,166666150.5,40.3,40701560.84,159721729.6,43.6
  J02, 2025-01-16 00:20:30.000,40701668.16,213888653.8,37.9,40701666.85,213888787.8,42.6,40701663.15,213888693.7,39.4,40701674.53,166666607.8,40.6,40701672.56,159722167.8,43.3
  J02, 2025-01-16 00:21:00.000,40701786.31,213889275,38.7,40701784.88,213889409,42.4,40701781.81,213889314.9,39.3,40701793.05,166667091.9,40.8,40701790.57,159722631.7,43.4
  J02, 2025-01-16 00:21:30.000,40701911.23,213889930.9,38.7,40701909.97,213890064.9,42.9,40701906.22,213889970.8,39,40701917.84,166667603,41,40701915.36,159723121.5,44
  J02, 2025-01-16 00:22:00.000,40702042.55,213890621.5,39.6,40702041.04,213890755.5,42.8,40702037.66,213890661.4,39.9,40702049.23,166668141.2,41.3,40702046.88,159723637.3,43.9
  J02, 2025-01-16 00:22:30.000,40702180.63,213891347,38.7,40702179.41,213891481,42.7,40702175.47,213891386.9,39.6,40702187.53,166668706.4,40.8,40702184.97,159724179,43.9
  J02, 2025-01-16 00:23:00.000,40702325.52,213892107.1,39.7,40702323.8,213892241.2,43,40702320.39,213892147.1,39.4,40702332.16,166669298.8,41.3,40702329.71,159724746.7,43.9
  J02, 2025-01-16 00:23:30.000,40702476.86,213892902.4,39.9,40702475.4,213893036.4,43,40702471.61,213892942.3,39.4,40702483.47,166669918.5,41.6,40702481.01,159725340.5,44.1
  J02, 2025-01-16 00:24:00.000,40702634.61,213893732.8,39.4,40702633.23,213893866.8,43.1,40702629.73,213893772.7,38.7,40702641.55,166670565.5,41.3,40702639.08,159725960.6,44.2
  J02, 2025-01-16 00:24:30.000,40702799.36,213894598.2,38.5,40702797.78,213894732.2,43,40702794.25,213894638.1,39,40702805.98,166671239.8,42.1,40702803.57,159726606.8,44.2
  J02, 2025-01-16 00:25:00.000,40702970.83,213895498.9,39.3,40702969.21,213895632.9,43.2,40702965.92,213895538.8,39.2,40702977.48,166671941.7,41.7,40702975.02,159727279.5,44.5
  J02, 2025-01-16 00:25:30.000,40703148.81,213896435,38.7,40703147.21,213896569,43.1,40703144.04,213896474.9,39.6,40703155.7,166672671.1,42.1,40703153.14,159727978.4,44.9
  J02, 2025-01-16 00:26:00.000,40703333.72,213897406.5,39.9,40703332.38,213897540.5,43.5,40703328.63,213897446.4,39.5,40703340.35,166673428.2,40.6,40703337.95,159728704,44.3
  J02, 2025-01-16 00:26:30.000,40703525.3,213898413.7,41.6,40703523.75,213898547.7,43.7,40703520.28,213898453.7,40,40703531.98,166674213,41.1,40703529.79,159729456.1,45.1
  J02, 2025-01-16 00:27:00.000,40703723.95,213899456.7,41.7,40703722.61,213899590.7,43.9,40703719.15,213899496.6,40,40703730.86,166675025.7,41.4,40703728.17,159730234.9,44.2
  J02, 2025-01-16 00:27:30.000,40703929.33,213900535.5,40.2,40703927.83,213900669.5,43.5,40703924.22,213900575.4,40.4,40703936.06,166675866.3,41.4,40703933.45,159731040.5,44
  J02, 2025-01-16 00:28:00.000,40704141.11,213901650.1,40.5,40704139.68,213901784.1,43.5,40704136.33,213901690,39.8,40704148.17,166676734.8,41.1,40704145.39,159731872.8,44.5
  J02, 2025-01-16 00:28:30.000,40704360.42,213902800.6,39,40704358.83,213902934.6,43.3,40704355.29,213902840.5,40.5,40704366.88,166677631.3,41.3,40704364.46,159732732,44.3
  J02, 2025-01-16 00:29:00.000,40704585.92,213903987.2,39.4,40704584.77,213904121.2,43.5,40704581.15,213904027.2,40,40704592.63,166678555.9,41.3,40704590.09,159733618.1,44.2
  J02, 2025-01-16 00:29:30.000,40704818.67,213905210.1,38.8,40704817.44,213905344.1,43.5,40704813.98,213905250,39.7,40704825.79,166679508.8,41.7,40704822.85,159734531.2,44.5
  J02, 2025-01-16 00:30:00.000,40705058.42,213906469,39.2,40705057.02,213906603.1,43.2,40705053.36,213906509,39.9,40705065.09,166680489.8,42.2,40705062.56,159735471.4,44.3
  J02, 2025-01-16 00:30:30.000,40705304.7,213907764.5,38.5,40705303.33,213907898.5,43.3,40705299.89,213907804.4,39.8,40705311.74,166681499.2,42.1,40705309.14,159736438.7,44.3
  J02, 2025-01-16 00:31:00.000,40705558.05,213909096.3,39.6,40705556.89,213909230.3,43.4,40705553.25,213909136.2,40.7,40705565.14,166682537,40.8,40705562.53,159737433.3,44.6
  J02, 2025-01-16 00:31:30.000,40705818.78,213910464.7,38.6,40705817.31,213910598.8,43.2,40705813.75,213910504.6,39.8,40705825.43,166683603.3,41.8,40705822.91,159738455.1,44.5
  J02, 2025-01-16 00:32:00.000,40706086,213911869.8,38.9,40706084.68,213912003.8,43,40706080.98,213911909.7,41.2,40706092.9,166684698.2,42.3,40706090.34,159739504.4,44.7
  J02, 2025-01-16 00:32:30.000,40706360.36,213913311.5,39.4,40706359.11,213913445.4,43.2,40706355.49,213913351.4,40.2,40706366.95,166685821.5,41.6,40706364.66,159740580.9,44.5
  J02, 2025-01-16 00:33:00.000,40706641.8,213914789.7,39.2,40706640.29,213914923.7,43.4,40706636.81,213914829.6,39.9,40706648.5,166686973.4,42.3,40706645.97,159741684.8,44.7
  J02, 2025-01-16 00:33:30.000,40706930.22,213916304.9,38.6,40706928.61,213916438.9,43.2,40706925.09,213916344.8,39.7,40706936.82,166688154,41.6,40706934.4,159742816.2,44.9
  J02, 2025-01-16 00:34:00.000,40707225.27,213917857,39.8,40707223.88,213917991.1,43.3,40707220.63,213917897,39.5,40707232.29,166689363.5,41.6,40707229.82,159743975.3,45.2
  J02, 2025-01-16 00:34:30.000,40707527.77,213919446.3,38.8,40707526.38,213919580.3,43.4,40707523.15,213919486.2,39.6,40707534.72,166690601.9,41.1,40707532.27,159745162.1,45
  J02, 2025-01-16 00:35:00.000,40707837.14,213921072.6,39.5,40707836.07,213921206.6,42.9,40707832.19,213921112.6,39.5,40707844.18,166691869.1,41.6,40707841.71,159746376.5,45.6
  J02, 2025-01-16 00:35:30.000,40708154.05,213922735.9,39,40708152.41,213922869.9,43.6,40708148.91,213922775.8,40.6,40708160.72,166693165.2,40.9,40708158.1,159747618.6,45
  J02, 2025-01-16 00:36:00.000,40708477.83,213924436.6,39,40708476.08,213924570.6,42.7,40708472.68,213924476.5,39.8,40708484.38,166694490.4,41,40708481.97,159748888.5,44.9
  J02, 2025-01-16 00:36:30.000,40708808.5,213926174.8,38.4,40708806.66,213926308.8,43.2,40708803.31,213926214.7,38.9,40708815,166695844.8,42,40708812.73,159750186.5,44.6
  J02, 2025-01-16 00:37:00.000,40709146.2,213927950.4,39.2,40709145.08,213928084.4,43.4,40709141.13,213927990.4,40.1,40709153.07,166697228.4,42.2,40709150.62,159751512.5,45.1
  J02, 2025-01-16 00:37:30.000,40709491.33,213929763.4,39.8,40709490.17,213929897.4,43.6,40709486.57,213929803.3,40,40709497.95,166698641.1,41.7,40709495.68,159752866.3,45
  J02, 2025-01-16 00:38:00.000,40709843.38,213931613.9,40.4,40709841.89,213931747.9,43.5,40709838.11,213931653.8,40.2,40709850.12,166700083,41.2,40709847.71,159754248.2,45
  J02, 2025-01-16 00:38:30.000,40710202.69,213933502,40,40710201.26,213933636,43,40710197.54,213933541.9,39.7,40710209.39,166701554.2,41.4,40710206.9,159755658.1,44.5
  J02, 2025-01-16 00:39:00.000,40710569.2,213935427.7,39,40710567.68,213935561.7,43.4,40710564.63,213935467.6,40.5,40710575.64,166703054.8,41.4,40710573.56,159757096.1,44.2
  J02, 2025-01-16 00:39:30.000,40710942.67,213937391.1,40.3,40710941.22,213937525.1,43.2,40710937.73,213937431,39.7,40710949.54,166704584.7,41.7,40710947.23,159758562.3,44.3
  J02, 2025-01-16 00:40:00.000,40711323.75,213939392.3,38.7,40711321.96,213939526.3,43.2,40711318.23,213939432.2,40.9,40711330.63,166706144.1,42.3,40711328.06,159760056.7,44.6
  J02, 2025-01-16 00:40:30.000,40711711.78,213941431.5,39.2,40711710.3,213941565.5,43.1,40711706.8,213941471.4,40.1,40711718.59,166707733.1,41.9,40711716.12,159761579.4,44.7
  J02, 2025-01-16 00:41:00.000,40712106.64,213943508.7,39.4,40712105.54,213943642.7,43.3,40712102.04,213943548.6,39.2,40712113.88,166709351.6,41.5,40712111.21,159763130.6,43.9
  J02, 2025-01-16 00:41:30.000,40712509.55,213945623.9,38.8,40712508.11,213945757.9,43.2,40712504.69,213945663.8,39.7,40712516.27,166710999.8,41.4,40712513.8,159764710.1,44.3
  J02, 2025-01-16 00:42:00.000,40712919.19,213947777.1,38.9,40712917.64,213947911.1,43.7,40712914.14,213947817,39.6,40712926.01,166712677.7,40.4,40712923.51,159766318,44.2
  J02, 2025-01-16 00:42:30.000,40713335.95,213949968.5,38.9,40713334.84,213950102.5,43.4,40713331.4,213950008.4,40,40713343.23,166714385.2,42.1,40713340.68,159767954.4,43.9
  J02, 2025-01-16 00:43:00.000,40713760.61,213952198.2,39.6,40713759.39,213952332.1,43.6,40713755.47,213952238.1,40.3,40713767.45,166716122.6,42,40713764.9,159769619.4,43.9
  J02, 2025-01-16 00:43:30.000,40714192.11,213954466.1,39.7,40714190.74,213954600.1,43.5,40714187.27,213954506,40.8,40714198.87,166717889.8,41.4,40714196.36,159771312.9,44.2
  J02, 2025-01-16 00:44:00.000,40714630.88,213956772.5,38.7,40714629.54,213956906.5,43.2,40714626.32,213956812.4,39.5,40714637.8,166719686.9,41.7,40714635.26,159773035.2,44.5
  J02, 2025-01-16 00:44:30.000,40715077.23,213959117.2,38.6,40715075.89,213959251.2,43.1,40715072.4,213959157.1,39,40715084.16,166721514,41.1,40715081.52,159774786.1,44.2
  J02, 2025-01-16 00:45:00.000,40715530.86,213961500.4,39.6,40715529.36,213961634.4,43.5,40715525.9,213961540.3,40.8,40715537.57,166723371,41.8,40715534.99,159776565.8,44
  J02, 2025-01-16 00:45:30.000,40715991.39,213963922,40.9,40715990,213964056,43.7,40715986.52,213963961.9,39.5,40715998.4,166725257.9,41.6,40715995.9,159778374.1,44.1
  J02, 2025-01-16 00:46:00.000,40716460.02,213966382.3,39.4,40716458.38,213966516.3,43.4,40716454.89,213966422.3,39.9,40716466.84,166727175,41.9,40716464.04,159780211.3,43.7
  J02, 2025-01-16 00:46:30.000,40716935.66,213968881.3,38.8,40716934.27,213969015.3,43.1,40716930.57,213968921.2,40.2,40716942.29,166729122.3,40.9,40716939.65,159782077.4,44.1
  J02, 2025-01-16 00:47:00.000,40717418.69,213971418.8,38.6,40717417.02,213971552.8,43.2,40717413.47,213971458.7,40.3,40717425.32,166731099.5,41.4,40717422.54,159783972.3,43.2
  J02, 2025-01-16 00:47:30.000,40717908.44,213973995,38.8,40717907.29,213974129,43.4,40717903.73,213974034.9,39.5,40717915.41,166733106.9,41.6,40717912.9,159785896,43.6
  J02, 2025-01-16 00:48:00.000,40718405.95,213976609.9,39.5,40718404.59,213976743.9,43.8,40718401.13,213976649.8,39.7,40718412.8,166735144.5,41.2,40718410.56,159787848.7,43.6
  J02, 2025-01-16 00:48:30.000,40718911.14,213979263.7,38.9,40718909.59,213979397.7,43.6,40718906.4,213979303.6,40.1,40718918.08,166737212.4,42,40718915.53,159789830.4,43.8
  J02, 2025-01-16 00:49:00.000,40719423.58,213981956.6,39,40719422.43,213982090.6,43.4,40719419.04,213981996.5,40.7,40719430.79,166739310.7,42.8,40719428.01,159791841.3,43.5
  J02, 2025-01-16 00:49:30.000,40719943.45,213984688.4,40.4,40719942.29,213984822.3,43.8,40719938.5,213984728.3,40.4,40719950.54,166741439.4,42.1,40719947.75,159793881.2,43.7
  J02, 2025-01-16 00:50:00.000,40720470.5,213987459,38.9,40720469.43,213987593,43.6,40720465.72,213987499,40.1,40720477.97,166743598.3,42.3,40720475.16,159795950.2,43.9
  J02, 2025-01-16 00:50:30.000,40721005.55,213990268.8,39.3,40721004.12,213990402.8,43.7,40721000.71,213990308.8,40.2,40721012.45,166745787.7,42.5,40721009.87,159798048.4,43.9
  J02, 2025-01-16 00:51:00.000,40721547.5,213993117.8,39.8,40721546.3,213993251.8,43.9,40721542.86,213993157.8,40.4,40721554.5,166748007.7,41.2,40721552.09,159800175.9,44
  J02, 2025-01-16 00:51:30.000,40722097.09,213996006.1,39.2,40722095.98,213996140.1,43.9,40722092.45,213996046,39.9,40722104.34,166750258.3,42.1,40722101.62,159802332.6,43.6
  J02, 2025-01-16 00:52:00.000,40722654.19,213998933.5,39.2,40722653.13,213999067.5,44,40722649.49,213998973.4,40.5,40722661.3,166752539.4,41.5,40722658.75,159804518.7,43.8
  J02, 2025-01-16 00:52:30.000,40723218.77,214001900,38.7,40723217.91,214002034,43.8,40723214.13,214001940,40,40723225.79,166754850.9,42,40723223.51,159806733.9,44.1
