> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C1Z,L1Z,S1Z,C2X,L2X,S2X,C5X,L5X,S5X
  J02, 2025-01-22 00:00:00.000,40701031.61,213885357.1,39.3,40701029.85,213885370.1,43.4,40701026.5,213885341,38.7,40701038.44,166663951.8,41.7,40701036.05,159719614.4,44.5
  J02, 2025-01-22 00:00:30.000,40701204.31,213886265.8,39,40701203.06,213886278.8,42.9,40701199.07,213886249.8,39.9,40701211.52,166664659.9,41.6,40701208.87,159720292.9,44.2
  J02, 2025-01-22 00:01:00.000,40701383.78,213887210,38.2,40701382.56,213887223,43.2,40701378.79,213887193.9,39.4,40701390.92,166665395.6,41.7,40701388.47,159720998,44.8
  J02, 2025-01-22 00:01:30.000,40701570.38,213888189.6,38.9,40701568.79,213888202.6,43.4,40701565.42,213888173.5,39.4,40701577.27,166666158.9,41.6,40701575.02,159721729.5,44.3
  J02, 2025-01-22 00:02:00.000,40701763.23,213889204.7,40.5,40701762.04,213889217.7,43.6,40701758.73,213889188.6,39.7,40701770.52,166666949.9,41.1,40701768.09,159722487.6,44.7
  J02, 2025-01-22 00:02:30.000,40701963.53,213890255.7,40.3,40701961.98,213890268.7,43.3,40701958.67,213890239.6,39.7,40701970.66,166667768.9,41.1,40701968.25,159723272.4,44.2
  J02, 2025-01-22 00:03:00.000,40702170.06,213891342.5,40.5,40702168.85,213891355.5,43.6,40702165.21,213891326.4,39.7,40702177.32,166668615.7,41.4,40702175.02,159724084,44.4
  J02, 2025-01-22 00:03:30.000,40702384.25,213892465.4,40.2,40702382.67,213892478.4,43.7,40702379.37,213892449.3,40.1,40702390.84,166669490.7,41.2,40702388.46,159724922.5,43.9
  J02, 2025-01-22 00:04:00.000,40702604.25,213893624.6,39.4,40702603.43,213893637.6,43.3,40702599.79,213893608.5,39.9,40702611.49,166670394,41.5,40702609.13,159725788.2,44.5
  J02, 2025-01-22 00:04:30.000,40702831.84,213894819.1,39.5,40702830.48,213894832.1,43.2,40702827.05,213894803,39.8,40702838.77,166671324.9,41.4,40702836.48,159726680.2,44.2
  J02, 2025-01-22 00:05:00.000,40703065.97,213896049.9,39.4,40703064.65,213896062.9,43.4,40703061.23,213896033.8,39.5,40703073.16,166672283.9,41.8,40703070.66,159727599.3,44.8
  J02, 2025-01-22 00:05:30.000,40703307.2,213897317,39.1,40703305.9,213897330,43.3,40703302.31,213897300.9,39.9,40703314.02,166673271.3,41.7,40703311.77,159728545.5,44.1
  J02, 2025-01-22 00:06:00.000,40703555.14,213898620.4,39.7,40703553.75,213898633.4,43.7,40703550.4,213898604.3,40.2,40703562.14,166674286.9,42.2,40703559.74,159729518.8,44.5
  J02, 2025-01-22 00:06:30.000,40703809.84,213899960.2,38.8,40703808.61,213899973.2,43.6,40703805.19,213899944.1,39.8,40703817.04,166675330.9,42.7,40703814.7,159730519.4,44.3
  J02, 2025-01-22 00:07:00.000,40704071.64,213901336.7,38.9,40704070.84,213901349.7,43.2,40704067.26,213901320.6,40,40704079.35,166676403.5,41.8,40704076.58,159731547.3,44.3
  J02, 2025-01-22 00:07:30.000,40704341.05,213902749.8,39.4,40704339.72,213902762.8,43.2,40704336.09,213902733.7,40.5,40704348.27,166677504.6,42.2,40704345.52,159732602.5,44.9
  J02, 2025-01-22 00:08:00.000,40704616.95,213904199.6,39.4,40704615.69,213904212.6,43.1,40704612,213904183.5,40.5,40704623.82,166678634.4,42.6,40704621.47,159733685.2,44.4
  J02, 2025-01-22 00:08:30.000,40704899.56,213905686.2,40,40704898.4,213905699.2,43.4,40704894.86,213905670.1,39.5,40704907,166679792.7,41.7,40704904.32,159734795.3,44.8
  J02, 2025-01-22 00:09:00.000,40705189.58,213907209.6,39.8,40705187.95,213907222.6,43.4,40705184.54,213907193.5,39.8,40705196.72,166680979.8,41.7,40705194.29,159735932.9,44.9
  J02, 2025-01-22 00:09:30.000,40705486.97,213908770,38.8,40705485.23,213908783,43.1,40705481.86,213908753.9,39.4,40705493.8,166682195.7,41.9,40705491.14,159737098.1,45.3
