> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C1Z,L1Z,S1Z,C2X,L2X,S2X,C5X,L5X,S5X
  J02, 2025-01-29 00:00:00.000,40721396.86,213992388.9,39.5,40721395.5,213992402.9,43.7,40721392.15,213992371.4,40.2,40721403.98,166747350.6,41.8,40721401.29,159799536.5,43.2
  J02, 2025-01-29 00:00:30.000,40721965.42,213995377,39,40721964.18,213995391,43.8,40721960.53,213995359.5,40,40721972.46,166749679,42.1,40721970.13,159801767.9,43.7
  J02, 2025-01-29 00:01:00.000,40722541.39,213998404.5,39.8,40722540.15,213998418.5,44.1,40722536.9,213998386.9,40.3,40722548.44,166752038.1,42,40722546.27,159804028.7,43.8
  J02, 2025-01-29 00:01:30.000,40723125.28,214001471.2,39.5,40723124.06,214001485.2,43.9,40723120.2,214001453.7,40.8,40723132.02,166754427.7,41.8,40723129.87,159806318.7,43.9
  J02, 2025-01-29 00:02:00.000,40723716.48,214004577.4,39.7,40723714.76,214004591.4,44.2,40723711.28,214004559.8,40.4,40723723.47,166756848.2,41.7,40723720.96,159808638.3,44.1
  J02, 2025-01-29 00:02:30.000,40724314.67,214007722.9,39.4,40724313.46,214007736.9,44,40724309.75,214007705.3,40.4,40724321.86,166759299.2,41.9,40724319.31,159810987.2,44.3
  J02, 2025-01-29 00:03:00.000,40724921.05,214010907.8,40.5,40724919.67,214010921.8,43.9,40724916.19,214010890.3,40.7,40724927.78,166761781,41.4,40724925.45,159813365.6,44.1
  J02, 2025-01-29 00:03:30.000,40725534.55,214014132.4,39.9,40725533.3,214014146.4,43.9,40725529.58,214014114.8,41,40725541.53,166764293.6,41.4,40725539.08,159815773.6,43.7
  J02, 2025-01-29 00:04:00.000,40726155.77,214017396.7,39.3,40726154.3,214017410.7,43.7,40726151.01,214017379.2,39.9,40726162.86,166766837.3,42.1,40726160.28,159818211.2,43.7
  J02, 2025-01-29 00:04:30.000,40726784.56,214020700.8,39.5,40726783.01,214020714.8,43.9,40726779.61,214020683.2,40.8,40726791.51,166769411.9,41.8,40726789.07,159820678.5,44.3
  J02, 2025-01-29 00:05:00.000,40727420.84,214024044.1,41.1,40727419.3,214024058.1,44,40727415.63,214024026.6,40.6,40727427.79,166772017.1,41.9,40727425.24,159823175.2,43.6
  J02, 2025-01-29 00:05:30.000,40728064.83,214027427.1,40.5,40728063.09,214027441.1,44.1,40728059.28,214027409.5,41.5,40728071.08,166774653.2,41.6,40728069.04,159825701.5,44.2
  J02, 2025-01-29 00:06:00.000,40728716.31,214030849.8,39.9,40728714.24,214030863.8,44.1,40728710.67,214030832.3,41.1,40728722.86,166777320.3,41.6,40728720.29,159828257.4,44.2
  J02, 2025-01-29 00:06:30.000,40729375,214034312.3,39.9,40729373.27,214034326.2,44,40729369.75,214034294.7,41.3,40729381.61,166780018.3,41.6,40729379.17,159830843,43.5
  J02, 2025-01-29 00:07:00.000,40730041.27,214037814.2,40.3,40730039.64,214037828.2,44.3,40730035.98,214037796.7,40.4,40730048.09,166782747.1,41.5,40730045.55,159833458.1,44
  J02, 2025-01-29 00:07:30.000,40730715.11,214041356,39.7,40730713.59,214041370,44.1,40730710.02,214041338.4,40.9,40730721.78,166785506.9,42.3,40730719.48,159836102.9,44
