> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C1Z,L1Z,S1Z,C2X,L2X,S2X,C5X,L5X,S5X
  J02, 2025-01-09 00:03:00.000,40705836.44,213910597.5,30.6,40705834.75,213910690.4,34.9,40705830.82,213910584.3,30.9,40705843.41,166683672.1,31.8,40705840.97,159738521.9,34.8
  J02, 2025-01-09 00:03:30.000,40705460.23,213908625.1,32.4,40705459.26,213908718.1,35.3,40705455.64,213908612,31.8,40705467,166682135.2,30.3,40705465.07,159737049,33.3
  J02, 2025-01-09 00:04:00.000,40705089.66,213906674.7,33.6,40705087.93,213906767.7,35.3,40705084.7,213906661.6,33.1,40705095.51,166680615.4,31.2,40705094.13,159735592.6,34.2
  J02, 2025-01-09 00:04:30.000,40704722.63,213904744.2,33.7,40704720.7,213904837.2,37.3,40704716.91,213904731.1,34.5,40704727.97,166679111.1,30.8,40704727.02,159734150.9,34.6
  J02, 2025-01-09 00:05:00.000,40704358.77,213902834.9,32.5,40704356.75,213902927.9,37.3,40704353.35,213902821.7,33.5,40704365.03,166677623.3,31.4,40704363.71,159732725.1,35.2
  J02, 2025-01-09 00:05:30.000,40703999.78,213900947.2,32.4,40703997.79,213901040.2,36.4,40703994.65,213900934.1,32.5,40704006.72,166676152.4,32.4,40704004.57,159731315.5,35
  J02, 2025-01-09 00:06:00.000,40703644.8,               ,31.5,40703642.98,213899174.5,36.6,40703639.34,               ,31.9,40703650.75,166674698.6,32.2,40703649.57,159729922.3,35.6
  J02, 2025-01-09 00:06:30.000,40703294.06,213897238.1,31.4,40703292.18,213897331.1,36.6,40703288.78,213897225,32.8,40703301.07,166673262.2,32.2,40703298.81,159728545.7,35
  J02, 2025-01-09 00:07:00.000,40702947.02,213895416.9,32.4,40702945.36,213895510,37.5,40702942.11,213895403.8,32.1,40702954.64,166671843.1,33.2,40702951.79,159727185.8,35.4
  J02, 2025-01-09 00:07:30.000,40702604.3,213893618.2,32.6,40702603.25,213893711.2,37.3,40702599.92,213893605.1,32.8,40702611.96,166670441.5,32.5,40702609.66,159725842.6,34.8
  J02, 2025-01-09 00:08:00.000,40702265.84,213891842,30.7,40702264.59,213891935.1,37.1,40702261.66,213891828.9,32.3,40702273.13,166669057.5,32.1,40702271.79,159724516.2,35
  J02, 2025-01-09 00:08:30.000,40701932.34,213890088.7,32.2,40701931.42,213890181.7,37,40701928.02,213890075.5,33.5,40701941.1,166667691.2,31.1,40701938.26,159723206.8,35
  J02, 2025-01-09 00:09:00.000,40701603.8,213888358.1,32.7,40701602.27,213888451.1,37.3,40701598.97,213888344.9,33.9,40701610.69,166666342.6,31.7,40701608.86,159721914.5,34.3
  J02, 2025-01-09 00:09:30.000,40701278.55,213886650.8,33.3,40701277.03,213886743.8,37.2,40701273.34,213886637.7,33.7,40701285.48,166665012.3,33.3,40701283.93,159720639.6,34.9
  J02, 2025-01-09 00:10:00.000,40700958.13,213884966.8,33.2,40700956.66,213885059.8,37.6,40700953.4,213884953.7,35,40700965.27,166663700.1,32,40700962.87,159719382.1,35.8
  J02, 2025-01-09 00:10:30.000,40700642.67,213883306.3,33.7,40700641.39,213883399.3,37.4,40700637.5,213883293.2,35.4,40700649.15,166662406.2,31.4,40700647.07,159718142.1,34.6
