> PRN,"	                    time","	            C1C","	            L1C","	            D1C","	            S1C","	            C2L","	            L2L","	            D2L","	            S2L","	            C5Q","	            L5Q","	            D5Q","	            S5Q","	            C1L","	            L1L","	            D1L","	            S1L","	            C1Z","	            L1Z","	            D1Z","	            S1Z","	            C5P","	            L5P","	            D5P","	            S5P"
  J02, 2025-01-18 00:00:00.000,39154510.21,205758637.7,-1988.337,40.62,39154513.73,160331572.1,-1549.349,41.814,39154514.51,153651128.8,-1484.919,44.939,39154510.42,205758641.7,-1988.374,41.237,39154506.99,205758563,-1988.441,41.344,39154511.26,153651116.7,-1484.883,41.936
  J02, 2025-01-18 00:00:30.000,39165865.28,205818306.1,-1988.956,40.839,39165868.09,160378066.9,-1549.754,41.44,39165869.24,153695686.2,-1485.2,45.275,39165865.26,205818310.1,-1988.898,41.364,39165861.98,205818231.4,-1988.886,41.468,39165865.9,153695674.2,-1485.211,42.055
  J02, 2025-01-18 00:01:00.000,39177220.77,205877979.7,-1989.191,41.025,39177223.96,160424565.7,-1549.964,41.914,39177224.8,153740247.7,-1485.557,45.365,39177220.83,205877983.8,-1989.441,41.487,39177217.75,205877905,-1989.268,41.273,39177221.57,153740235.6,-1485.56,42.167
  J02, 2025-01-18 00:01:30.000,39188577.99,205937662.7,-1990.292,40.889,39188581.17,160471071.9,-1550.731,41.819,39188582.37,153784816,-1486.174,45.43,39188578.18,205937666.7,-1990.14,41.69,39188574.96,205937587.9,-1990.264,41.652,39188579.09,153784804,-1486.043,41.869
  J02, 2025-01-18 00:02:00.000,39199936.29,205997349.4,-1989.403,40.98,39199939.26,160517581,-1549.999,41.592,39199940.41,153829387.2,-1485.449,45.455,39199936.19,205997353.4,-1989.42,41.487,39199933.02,205997274.7,-1989.338,41.721,39199937.16,153829375.2,-1485.553,42.049
  J02, 2025-01-18 00:02:30.000,39211295,206057042.4,-1989.713,40.627,39211298.53,160564094.9,-1550.336,41.9,39211299.6,153873963.1,-1485.656,45.281,39211295.36,206057046.3,-1989.538,41.294,39211292,206056967.6,-1989.518,41.58,39211296.32,153873951,-1485.698,41.983
  J02, 2025-01-18 00:03:00.000,39222656.59,206116744.6,-1989.807,41.302,39222659.89,160610616.1,-1550.379,42.108,39222660.51,153918545.8,-1485.773,45.168,39222656.7,206116748.6,-1989.646,41.535,39222653.26,206116669.9,-1989.628,41.509,39222657.24,153918533.8,-1485.768,41.993
  J02, 2025-01-18 00:03:30.000,39234018.1,206176449.8,-1989.895,41.013,39234021.44,160657139.5,-1550.469,42.004,39234022.06,153963130.8,-1485.95,44.966,39234018.09,206176453.8,-1989.906,41.673,39234014.9,206176375.1,-1989.881,41.85,39234018.74,153963118.8,-1485.953,41.638
  J02, 2025-01-18 00:04:00.000,39245380.58,206236160.5,-1991.225,41.023,39245383.8,160703667.3,-1551.68,41.459,39245384.71,154007719.9,-1486.935,44.841,39245380.8,206236164.5,-1991.412,41.747,39245377.62,206236085.8,-1991.261,41.564,39245381.48,154007707.9,-1486.943,42.08
  J02, 2025-01-18 00:04:30.000,39256744.54,206295877.1,-1991.204,41.425,39256748.07,160750199.7,-1551.438,41.831,39256748.6,154052313.4,-1486.782,44.919,39256744.55,206295881.1,-1990.947,41.65,39256741.27,206295802.4,-1991.015,41.776,39256745.28,154052301.4,-1486.774,41.928
  J02, 2025-01-18 00:05:00.000,39268109.07,206355597.9,-1991.475,41.302,39268112.37,160796735.3,-1551.727,41.824,39268112.91,154096910,-1487.009,44.813,39268109.11,206355601.8,-1991.325,41.659,39268105.86,206355523.1,-1991.289,41.828,39268109.79,154096898,-1486.953,42.011
  J02, 2025-01-18 00:05:30.000,39279474.45,206415324.2,-1991.143,41.302,39279477.83,160843275.3,-1551.496,41.392,39279478.44,154141510.9,-1486.806,44.793,39279474.64,206415328.2,-1990.969,41.516,39279471.4,206415249.5,-1990.925,41.883,39279475.28,154141498.8,-1486.74,41.752
  J02, 2025-01-18 00:06:00.000,39290840.43,206475053.2,-1991.721,40.868,39290843.61,160889817.2,-1551.967,41.456,39290844.66,154186113.6,-1487.379,44.879,39290840.77,206475057.1,-1991.734,41.206,39290837.5,206474978.4,-1991.7,41.64,39290841.4,154186101.6,-1487.366,41.721
  J02, 2025-01-18 00:06:30.000,39302207.56,206534788.6,-1991.265,40.82,39302210.95,160936364.2,-1551.576,41.356,39302212.03,154230721.1,-1486.918,44.975,39302207.94,206534792.6,-1991.413,41.387,39302204.43,206534713.9,-1991.269,41.371,39302208.81,154230709.1,-1486.893,41.602
