> PRN,"	                    time","	            C1C","	            L1C","	            D1C","	            S1C","	            C2L","	            L2L","	            D2L","	            S2L","	            C5Q","	            L5Q","	            D5Q","	            S5Q","	            C1L","	            L1L","	            D1L","	            S1L","	            C1Z","	            L1Z","	            D1Z","	            S1Z","	            C5P","	            L5P","	            D5P","	            S5P"
  J02, 2025-01-04 00:00:00.000,37884546.06,199084667.2,-1909.728,42.8,37884551.7,155130963.5,-1488.21,43.725,37884553.31,148667192.6,-1426.155,46.874,37884546.29,199084683.2,-1909.834,43.49,37884542.83,199084649.3,-1909.799,43.534,37884550.06,148667176.5,-1426.174,43.822
  J02, 2025-01-04 00:00:30.000,37895453,199141981.1,-1910.664,43.1,37895458.37,155175623.6,-1488.851,43.869,37895459.74,148709991.9,-1426.771,46.995,37895453.01,199141997.1,-1910.636,43.416,37895449.76,199141963.2,-1910.822,44.029,37895456.51,148709975.8,-1426.817,43.604
  J02, 2025-01-04 00:01:00.000,37906365.72,199199328.9,-1911.941,42.675,37906371.11,155220310.2,-1489.819,43.113,37906372.65,148752816.5,-1427.734,46.839,37906365.79,199199344.9,-1911.936,43.333,37906362.45,199199311.1,-1911.944,43.735,37906369.43,148752800.4,-1427.82,43.511
  J02, 2025-01-04 00:01:30.000,37917285.69,199256712.5,-1913.432,43.194,37917291.09,155265024.6,-1490.943,43.238,37917292.43,148795667.8,-1428.833,46.669,37917285.78,199256728.5,-1913.449,43.488,37917282.46,199256694.7,-1913.375,44.006,37917289.19,148795651.7,-1428.809,43.6
  J02, 2025-01-04 00:02:00.000,37928211.94,199314130.2,-1914.569,42.747,37928217.52,155309765.6,-1491.849,43.511,37928218.8,148838544.6,-1429.715,46.77,37928211.85,199314146.3,-1914.578,43.464,37928208.56,199314112.4,-1914.561,43.342,37928215.56,148838528.5,-1429.682,43.704
  J02, 2025-01-04 00:02:30.000,37939144.74,199371582.8,-1914.869,42.885,37939150.11,155354533.8,-1492.173,43.554,37939151.87,148881447.5,-1429.964,46.818,37939144.88,199371598.8,-1914.923,43.316,37939141.61,199371565,-1914.911,43.526,37939148.66,148881431.4,-1429.868,44.071
  J02, 2025-01-04 00:03:00.000,37950083.84,199429066.6,-1917.306,42.878,37950088.85,155399326.2,-1493.951,43.46,37950090.74,148924373.5,-1431.696,46.619,37950083.65,199429082.6,-1917.246,43.255,37950080.36,199429048.7,-1917.328,44.021,37950087.43,148924357.4,-1431.721,43.97
  J02, 2025-01-04 00:03:30.000,37961028.99,199486584.9,-1918.139,42.737,37961034.1,155444145.6,-1494.707,43.291,37961036.15,148967325.4,-1432.339,46.995,37961029.05,199486600.9,-1918.097,43.219,37961025.71,199486567,-1918.123,43.543,37961032.94,148967309.3,-1432.338,43.996
  J02, 2025-01-04 00:04:00.000,37971980.75,199544135.8,-1918.763,43.027,37971986.09,155488990.4,-1495.014,43.676,37971987.62,149010301.7,-1432.833,46.695,37971980.77,199544151.8,-1918.763,43.513,37971977.51,199544117.9,-1918.673,43.848,37971984.36,149010285.6,-1432.866,43.718
  J02, 2025-01-04 00:04:30.000,37982939.3,199601722,-1919.724,43.583,37982944.43,155533862.8,-1495.801,43.424,37982945.98,149053304.3,-1433.513,46.803,37982939.24,199601738,-1919.695,43.244,37982936.02,199601704.2,-1919.662,43.702,37982942.69,149053288.2,-1433.553,43.589
  J02, 2025-01-04 00:05:00.000,37993903.38,199659339.7,-1921.609,42.95,37993908.83,155578759.6,-1497.348,43.283,37993910.45,149096330.4,-1435.009,46.76,37993903.27,199659355.7,-1921.691,43.113,37993900.07,199659321.8,-1921.64,43.327,37993907.16,149096314.3,-1434.992,43.591
  J02, 2025-01-04 00:05:30.000,38004874.21,199716990.1,-1921.874,43.105,38004879.51,155623681.9,-1497.579,43.503,38004880.99,149139381,-1435.277,46.716,38004874.08,199717006.1,-1921.963,43.338,38004870.89,199716972.2,-1922.011,43.86,38004877.78,149139364.9,-1435.269,43.372
