> PRN,"	                    time","	            C1C","	            L1C","	            D1C","	            S1C","	            C2L","	            L2L","	            D2L","	            S2L","	            C5Q","	            L5Q","	            D5Q","	            S5Q","	            C1L","	            L1L","	            D1L","	            S1L","	            C1Z","	            L1Z","	            D1Z","	            S1Z","	            C5P","	            L5P","	            D5P","	            S5P"
  J02, 2025-01-23 00:00:00.000,39606206.01,208131957.4,-1991.566,41.092,39606209.85,162180732.7,-1551.848,41.764,39606210.91,155423203.9,-1487.168,44.311,39606205.86,208131958.4,-1991.401,40.989,39606202.59,208131939.7,-1991.597,41.256,39606207.45,155423191.9,-1487.216,41.18
  J02, 2025-01-23 00:00:30.000,39617573.21,208191694.4,-1990.766,40.25,39617577.23,162227281,-1551.484,40.958,39617578.48,155467812.7,-1486.87,44.479,39617573.12,208191695.4,-1991.096,40.803,39617569.81,208191676.7,-1991.085,40.822,39617575.16,155467800.7,-1486.835,41.07
  J02, 2025-01-23 00:01:00.000,39628939.98,208251428.6,-1991.645,40.1,39628944.24,162273827.1,-1551.869,41.111,39628945.59,155512419.4,-1487.247,44.253,39628939.89,208251429.6,-1991.618,40.331,39628936.67,208251410.9,-1991.731,40.691,39628942.3,155512407.4,-1487.168,41.106
  J02, 2025-01-23 00:01:30.000,39640306.2,208311156.7,-1990.164,40.4,39640309.68,162320368.5,-1550.897,40.949,39640311.49,155557021.5,-1486.301,44.262,39640306.28,208311157.7,-1990.255,40.658,39640303.09,208311139,-1990.234,40.822,39640308.14,155557009.5,-1486.163,40.949
  J02, 2025-01-23 00:02:00.000,39651670.71,208370880.5,-1991.454,39.733,39651675.42,162366906.5,-1551.598,41.066,39651676.68,155601620.4,-1487.11,44.503,39651670.71,208370881.5,-1991.203,39.952,39651667.41,208370862.8,-1991.432,40.021,39651673.46,155601608.4,-1487.049,40.939
  J02, 2025-01-23 00:02:30.000,39663034.6,208430597.3,-1990.646,39.592,39663039.09,162413439,-1551.369,40.653,39663040.42,155646214,-1486.704,44.339,39663034.66,208430598.3,-1990.791,39.949,39663031.54,208430579.6,-1990.861,40.102,39663037.09,155646202,-1486.717,40.951
  J02, 2025-01-23 00:03:00.000,39674397.94,208490309.7,-1990.449,40.014,39674402.38,162459968.1,-1551.013,41.38,39674403.45,155690804.5,-1486.492,44.304,39674397.94,208490310.7,-1990.576,40.334,39674394.53,208490292,-1990.421,40.701,39674400.08,155690792.5,-1486.545,41.359
  J02, 2025-01-23 00:03:30.000,39685759.88,208550018.4,-1990.29,40.181,39685764.01,162506494.4,-1551.063,40.646,39685765.45,155735392.1,-1486.355,44.284,39685759.83,208550019.4,-1990.355,40.367,39685756.62,208550000.8,-1990.516,40.527,39685762.15,155735380.1,-1486.382,40.949
  J02, 2025-01-23 00:04:00.000,39697120.17,208609718,-1990.567,40.422,39697124.73,162553013.5,-1551.044,41.042,39697126,155779972.9,-1486.441,44.381,39697120.42,208609719,-1990.629,40.672,39697117.19,208609700.3,-1990.401,40.76,39697122.66,155779960.9,-1486.545,40.958
  J02, 2025-01-23 00:04:30.000,39708480.3,208669411.8,-1989.055,40.97,39708484.29,162599528.1,-1549.953,41.328,39708485.43,155824549.4,-1485.399,44.313,39708480.36,208669412.8,-1989.088,40.796,39708477.06,208669394.1,-1989,41.104,39708482.19,155824537.4,-1485.413,40.93
