> PRN,"	                    time","	            C1C","	            L1C","	            D1C","	            S1C","	            C2L","	            L2L","	            D2L","	            S2L","	            C5Q","	            L5Q","	            D5Q","	            S5Q","	            C1L","	            L1L","	            D1L","	            S1L","	            C1Z","	            L1Z","	            D1Z","	            S1Z","	            C5P","	            L5P","	            D5P","	            S5P"
  J02, 2025-01-02 00:00:00.000,37702812,198129763.2,-1891.825,43.058,37702814.05,154387038.1,-1474.2,43.56,37702814.86,147954293,-1412.781,47.378,37702812.14,198129766.2,-1891.84,43.34,37702808.78,198129752.3,-1891.872,44.004,37702811.6,147954279.9,-1412.703,44.421
  J02, 2025-01-02 00:00:30.000,37713607.55,198186495.3,-1890.956,42.654,37713609.77,154431244.9,-1473.481,43.68,37713610.6,147996657.9,-1412.065,47.168,37713607.63,198186498.3,-1890.934,43.479,37713604.24,198186484.5,-1891.025,43.319,37713607.36,147996644.7,-1412.107,44.131
  J02, 2025-01-02 00:01:00.000,37724410.3,198243263.2,-1893.409,42.967,37724412.18,154475479.5,-1475.449,43.676,37724413.15,148039049.4,-1413.922,47.426,37724410.46,198243266.2,-1893.434,43.498,37724407.18,198243252.3,-1893.372,44.044,37724409.84,148039036.3,-1413.908,43.962
  J02, 2025-01-02 00:01:30.000,37735220.17,198300070.8,-1894.056,42.967,37735222.54,154519745.2,-1475.87,43.725,37735223.34,148081470.6,-1414.356,47.187,37735220.33,198300073.8,-1894.037,43.382,37735217.12,198300059.9,-1894.112,43.735,37735220.02,148081457.5,-1414.427,44.129
  J02, 2025-01-02 00:02:00.000,37746037.62,198356915.1,-1895.122,42.984,37746039.48,154564039.4,-1476.685,43.354,37746040.51,148123919.2,-1415.174,46.955,37746037.51,198356918.1,-1895.105,43.05,37746034.37,198356904.2,-1895.034,43.598,37746037.24,148123906.1,-1415.175,44.197
  J02, 2025-01-02 00:02:30.000,37756861.45,198413794.9,-1897.35,42.669,37756863.27,154608361.2,-1478.442,42.944,37756864.28,148166394.4,-1416.86,46.99,37756861.27,198413797.9,-1897.395,43.227,37756858.05,198413784,-1897.303,43.234,37756861.03,148166381.2,-1416.858,44.101
  J02, 2025-01-02 00:03:00.000,37767693.19,198470715.7,-1898.284,42.929,37767695.21,154652715.1,-1479.184,43.238,37767695.94,148208900.1,-1417.527,46.926,37767693.16,198470718.7,-1898.225,43.35,37767690.13,198470704.8,-1898.342,44.012,37767692.62,148208887,-1417.558,44.083
  J02, 2025-01-02 00:03:30.000,37778531.46,198527672.1,-1899.034,42.925,37778533.71,154697096.6,-1479.743,43.327,37778534.56,148251432.4,-1418.157,46.947,37778531.7,198527675.1,-1899.061,43.577,37778528.4,198527661.2,-1899.129,43.903,37778531.21,148251419.3,-1418.096,43.818
  J02, 2025-01-02 00:04:00.000,37789376.81,198584663.2,-1900.484,43.081,37789378.5,154741505.3,-1480.835,43.192,37789379.67,148293990.7,-1419.188,47.133,37789377,198584666.2,-1900.48,43.793,37789373.65,198584652.4,-1900.475,43.949,37789376.39,148293977.6,-1419.17,44.093
  J02, 2025-01-02 00:04:30.000,37800229.29,198641692.7,-1901.027,43.111,37800231.36,154785943.8,-1481.38,43.788,37800232.14,148336577.6,-1419.547,46.987,37800229.24,198641695.7,-1901.041,43.503,37800226.02,198641681.9,-1900.997,43.805,37800228.8,148336564.5,-1419.604,43.736
