> PRN,"	                    time","	            C1C","	            L1C","	            D1C","	            S1C","	            C2L","	            L2L","	            D2L","	            S2L","	            C5Q","	            L5Q","	            D5Q","	            S5Q","	            C1L","	            L1L","	            D1L","	            S1L","	            C1Z","	            L1Z","	            D1Z","	            S1Z","	            C5P","	            L5P","	            D5P","	            S5P"
  J02, 2025-01-01 00:00:00.000,37612611.94,197655794.1,-1880.161,43.086,37612616.01,154017653.2,-1465.088,43.621,37612617.1,147600297.5,-1404.01,47.042,37612612.02,197655835.1,-1880.241,43.378,37612608.72,197655778.2,-1880.193,43.716,37612613.82,147600284.4,-1404.031,44.321
  J02, 2025-01-01 00:00:30.000,37623349.85,197712223,-1880.427,42.921,37623353.94,154061623.8,-1465.17,43.621,37623355.15,147642436,-1404.239,47.18,37623349.86,197712264,-1880.386,43.507,37623346.56,197712207.1,-1880.449,43.716,37623351.98,147642422.8,-1404.175,44.334
  J02, 2025-01-01 00:01:00.000,37634094.48,197768686.6,-1883.181,43.164,37634098.81,154105621.4,-1467.494,43.613,37634099.95,147684600.3,-1406.346,47.518,37634094.59,197768727.6,-1883.3,43.545,37634091.29,197768670.8,-1883.237,43.486,37634096.72,147684587.2,-1406.33,44.483
  J02, 2025-01-01 00:01:30.000,37644847.23,197825191.7,-1883.569,42.984,37644851.08,154149651.3,-1467.751,43.725,37644852.48,147726795.6,-1406.571,47.279,37644847.26,197825232.7,-1883.648,43.524,37644843.86,197825175.8,-1883.598,43.754,37644849.23,147726782.5,-1406.602,44.196
  J02, 2025-01-01 00:02:00.000,37655607.94,197881740.3,-1884.664,43.445,37655611.85,154193715.1,-1468.478,43.685,37655613.36,147769023.5,-1407.391,47.148,37655608.14,197881781.3,-1884.621,43.64,37655604.86,197881724.4,-1884.695,43.9,37655610.11,147769010.3,-1407.429,44.108
  J02, 2025-01-01 00:02:30.000,37666375.35,197938322.6,-1887.385,43.518,37666379.36,154237805.2,-1470.71,43.443,37666380.67,147811276.5,-1409.384,46.995,37666375.52,197938363.6,-1887.328,43.354,37666372.02,197938306.7,-1887.304,43.735,37666377.52,147811263.3,-1409.475,43.953
  J02, 2025-01-01 00:03:00.000,37677150.47,197994945.9,-1888.406,43.143,37677154.38,154281927.2,-1471.449,43.517,37677155.76,147853560.1,-1410.159,47.179,37677150.53,197994986.9,-1888.48,43.302,37677147.1,197994930,-1888.45,43.594,37677152.52,147853546.9,-1410.208,44.205
  J02, 2025-01-01 00:03:30.000,37687933,198051607.9,-1889.274,43.465,37687936.93,154326079.3,-1472.18,43.456,37687938.24,147895872.5,-1410.862,47.339,37687933.11,198051648.8,-1889.262,43.625,37687929.96,198051592,-1889.255,44.102,37687935.01,147895859.4,-1410.839,44.242
  J02, 2025-01-01 00:04:00.000,37698722.2,198108305.7,-1891.201,43.117,37698726.09,154370259.5,-1473.766,43.782,37698727.54,147938211.8,-1412.378,47.393,37698722.4,198108346.7,-1891.327,43.996,37698718.78,198108289.9,-1891.305,44.004,37698724.27,147938198.7,-1412.348,44.146
  J02, 2025-01-01 00:04:30.000,37709518.85,198165043.2,-1891.854,43.067,37709522.79,154414470.5,-1474.299,43.426,37709524.25,147980580.7,-1412.806,47.045,37709519.03,198165084.2,-1891.94,43.765,37709515.66,198165027.4,-1891.896,43.564,37709520.94,147980567.6,-1412.734,44.111
