> PRN,"	                    time","	            C1C","	            L1C","	            D1C","	            S1C","	            C2L","	            L2L","	            D2L","	            S2L","	            C5Q","	            L5Q","	            D5Q","	            S5Q","	            C1L","	            L1L","	            D1L","	            S1L","	            C1Z","	            L1Z","	            D1Z","	            S1Z","	            C5P","	            L5P","	            D5P","	            S5P"
  J02, 2025-01-14 00:00:00.000,38786299.44,203823531.4,-1974.342,42.29,38786303.12,158823654.2,-1538.34,42.294,38786304.87,152206090.2,-1474.291,45.536,38786299.27,203823594.4,-1974.242,42.463,38786296.28,203823521.7,-1974.322,42.889,38786301.56,152206078.1,-1474.389,42.665
  J02, 2025-01-14 00:00:30.000,38797578.98,203882805.8,-1976.069,41.819,38797583.01,158869842,-1539.804,42.466,38797584.42,152250353.5,-1475.585,45.719,38797579.02,203882868.8,-1976.046,42.21,38797575.37,203882796.1,-1976.066,42.432,38797581.07,152250341.4,-1475.659,42.709
  J02, 2025-01-14 00:01:00.000,38808860.78,203942092.2,-1976.67,41.785,38808864.68,158916039.1,-1540.29,42.159,38808866.09,152294625.7,-1476.09,45.831,38808860.75,203942155.2,-1976.597,41.945,38808857.61,203942082.4,-1976.617,42.421,38808862.8,152294613.7,-1475.906,42.599
  J02, 2025-01-14 00:01:30.000,38820146.24,204001397.8,-1977.117,41.726,38820150.44,158962251.2,-1540.529,42.326,38820151.76,152338912.3,-1476.431,45.764,38820146.16,204001460.8,-1977.06,41.969,38820142.87,204001388,-1977.018,42.087,38820148.45,152338900.3,-1476.394,42.54
  J02, 2025-01-14 00:02:00.000,38831433.8,204060715.5,-1976.857,41.661,38831437.91,159008472.8,-1540.284,42.334,38831439.63,152383207.9,-1476.264,45.756,38831433.83,204060778.5,-1976.956,41.65,38831430.76,204060705.8,-1976.8,42.078,38831436.3,152383195.9,-1476.271,42.519
  J02, 2025-01-14 00:02:30.000,38842725.05,204120050,-1979.048,41.449,38842729.12,159054707.4,-1541.99,42.085,38842730.57,152427516.1,-1477.705,45.78,38842724.98,204120113,-1978.91,42,38842721.97,204120040.3,-1978.83,42.19,38842727.25,152427504.1,-1477.694,42.514
  J02, 2025-01-14 00:03:00.000,38854018.74,204179398.6,-1979.13,41.645,38854022.93,159100953,-1542.085,42.472,38854024.14,152471834.8,-1477.84,45.655,38854018.9,204179461.6,-1979,42.275,38854015.64,204179388.8,-1978.985,42.423,38854020.91,152471822.8,-1477.817,42.538
  J02, 2025-01-14 00:03:30.000,38865314.97,204238761.9,-1979.048,41.819,38865319.24,159147210.1,-1542.083,42.239,38865320.73,152516164.5,-1477.818,45.594,38865315.22,204238824.9,-1978.994,42.218,38865311.72,204238752.2,-1979.03,42.315,38865317.48,152516152.5,-1477.919,42.449
  J02, 2025-01-14 00:04:00.000,38876614.43,204298139.6,-1979.874,41.626,38876618.31,159193478.3,-1542.829,42.108,38876620.24,152560504.9,-1478.411,45.827,38876614.48,204298202.6,-1979.842,42.112,38876611.32,204298129.8,-1979.802,42.377,38876616.89,152560492.9,-1478.479,42.578
  J02, 2025-01-14 00:04:30.000,38887916.52,204357532.3,-1979.857,41.897,38887920.71,159239758.3,-1542.637,41.94,38887922.23,152604856.5,-1478.468,45.768,38887916.64,204357595.3,-1979.894,42.209,38887913.39,204357522.6,-1979.924,42.538,38887918.94,152604844.5,-1478.419,42.453
  J02, 2025-01-14 00:05:00.000,38899221.13,204416937.2,-1980.509,41.566,38899225.47,159286047.8,-1543.192,42.538,38899226.6,152649217.3,-1478.921,45.698,38899221.11,204417000.2,-1980.399,41.669,38899217.78,204416927.5,-1980.418,42.254,38899223.29,152649205.2,-1478.88,42.741
  J02, 2025-01-14 00:05:30.000,38910528.53,204476356.7,-1980.962,42.078,38910532.05,159332348.6,-1543.521,42.108,38910533.87,152693588.9,-1479.195,45.812,38910528.54,204476419.7,-1980.875,41.84,38910525.32,204476347,-1980.874,42.375,38910530.63,152693576.8,-1479.122,42.65
