> PRN,"	                    time","	            C1C","	            L1C","	            D1C","	            S1C","	            C2L","	            L2L","	            D2L","	            S2L","	            C5Q","	            L5Q","	            D5Q","	            S5Q","	            C1L","	            L1L","	            D1L","	            S1L","	            C1Z","	            L1Z","	            D1Z","	            S1Z","	            C5P","	            L5P","	            D5P","	            S5P"
  J02, 2025-01-10 00:00:00.000,38420938.63,201903639.8,-1954.776,42.269,38420942.09,157327679,-1523.099,42.65,38420943.49,150772419.2,-1459.748,46.258,38420938.92,201903684.8,-1954.67,42.332,38420935.69,201903613,-1954.651,43.124,38420940.24,150772406.1,-1459.563,43.414
  J02, 2025-01-10 00:00:30.000,38432106.46,201962326,-1956.505,42.066,38432109.82,157373408.5,-1524.517,42.557,38432111.16,150816243.3,-1460.995,46.317,38432106.5,201962371,-1956.581,42.535,38432102.84,201962299.2,-1956.676,42.728,38432107.9,150816230.2,-1461.053,43.132
  J02, 2025-01-10 00:01:00.000,38443277.39,202021031.2,-1957.714,41.623,38443281.22,157419152.8,-1525.603,42.538,38443282.64,150860081.6,-1462.027,46.399,38443277.53,202021076.2,-1957.76,42.279,38443274.09,202021004.5,-1957.77,42.427,38443279.38,150860068.5,-1462.016,43.259
  J02, 2025-01-10 00:01:30.000,38454453.36,202079759.8,-1958.029,42.277,38454456.73,157464915.3,-1525.773,42.341,38454458.23,150903937.3,-1462.101,46.285,38454453.47,202079804.7,-1958.009,42.506,38454450.19,202079733,-1958.052,42.698,38454455.01,150903924.2,-1462.246,43.278
  J02, 2025-01-10 00:02:00.000,38465633.76,202138513.8,-1958.531,42.032,38465637.43,157510697.7,-1526.119,42.408,38465638.83,150947812,-1462.559,46.288,38465633.86,202138558.8,-1958.486,42.54,38465630.46,202138487,-1958.507,42.544,38465635.54,150947799,-1462.516,43.333
  J02, 2025-01-10 00:02:30.000,38476818.64,202197290.9,-1960.082,41.859,38476822.41,157556498,-1527.408,42.298,38476823.82,150991704,-1463.8,46.414,38476818.89,202197335.9,-1960.179,42.574,38476815.6,202197264.1,-1960.279,42.681,38476820.54,150991690.9,-1463.911,43.289
  J02, 2025-01-10 00:03:00.000,38488007.81,202256089.1,-1961.298,42.273,38488011.48,157602314.8,-1528.276,42.55,38488012.71,151035611.7,-1464.584,46.424,38488008,202256134.1,-1961.209,42.904,38488004.74,202256062.4,-1961.238,42.775,38488009.48,151035598.7,-1464.553,43.24
  J02, 2025-01-10 00:03:30.000,38499201.74,202314912.1,-1961.497,42.146,38499205.05,157648150.8,-1528.415,42.629,38499206.34,151079537.9,-1464.68,46.521,38499201.79,202314957.1,-1961.44,42.351,38499198.31,202314885.3,-1961.383,42.688,38499203.05,151079524.9,-1464.593,42.84
  J02, 2025-01-10 00:04:00.000,38510399.56,202373756.3,-1962.299,42.442,38510402.43,157694003.4,-1529.023,42.341,38510403.91,151123480,-1465.339,46.252,38510399.46,202373801.3,-1962.238,42.576,38510396.05,202373729.5,-1962.273,42.906,38510400.59,151123467,-1465.362,42.842
  J02, 2025-01-10 00:04:30.000,38521601.55,202432623.8,-1963.033,42.337,38521604.44,157739874.1,-1529.728,42.082,38521605.98,151167439.5,-1466.065,46.204,38521601.44,202432668.8,-1963.069,42.334,38521598.13,202432597,-1963.006,42.789,38521602.67,151167426.4,-1466.076,42.603
  J02, 2025-01-10 00:05:00.000,38532807.57,202491513,-1963.249,42.188,38532810.97,157785761.9,-1529.916,42.252,38532812.36,151211415.2,-1466.255,46.175,38532807.78,202491558,-1963.394,42.709,38532804.43,202491486.3,-1963.385,42.595,38532809.04,151211402.1,-1466.246,42.645
  J02, 2025-01-10 00:05:30.000,38544018.14,202550423.3,-1964.337,42.493,38544021.43,157831665.9,-1530.663,42.408,38544022.71,151255406.6,-1466.887,46.252,38544018.09,202550468.3,-1964.352,42.648,38544014.82,202550396.6,-1964.279,42.732,38544019.47,151255393.6,-1466.986,42.809
  J02, 2025-01-10 00:06:00.000,38555232.61,202609355.8,-1965.21,42.227,38555235.65,157877587.3,-1531.41,42.089,38555236.91,151299414.5,-1467.49,45.836,38555232.62,202609400.7,-1965.279,42.239,38555229.22,202609329,-1965.225,42.76,38555233.69,151299401.5,-1467.501,42.741
