> PRN,"	                    time","	            C1C","	            L1C","	            D1C","	            S1C","	            C2L","	            L2L","	            D2L","	            S2L","	            C5Q","	            L5Q","	            D5Q","	            S5Q","	            C1L","	            L1L","	            D1L","	            S1L","	            C1Z","	            L1Z","	            D1Z","	            S1Z","	            C5P","	            L5P","	            D5P","	            S5P"
  J02, 2025-01-31 00:00:00.000,40327103.65,211920476.7,-1959.484,38.39,40327110.31,165132960.6,-1527.201,40.091,40327112.23,158252426.1,-1463.581,43.774,40327103.76,211920508.8,-1959.973,38.483,40327100.65,211920464.1,-1960.013,38.577,40327109.05,158252414.1,-1463.583,40.932
  J02, 2025-01-31 00:00:30.000,40338290.38,211979261.4,-1958.8,38.724,40338296.91,165178766.8,-1526.485,40.234,40338298.53,158296323.7,-1462.756,43.333,40338290.56,211979293.4,-1959.002,38.862,40338287.45,211979248.8,-1959.035,39.357,40338295.42,158296311.7,-1462.817,40.613
  J02, 2025-01-31 00:01:00.000,40349471.81,212038019.3,-1957.756,39.222,40349478.27,165224552.1,-1525.458,40.21,40349480.07,158340201.3,-1462.037,43.636,40349471.86,212038051.4,-1957.779,39.222,40349468.58,212038006.7,-1957.792,39.628,40349476.93,158340189.3,-1462.055,40.553
  J02, 2025-01-31 00:01:30.000,40360649.06,212096755.6,-1958.318,39.189,40360655.16,165270320.5,-1525.856,39.961,40360657.35,158384062.6,-1462.429,43.725,40360649.15,212096787.6,-1958.24,39.048,40360645.71,212096742.9,-1958.302,39.574,40360654.01,158384050.7,-1462.523,40.484
  J02, 2025-01-31 00:02:00.000,40371821.85,212155469.4,-1956.655,38.856,40371827.81,165316071.5,-1524.683,39.574,40371830.11,158427907.3,-1461.081,43.598,40371821.95,212155501.4,-1956.675,38.901,40371818.66,212155456.8,-1956.555,39.195,40371826.93,158427895.4,-1461.005,40.634
  J02, 2025-01-31 00:02:30.000,40382989.08,212214154.7,-1955.938,38.802,40382995.56,165361800.3,-1524.213,39.715,40382997.53,158471730.7,-1460.883,43.281,40382989.39,212214186.7,-1956.325,38.964,40382986.22,212214142.1,-1956.351,38.913,40382994.39,158471718.7,-1460.82,40.205
  J02, 2025-01-31 00:03:00.000,40394152.21,212272816.7,-1955.01,38.559,40394158.15,165407510.9,-1523.335,39.417,40394160.57,158515536.6,-1459.895,43.247,40394152.36,212272848.7,-1954.913,38.973,40394148.99,212272804.1,-1955.048,39.366,40394157.33,158515524.7,-1459.784,40.093
  J02, 2025-01-31 00:03:30.000,40405310.19,212331451.8,-1954.438,38.207,40405316.76,165453200.5,-1522.806,40.098,40405318.42,158559322.5,-1459.426,43.369,40405310.09,212331483.8,-1954.196,38.694,40405306.88,212331439.2,-1954.348,39.045,40405315.22,158559310.6,-1459.377,39.913
  J02, 2025-01-31 00:04:00.000,40416462.73,212390059.7,-1954.239,38.562,40416469.44,165498868.8,-1522.762,39.721,40416471.22,158603088,-1459.21,43.299,40416463.04,212390091.7,-1954.3,39.018,40416460,212390047,-1954.158,39.414,40416468.11,158603076.1,-1459.228,39.868
  J02, 2025-01-31 00:04:30.000,40427610.99,212448642.1,-1952.178,38.568,40427617.73,165544517.4,-1521.123,40.193,40427619.41,158646834.5,-1457.753,43.486,40427610.99,212448674.1,-1952.103,38.859,40427607.75,212448629.4,-1952.151,39.168,40427616.14,158646822.6,-1457.826,40.338
  J02, 2025-01-31 00:05:00.000,40438754.37,212507200.8,-1950.82,38.904,40438760.54,165590147.5,-1520.218,39.901,40438762.98,158690563.4,-1456.779,43.778,40438754.48,212507232.8,-1950.931,39.39,40438751.16,212507188.1,-1950.803,39.216,40438759.72,158690551.4,-1456.778,40.195
  J02, 2025-01-31 00:05:30.000,40449892.21,212565729.6,-1950.444,38.886,40449898.33,165635754.3,-1519.689,39.156,40449900.91,158734269.9,-1456.377,44.044,40449892.36,212565761.6,-1950.135,39.592,40449889.31,212565716.9,-1950.329,39.697,40449897.6,158734257.9,-1456.312,40.749
  J02, 2025-01-31 00:06:00.000,40461024.43,212624230.2,-1950.672,38.688,40461030.66,165681339.2,-1520.045,39.462,40461033.26,158777955.3,-1456.7,44.035,40461024.51,212624262.2,-1950.72,39.159,40461021.04,212624217.6,-1950.654,39.117,40461029.96,158777943.4,-1456.754,40.744
  J02, 2025-01-31 00:06:30.000,40472151.74,212682704.2,-1948.753,38.988,40472158.05,165726903.2,-1518.443,39.625,40472160.32,158821620.9,-1455.167,44.02,40472151.89,212682736.2,-1948.744,39.387,40472148.76,212682691.6,-1948.713,39.426,40472157.04,158821609,-1455.246,40.496
  J02, 2025-01-31 00:07:00.000,40483274.24,212741151.9,-1947.2,39.135,40483280.36,165772446.8,-1517.329,39.468,40483282.76,158865266.8,-1453.965,44.006,40483274.17,212741183.9,-1946.995,39.589,40483270.97,212741139.2,-1947.017,39.781,40483279.48,158865254.9,-1454.074,40.715
  J02, 2025-01-31 00:07:30.000,40494390.58,212799570.6,-1946.703,39.063,40494397.4,165817967.8,-1516.905,39.607,40494399.35,158908891.1,-1453.688,43.943,40494390.8,212799602.6,-1946.604,39.426,40494387.65,212799558,-1946.698,39.405,40494396.12,158908879.2,-1453.619,40.749
  J02, 2025-01-31 00:08:00.000,40505502.45,212857960.9,-1945.676,39.33,40505508.07,165863466.7,-1516.107,39.198,40505510.7,158952494.2,-1452.948,43.611,40505502.34,212857992.9,-1945.812,39.489,40505498.92,212857948.2,-1945.665,39.532,40505507.39,158952482.2,-1452.947,40.365
  J02, 2025-01-31 00:08:30.000,40516608.11,212916321.7,-1944.207,39.15,40516614.16,165908942.6,-1515.018,39.571,40516616.52,158996075.2,-1451.905,43.687,40516608.4,212916353.7,-1944.361,39.465,40516604.79,212916309.1,-1944.24,39.58,40516613.11,158996063.3,-1451.869,40.231
  J02, 2025-01-31 00:09:00.000,40527707.7,212974652.3,-1943.897,38.952,40527714.37,165954394.9,-1514.581,39.667,40527716.61,159039633.7,-1451.608,44.057,40527707.79,212974684.3,-1943.807,39.486,40527704.41,212974639.7,-1943.818,39.417,40527713.36,159039621.8,-1451.603,40.424
  J02, 2025-01-31 00:09:30.000,40538802.52,213032955.8,-1942.221,39.282,40538809.31,165999826.2,-1513.556,39.67,40538811.44,159083172,-1450.501,43.962,40538802.81,213032987.8,-1942.336,39.532,40538799.53,213032943.2,-1942.245,39.381,40538808.22,159083160,-1450.462,40.725
  J02, 2025-01-31 00:10:00.000,40549891.43,213091225.5,-1941.817,39.538,40549897.71,166045231.1,-1513.121,39.949,40549899.81,159126685,-1450.104,43.7,40549891.39,213091257.5,-1941.986,39.219,40549888.14,213091212.9,-1942.004,39.814,40549896.64,159126673,-1450.092,40.465
  J02, 2025-01-31 00:10:30.000,40560974.88,213149470.8,-1941.248,39.291,40560981.26,166090617,-1512.65,39.913,40560983.8,159170179.8,-1449.695,43.712,40560975.11,213149502.8,-1941.291,39.009,40560971.78,213149458.2,-1941.167,39.294,40560980.42,159170167.8,-1449.644,40.501
  J02, 2025-01-31 00:11:00.000,40572052.26,213207680.8,-1939.997,39.012,40572058.74,166135975.3,-1511.784,39.889,40572060.89,159213648.1,-1448.61,43.67,40572052.34,213207712.7,-1939.957,39.117,40572048.82,213207668.1,-1939.918,39.201,40572057.56,159213636.2,-1448.645,40.408
  J02, 2025-01-31 00:11:30.000,40583123.04,213265861.5,-1938.087,38.532,40583129.96,166181310.9,-1510.198,39.39,40583132.06,159257094.7,-1447.229,43.435,40583123.51,213265893.5,-1937.979,38.919,40583119.98,213265848.9,-1938.066,38.97,40583128.72,159257082.8,-1447.267,39.955
  J02, 2025-01-31 00:12:00.000,40594189.18,213324010.6,-1936.659,39.405,40594195.54,166226621.8,-1509.019,40.126,40594197.46,159300517.7,-1446.196,43.335,40594189.24,213324042.6,-1936.616,39.688,40594185.75,213323998,-1936.604,39.892,40594194.08,159300505.8,-1446.143,39.949
  J02, 2025-01-31 00:12:30.000,40605248.66,213382130.6,-1936.183,39.336,40605255.93,166271910,-1508.64,40.658,40605257.27,159343918.9,-1445.791,43.172,40605248.89,213382162.5,-1935.96,39.52,40605245.64,213382117.9,-1936.087,39.408,40605254.09,159343906.9,-1445.718,39.826
  J02, 2025-01-31 00:13:00.000,40616301.71,213440214.8,-1934.76,38.718,40616308.52,166317170.4,-1507.895,40.174,40616310.6,159387293.4,-1444.971,43.448,40616301.86,213440246.9,-1934.906,39.036,40616298.82,213440202.2,-1934.667,38.901,40616307.26,159387281.5,-1444.948,39.886
  J02, 2025-01-31 00:13:30.000,40627349.38,213498268.8,-1934.002,38.898,40627355.85,166362407.2,-1506.943,39.991,40627358.04,159430645.4,-1444.182,43.528,40627349.65,213498300.9,-1934.083,39.474,40627346.29,213498256.2,-1933.972,39.48,40627354.81,159430633.4,-1444.064,40.105
