> PRN,"	                    time","	            C1C","	            L1C","	            D1C","	            S1C","	            C2L","	            L2L","	            D2L","	            S2L","	            C5Q","	            L5Q","	            D5Q","	            S5Q","	            C1L","	            L1L","	            D1L","	            S1L","	            C1Z","	            L1Z","	            D1Z","	            S1Z","	            C5P","	            L5P","	            D5P","	            S5P"
  J02, 2025-01-07 00:00:00.000,38154701.27,200504284.6,-1936.323,42.347,38154705.2,156237101.9,-1508.879,42.681,38154706.3,149727230.9,-1445.887,46.285,38154701.59,200504284.6,-1936.277,42.899,38154698.18,200504267.7,-1936.265,42.821,38154703.03,149727218.8,-1445.886,43.255
  J02, 2025-01-07 00:00:30.000,38165756.01,200562376.2,-1935.241,42.474,38165759.41,156282368,-1508.039,42.849,38165760.75,149770610.9,-1445.206,46.093,38165756.1,200562376.2,-1935.291,42.935,38165752.79,200562359.3,-1935.188,43.007,38165757.55,149770598.8,-1445.19,43.359
  J02, 2025-01-07 00:01:00.000,38176815.55,200620493.1,-1937.756,42.499,38176819.4,156327653.9,-1509.959,43.118,38176820.28,149814009.9,-1447.014,46.228,38176815.6,200620493.1,-1937.788,42.665,38176812.33,200620476.3,-1937.794,43.145,38176817,149813997.8,-1447.09,43.346
  J02, 2025-01-07 00:01:30.000,38187880.79,200678640.7,-1938.281,42.641,38187884.25,156372963.7,-1510.39,43.046,38187885.41,149857431.8,-1447.523,46.252,38187880.67,200678640.7,-1938.308,42.861,38187877.34,200678623.9,-1938.369,43.17,38187882.07,149857419.7,-1447.483,43.181
  J02, 2025-01-07 00:02:00.000,38198951.36,200736816.8,-1939.533,42.574,38198954.86,156418295.7,-1511.455,42.732,38198955.88,149900874.9,-1448.321,46.451,38198951.33,200736816.9,-1939.65,42.701,38198948.11,200736800,-1939.57,43.213,38198952.56,149900862.8,-1448.457,43.331
  J02, 2025-01-07 00:02:30.000,38210027.12,200795020.5,-1939.807,42.8,38210030.57,156463649.1,-1511.626,42.499,38210031.88,149944338.6,-1448.609,46.331,38210027.21,200795020.5,-1939.863,42.963,38210023.9,200795003.7,-1939.931,43.338,38210028.64,149944326.5,-1448.616,43.35
  J02, 2025-01-07 00:03:00.000,38221108.73,200853255.5,-1941.079,42.387,38221112.04,156509026.9,-1512.542,42.318,38221113.52,149987825.7,-1449.471,46.063,38221108.85,200853255.4,-1940.932,42.654,38221105.62,200853238.6,-1941.049,42.897,38221110.21,149987813.6,-1449.512,43.168
  J02, 2025-01-07 00:03:30.000,38232195.62,200911516.2,-1941.983,42.631,38232199,156554424.9,-1513.309,42.83,38232200.3,150031332,-1450.232,46.114,38232195.67,200911516.3,-1942.004,43.031,38232192.56,200911499.4,-1941.999,43.479,38232197.08,150031320,-1450.204,43.388
  J02, 2025-01-07 00:04:00.000,38243287.72,200969805.7,-1943.785,42.887,38243291.07,156599845.2,-1514.708,43.109,38243292.59,150074859.8,-1451.472,46.385,38243287.94,200969805.7,-1943.8,42.904,38243284.6,200969788.9,-1943.793,43.208,38243289.33,150074847.7,-1451.591,43.407
  J02, 2025-01-07 00:04:30.000,38254385.59,201028124.9,-1944.469,42.294,38254389.08,156645288.7,-1515.231,43.251,38254390.4,150118409.8,-1451.999,46.415,38254385.58,201028124.9,-1944.379,42.783,38254382.2,201028108.1,-1944.578,42.904,38254387.13,150118397.7,-1452.064,43.439
