> PRN,time,C1C,L1C,D1C,S1C,C1W,S1W,C2W,L2W,D2W,S2W,C2L,L2L,D2L,S2L,C5Q,L5Q,D5Q,S5Q,C1L,L1L,D1L,S1L
I01, 2025-01-04 03:36:00.000,  473357926.960,  554417375.015,      -1482.967,         39.925,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:36:30.000,  473369260.818,  554461853.732,      -1483.521,         39.342,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:37:00.000,  473380597.887,  554506343.655,      -1483.229,         38.793,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:37:30.000,  473391938.359,  554550845.875,      -1483.543,         38.808,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:38:00.000,  473403282.316,  554595358.988,      -1484.505,         38.967,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:38:30.000,  473414628.524,  554639886.141,      -1484.546,         39.009,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:39:00.000,  473425978.969,  554684424.535,      -1485.495,         40.155,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:39:30.000,  473437330.534,  554728974.509,      -1484.890,         40.029,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:40:00.000,  473448685.897,  554773536.413,      -1485.406,         38.868,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:40:30.000,  473460045.802,  554818111.535,      -1485.786,         40.026,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:41:00.000,  473471407.648,  554862699.390,      -1486.181,         39.988,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:41:30.000,  473482773.997,  554907299.780,      -1486.580,         40.038,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:42:00.000,  473494142.281,  554951912.975,      -1486.411,         39.550,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:42:30.000,  473505514.582,  554996538.557,      -1488.996,         40.281,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:43:00.000,  473516889.940,  555041178.368,      -1487.639,         39.676,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:43:30.000,  473528268.637,  555085832.297,      -1488.731,         39.399,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:44:00.000,  473539651.346,  555130497.591,      -1489.077,         39.994,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:44:30.000,  473551036.685,  555175176.231,      -1490.195,         40.215,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:45:00.000,  473562425.178,  555219867.789,      -1489.860,         40.613,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:45:30.000,  473573817.487,  555264573.264,      -1490.527,         41.006,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:46:00.000,  473585213.683,  555309293.450,      -1490.806,         41.430,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:46:30.000,  473596612.725,  555354026.292,      -1491.344,         40.687,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:47:00.000,  473608015.903,  555398773.558,      -1491.804,         40.789,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:47:30.000,  473619422.141,  555443534.411,      -1492.655,         40.169,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:48:00.000,  473630832.207,  555488307.836,      -1492.962,         40.565,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:48:30.000,  473642245.372,  555533097.250,      -1493.214,         40.107,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:49:00.000,  473653662.431,  555577899.711,      -1494.217,         39.643,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:49:30.000,  473665083.706,  555622717.659,      -1494.258,         39.847,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:50:00.000,  473676508.754,  555667549.788,      -1495.287,         40.324,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:50:30.000,  473687936.324,  555712394.268,      -1494.795,         40.036,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:51:00.000,  473699368.228,  555757255.455,      -1495.003,         39.568,,,,,,,,,,,,,,,,,,
I01, 2025-01-04 03:51:30.000,  473710803.610,  555802130.193,      -1496.003,         39.886,,,,,,,,,,,,,,,,,,
