> PRN,time,C1C,L1C,D1C,S1C,C1W,S1W,C2W,L2W,D2W,S2W,C2L,L2L,D2L,S2L,C5Q,L5Q,D5Q,S5Q,C1L,L1L,D1L,S1L
I01, 2025-01-01 02:57:30.000,  339780750.960,   30231845.816,      -1464.540,         35.619,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 02:58:00.000,  339791945.963,   30275776.794,      -1464.215,         38.679,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 02:58:30.000,  339803140.399,   30319706.506,      -1464.211,         35.505,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 02:59:00.000,  339814334.161,   30363634.462,      -1464.079,         35.214,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 02:59:30.000,  339825527.698,   30407560.452,      -1464.470,         34.948,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:00:00.000,  339836721.770,   30451488.545,      -1463.883,         33.916,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:00:30.000,  339847915.089,   30495413.298,      -1464.809,         33.892,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:01:00.000,  339859108.929,   30539337.616,      -1464.780,         38.336,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:01:30.000,  339870301.824,   30583260.947,      -1464.147,         37.992,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:02:00.000,  339881495.517,   30627185.736,      -1463.685,         36.170,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:02:30.000,  339892687.294,   30671108.298,      -1465.119,         33.096,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:03:00.000,  339903879.313,   30715031.023,      -1464.117,         35.476,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:03:30.000,  339915072.110,   30758954.159,      -1464.386,         36.631,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:04:00.000,  339926266.029,   30802877.449,      -1464.470,         36.964,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:04:30.000,  339937459.188,   30846801.651,      -1463.994,         38.174,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:05:00.000,  339948652.395,   30890725.050,      -1464.408,         37.728,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:05:30.000,  339959846.122,   30934649.993,      -1464.241,         39.763,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:06:00.000,  339971039.108,   30978577.303,      -1463.862,         38.616,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:06:30.000,  339982233.155,   31022502.965,      -1464.972,         38.273,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:07:00.000,  339993426.993,   31066429.800,      -1464.970,         39.075,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:07:30.000,  340004620.907,   31110358.198,      -1463.650,         39.390,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:08:00.000,  340015815.117,   31154286.683,      -1464.289,         37.550,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:08:30.000,  340027010.154,   31198219.251,      -1465.041,         38.544,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:09:00.000,  340038205.644,   31242151.288,      -1465.033,         37.887,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:09:30.000,  340049401.972,   31286087.006,      -1465.296,         36.957,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:10:00.000,  340060597.941,   31330024.073,      -1464.316,         37.822,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:10:30.000,  340071794.324,   31373962.401,      -1464.411,         37.860,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:11:00.000,  340082992.215,   31417903.011,      -1464.866,         36.907,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:11:30.000,  340094189.812,   31461845.323,      -1464.275,         36.631,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:12:00.000,  340105388.676,   31505790.865,      -1464.213,         36.023,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:12:30.000,  340116587.970,   31549739.645,      -1463.874,         37.853,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:13:00.000,  340127788.031,   31593689.673,      -1465.686,         36.454,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:13:30.000,  340138988.567,   31637644.011,      -1465.620,         37.338,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:14:00.000,  340150190.261,   31681601.499,      -1464.954,         38.802,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:14:30.000,  340161392.331,   31725560.686,      -1465.691,         39.264,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:15:00.000,  340172595.264,   31769525.307,      -1465.865,         38.093,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:15:30.000,  340183799.300,   31813491.394,      -1465.175,         38.682,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:16:00.000,  340195004.673,   31857461.801,      -1465.163,         39.354,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:16:30.000,  340206210.602,   31901436.023,      -1465.335,         39.303,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:17:00.000,  340217418.308,   31945414.284,      -1466.290,         40.079,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:17:30.000,  340228625.795,   31989396.756,      -1465.464,         39.544,,,,,,,,,,,,,,,,,,
I01, 2025-01-01 03:18:00.000,  340239833.674,   32033381.085,      -1466.720,         39.541,,,,,,,,,,,,,,,,,,
