> PRN,time,C1C,L1C,D1C,S1C,C1W,S1W,C2W,L2W,D2W,S2W,C2L,L2L,D2L,S2L,C5Q,L5Q,D5Q,S5Q,C1L,L1L,D1L,S1L
I01, 2025-01-14 02:44:30.000,  914560348.542,  285790439.041,      -1475.440,         37.043,,,,,,,,,,,,,,,,,,
I01, 2025-01-14 02:45:00.000,  914571624.109,  285834687.730,      -1474.784,         36.767,,,,,,,,,,,,,,,,,,
I01, 2025-01-14 02:45:30.000,  914582900.607,  285878946.783,      -1475.474,         35.133,,,,,,,,,,,,,,,,,,
I01, 2025-01-14 02:46:00.000,  914594182.976,  285923214.139,      -1475.559,         37.025,,,,,,,,,,,,,,,,,,
I01, 2025-01-14 02:46:30.000,  914605465.822,  285967491.079,      -1475.541,         37.686,,,,,,,,,,,,,,,,,,
I01, 2025-01-14 02:47:00.000,  914616751.194,  286011778.907,      -1476.625,         38.477,,,,,,,,,,,,,,,,,,
I01, 2025-01-14 02:47:30.000,  914628039.101,  286056073.485,      -1475.903,         37.301,,,,,,,,,,,,,,,,,,
I01, 2025-01-14 02:48:00.000,  914639329.167,  286100378.955,      -1476.688,         38.622,,,,,,,,,,,,,,,,,,
I01, 2025-01-14 02:48:30.000,  914650621.879,  286144696.032,      -1477.678,         38.712,,,,,,,,,,,,,,,,,,
I01, 2025-01-14 02:49:00.000,  914661918.915,  286189022.494,      -1477.874,         39.354,,,,,,,,,,,,,,,,,,
I01, 2025-01-14 02:49:30.000,  914673217.567,  286233357.733,      -1477.698,         39.880,,,,,,,,,,,,,,,,,,
I01, 2025-01-14 02:50:00.000,  914684517.330,  286277705.666,      -1479.029,         38.042,,,,,,,,,,,,,,,,,,
I01, 2025-01-14 02:50:30.000,  914695820.377,  286322064.607,      -1479.240,         36.767,,,,,,,,,,,,,,,,,,
I01, 2025-01-14 02:51:00.000,  914707127.253,  286366430.947,      -1479.375,         38.865,,,,,,,,,,,,,,,,,,
