> PRN,time,C1C,L1C,D1C,S1C,C1W,S1W,C2W,L2W,D2W,S2W,C2L,L2L,D2L,S2L,C5Q,L5Q,D5Q,S5Q,C1L,L1L,D1L,S1L
I01, 2025-01-22 01:26:30.000,  713426950.248,  572284986.842,      -1465.736,         36.851,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:27:00.000,  713438156.996,  572328966.583,      -1466.504,         35.186,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:27:30.000,  713449362.898,  572372942.503,      -1465.968,         36.469,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:28:00.000,  713460566.841,  572416913.306,      -1465.500,         35.581,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:28:30.000,  713471772.895,  572460884.205,      -1464.660,         34.600,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:29:00.000,  713482976.017,  572504847.873,      -1465.051,         34.100,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:29:30.000,  713494178.909,  572548809.624,      -1466.141,         35.695,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:30:00.000,  713505380.695,  572592769.250,      -1465.255,         33.210,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:30:30.000,  713516582.140,  572636725.950,      -1465.289,         34.052,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:31:00.000,  713527782.469,  572680679.040,      -1464.980,         35.757,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:31:30.000,  713538983.118,  572724632.833,      -1464.719,         36.333,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:32:00.000,  713550182.794,  572768581.838,      -1464.678,         34.905,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:32:30.000,  713561380.823,  572812528.162,      -1464.449,         33.725,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:33:00.000,  713572579.851,  572856475.530,      -1464.179,         33.150,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:33:30.000,  713583778.753,  572900420.970,      -1465.321,         35.410,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:34:00.000,  713594976.442,  572944362.400,      -1464.390,         36.280,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:34:30.000,  713606173.560,  572988303.698,      -1464.677,         37.028,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:35:00.000,  713617369.744,  573032243.344,      -1463.982,         36.764,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:35:30.000,  713628567.108,  573076182.088,      -1465.606,         37.819,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:36:00.000,  713639762.902,  573120118.662,      -1464.672,         36.809,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:36:30.000,  713650959.529,  573164054.771,      -1463.855,         36.272,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:37:00.000,  713662155.938,  573207991.018,      -1463.859,         35.314,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:37:30.000,  713673351.288,  573251925.066,      -1464.163,         33.162,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:38:00.000,  713684547.307,  573295859.338,      -1464.689,         35.690,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:38:30.000,  713695742.742,  573339792.275,      -1463.605,         36.034,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:39:00.000,  713706938.616,  573383726.708,      -1463.488,         38.207,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:39:30.000,  713718132.898,  573427660.064,      -1463.842,         38.162,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:40:00.000,  713729329.153,  573471595.537,      -1464.392,         37.372,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:40:30.000,  713740524.223,  573515529.846,      -1464.275,         36.420,,,,,,,,,,,,,,,,,,
I01, 2025-01-22 01:41:00.000,  713751721.708,  573559464.985,      -1464.375,         38.462,,,,,,,,,,,,,,,,,,
