> PRN,time,C1C,L1C,D1C,S1C,C1W,S1W,C2W,L2W,D2W,S2W,C2L,L2L,D2L,S2L,C5Q,L5Q,D5Q,S5Q,C1L,L1L,D1L,S1L
I01, 2025-01-19 02:32:00.000,  135469608.716,  152685829.081,      -1480.523,         38.105,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:32:30.000,  135480927.237,  152730245.075,      -1480.460,         38.532,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:33:00.000,  135492248.200,  152774672.328,      -1480.879,         38.354,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:33:30.000,  135503572.603,  152819111.113,      -1481.407,         38.075,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:34:00.000,  135514899.074,  152863560.039,      -1481.840,         38.000,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:34:30.000,  135526228.987,  152908021.153,      -1481.681,         37.985,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:35:00.000,  135537561.945,  152952491.302,      -1481.628,         38.793,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:35:30.000,  135548898.031,  152996975.953,      -1482.472,         38.679,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:36:00.000,  135560235.925,  153041470.760,      -1484.116,         38.562,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:36:30.000,  135571577.475,  153085976.547,      -1483.621,         39.562,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:37:00.000,  135582922.844,  153130495.613,      -1484.022,         39.210,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:37:30.000,  135594270.203,  153175026.159,      -1485.175,         39.483,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:38:00.000,  135605620.616,  153219568.339,      -1485.318,         39.495,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:38:30.000,  135616974.708,  153264122.956,      -1486.017,         40.763,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:39:00.000,  135628331.178,  153308689.693,      -1486.195,         40.625,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:39:30.000,  135639691.706,  153353268.532,      -1485.888,         40.727,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:40:00.000,  135651054.932,  153397861.038,      -1486.560,         39.880,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:40:30.000,  135662420.201,  153442464.201,      -1486.685,         38.700,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:41:00.000,  135673790.586,  153487081.940,      -1487.548,         39.432,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:41:30.000,  135685163.419,  153531711.231,      -1487.447,         39.988,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:42:00.000,  135696539.977,  153576353.909,      -1488.240,         40.682,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:42:30.000,  135707918.716,  153621008.472,      -1489.504,         39.649,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:43:00.000,  135719302.443,  153665676.427,      -1489.599,         40.942,,,,,,,,,,,,,,,,,,
I01, 2025-01-19 02:43:30.000,  135730688.332,  153710358.331,      -1489.559,         41.542,,,,,,,,,,,,,,,,,,
