> PRN,time,C1C,L1C,D1C,S1C,C1W,S1W,C2W,L2W,D2W,S2W,C2L,L2L,D2L,S2L,C5Q,L5Q,D5Q,S5Q,C1L,L1L,D1L,S1L
I01, 2025-01-30 00:59:30.000,   66740996.720,  958765201.971,      -1466.316,         35.824,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:00:00.000,   66752205.619,  958809183.456,      -1465.785,         34.310,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:00:30.000,   66763411.162,  958853160.196,      -1466.192,         32.701,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:01:00.000,   66774619.037,  958897135.417,      -1465.957,         38.075,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:01:30.000,   66785824.776,  958941110.927,      -1466.292,         38.162,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:02:00.000,   66797029.010,  958985083.755,      -1465.682,         35.381,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:02:30.000,   66808235.652,  959029054.960,      -1465.163,         36.764,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:03:00.000,   66819439.190,  959073022.097,      -1465.678,         36.563,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:03:30.000,   66830643.999,  959116990.581,      -1465.762,         37.951,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:04:00.000,   66841848.006,  959160959.027,      -1465.857,         36.352,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:04:30.000,   66853050.641,  959204924.090,      -1465.844,         36.491,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:05:00.000,   66864255.153,  959248888.008,      -1465.193,         36.348,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:05:30.000,   66875459.140,  959292853.495,      -1465.054,         36.881,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:06:00.000,   66886662.254,  959336817.283,      -1465.868,         35.967,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:06:30.000,   66897866.362,  959380780.439,      -1465.557,         37.951,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:07:00.000,   66909068.589,  959424744.614,      -1465.146,         37.134,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:07:30.000,   66920270.893,  959468708.442,      -1465.163,         37.217,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:08:00.000,   66931474.384,  959512672.599,      -1465.601,         37.127,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:08:30.000,   66942678.062,  959556635.760,      -1465.448,         35.438,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:09:00.000,   66953881.405,  959600599.174,      -1465.371,         36.960,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:09:30.000,   66965085.197,  959644563.415,      -1465.318,         38.808,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:10:00.000,   66976289.589,  959688528.585,      -1465.474,         39.733,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:10:30.000,   66987493.496,  959732493.309,      -1464.975,         40.415,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:11:00.000,   66998696.447,  959776461.108,      -1465.496,         38.718,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:11:30.000,   67009900.634,  959820428.644,      -1466.032,         37.059,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:12:00.000,   67021105.299,  959864397.107,      -1465.801,         38.763,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:12:30.000,   67032310.425,  959908367.434,      -1465.350,         38.739,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:13:00.000,   67043514.666,  959952338.816,      -1465.035,         36.605,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:13:30.000,   67054720.843,  959996311.678,      -1465.997,         37.868,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:14:00.000,   67065926.891,  960040284.985,      -1465.456,         37.943,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:14:30.000,   67077134.138,  960084263.030,      -1466.274,         36.442,,,,,,,,,,,,,,,,,,
I01, 2025-01-30 01:15:00.000,   67088341.556,  960128242.861,      -1465.931,         38.414,,,,,,,,,,,,,,,,,,
