> PRN,time,C1C,L1C,D1C,S1C,C1W,S1W,C2W,L2W,D2W,S2W,C2L,L2L,D2L,S2L,C5Q,L5Q,D5Q,S5Q,C1L,L1L,D1L,S1L
I01, 2025-01-15 01:54:30.000,  957677673.128,  454992086.789,      -1466.088,         37.187,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 01:55:00.000,  957688878.403,  455036056.564,      -1465.250,         36.129,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 01:55:30.000,  957700081.322,  455080022.970,      -1465.512,         36.367,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 01:56:00.000,  957711285.186,  455123987.084,      -1464.628,         35.062,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 01:56:30.000,  957722487.785,  455167946.703,      -1464.570,         36.125,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 01:57:00.000,  957733689.194,  455211904.458,      -1465.333,         37.543,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 01:57:30.000,  957744890.790,  455255858.091,      -1465.553,         37.607,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 01:58:00.000,  957756091.121,  455299810.908,      -1465.301,         36.987,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 01:58:30.000,  957767290.611,  455343759.436,      -1465.036,         36.654,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 01:59:00.000,  957778490.203,  455387706.944,      -1464.407,         36.476,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 01:59:30.000,  957789688.146,  455431650.107,      -1464.684,         36.635,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 02:00:00.000,  957800885.622,  455475592.568,      -1464.094,         36.684,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 02:00:30.000,  957812083.095,  455519533.654,      -1464.872,         36.639,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 02:01:00.000,  957823279.601,  455563471.828,      -1464.637,         35.162,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 02:01:30.000,  957834477.058,  455607408.832,      -1464.353,         36.915,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 02:02:00.000,  957845674.208,  455651345.552,      -1464.320,         37.474,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 02:02:30.000,  957856869.536,  455695278.805,      -1464.306,         37.493,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 02:03:00.000,  957868064.384,  455739210.904,      -1463.929,         38.246,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 02:03:30.000,  957879260.379,  455783145.152,      -1464.341,         39.390,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 02:04:00.000,  957890455.805,  455827077.223,      -1464.792,         38.384,,,,,,,,,,,,,,,,,,
I01, 2025-01-15 02:04:30.000,  957901649.967,  455871007.068,      -1464.971,         37.762,,,,,,,,,,,,,,,,,,
