> PRN,time,C1C,L1C,D1C,S1C,C1W,S1W,C2W,L2W,D2W,S2W,C2L,L2L,D2L,S2L,C5Q,L5Q,D5Q,S5Q,C1L,L1L,D1L,S1L
I01, 2025-01-13 02:58:00.000,  870625298.897,  113379873.590,      -1479.205,         38.402,,,,,,,,,,,,,,,,,,
I01, 2025-01-13 02:58:30.000,  870636613.496,  113424272.620,      -1480.243,         39.228,,,,,,,,,,,,,,,,,,
I01, 2025-01-13 02:59:00.000,  870647930.890,  113468683.920,      -1481.085,         39.342,,,,,,,,,,,,,,,,,,
I01, 2025-01-13 02:59:30.000,  870659250.804,  113513105.602,      -1481.377,         39.066,,,,,,,,,,,,,,,,,,
I01, 2025-01-13 03:00:00.000,  870670573.907,  113557539.959,      -1480.917,         38.907,,,,,,,,,,,,,,,,,,
I01, 2025-01-13 03:00:30.000,  870681899.923,  113601984.318,      -1482.037,         38.667,,,,,,,,,,,,,,,,,,
I01, 2025-01-13 03:01:00.000,  870693228.661,  113646440.567,      -1482.298,         38.721,,,,,,,,,,,,,,,,,,
I01, 2025-01-13 03:01:30.000,  870704560.821,  113690910.795,      -1482.229,         39.631,,,,,,,,,,,,,,,,,,
I01, 2025-01-13 03:02:00.000,  870715896.182,  113735392.134,      -1482.685,         40.148,,,,,,,,,,,,,,,,,,
I01, 2025-01-13 03:02:30.000,  870727234.684,  113779886.674,      -1483.446,         40.539,,,,,,,,,,,,,,,,,,
I01, 2025-01-13 03:03:00.000,  870738575.905,  113824391.680,      -1482.884,         39.616,,,,,,,,,,,,,,,,,,
I01, 2025-01-13 03:03:30.000,  870749920.500,  113868909.790,      -1484.287,         39.859,,,,,,,,,,,,,,,,,,
I01, 2025-01-13 03:04:00.000,  870761268.632,  113913441.088,      -1483.908,         39.420,,,,,,,,,,,,,,,,,,
I01, 2025-01-13 03:04:30.000,  870772619.048,  113957983.790,      -1485.478,         39.147,,,,,,,,,,,,,,,,,,
I01, 2025-01-13 03:05:00.000,  870783973.187,  114002538.919,      -1485.513,         40.753,,,,,,,,,,,,,,,,,,
I01, 2025-01-13 03:05:30.000,  870795330.558,  114047107.924,      -1486.545,         40.405,,,,,,,,,,,,,,,,,,
I01, 2025-01-13 03:06:00.000,  870806691.711,  114091689.357,      -1485.275,         40.746,,,,,,,,,,,,,,,,,,
I01, 2025-01-13 03:06:30.000,  870818054.723,  114136280.467,      -1487.422,         40.236,,,,,,,,,,,,,,,,,,
