> PRN,time,C1C,L1C,D1C,S1C,C1W,S1W,C2W,L2W,D2W,S2W,C2L,L2L,D2L,S2L,C5Q,L5Q,D5Q,S5Q,C1L,L1L,D1L,S1L
I01, 2025-01-29 01:01:00.000,   22536965.282,  785299087.074,      -1466.830,         33.611,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:01:30.000,   22548175.970,  785343076.157,      -1466.211,         32.862,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:02:00.000,   22559385.593,  785387061.865,      -1466.403,         37.285,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:02:30.000,   22570594.177,  785431046.372,      -1466.975,         36.586,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:03:00.000,   22581801.329,  785475028.709,      -1466.408,         35.033,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:03:30.000,   22593007.731,  785519006.167,      -1466.143,         36.983,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:04:00.000,   22604214.287,  785562985.035,      -1465.862,         35.814,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:04:30.000,   22615421.305,  785606959.501,      -1466.125,         34.086,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:05:00.000,   22626626.113,  785650928.626,      -1465.915,         37.913,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:05:30.000,   22637831.583,  785694900.475,      -1465.525,         40.603,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:06:00.000,   22649036.121,  785738868.317,      -1465.534,         38.276,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:06:30.000,   22660240.204,  785782834.758,      -1466.385,         38.859,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:07:00.000,   22671443.343,  785826799.867,      -1465.389,         31.034,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:07:30.000,   22682646.501,  785870764.927,      -1465.400,         34.452,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:08:00.000,   22693848.833,  785914726.901,      -1465.136,         36.378,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:08:30.000,   22705051.447,  785958689.441,      -1465.831,         34.433,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:09:00.000,   22716253.461,  786002650.447,      -1465.615,         32.329,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:09:30.000,   22727457.792,  786046611.153,      -1464.684,         34.205,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:10:00.000,   22738659.810,  786090570.599,      -1464.682,         37.240,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:10:30.000,   22749861.448,  786134530.758,      -1465.104,         36.284,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:11:00.000,   22761064.156,  786178490.273,      -1464.558,         35.681,,,,,,,,,,,,,,,,,,
I01, 2025-01-29 01:11:30.000,   22772265.650,  786222449.585,      -1465.293,         36.408,,,,,,,,,,,,,,,,,,
