> PRN,time,C1C,L1C,D1C,S1C,C1W,S1W,C2W,L2W,D2W,S2W,C2L,L2L,D2L,S2L,C5Q,L5Q,D5Q,S5Q,C1L,L1L,D1L,S1L
I01, 2025-01-03 02:50:30.000,  428098155.321,  376808304.486,      -1463.920,         34.957,,,,,,,,,,,,,,,,,,
I01, 2025-01-03 02:51:00.000,  428109348.037,  376852229.818,      -1464.314,         35.071,,,,,,,,,,,,,,,,,,
I01, 2025-01-03 02:51:30.000,  428120540.595,  376896156.126,      -1464.082,         33.754,,,,,,,,,,,,,,,,,,
I01, 2025-01-03 02:52:00.000,  428131735.205,  376940080.384,      -1463.236,         37.108,,,,,,,,,,,,,,,,,,
I01, 2025-01-03 02:52:30.000,  428142928.342,  376984004.667,      -1464.297,         38.255,,,,,,,,,,,,,,,,,,
I01, 2025-01-03 02:53:00.000,  428154121.047,  377027926.478,      -1463.869,         34.624,,,,,,,,,,,,,,,,,,
I01, 2025-01-03 02:53:30.000,  428165312.877,  377071848.265,      -1463.666,         35.829,,,,,,,,,,,,,,,,,,
I01, 2025-01-03 02:54:00.000,  428176505.919,  377115768.794,      -1463.734,         36.189,,,,,,,,,,,,,,,,,,
I01, 2025-01-03 02:54:30.000,  428187697.510,  377159689.883,      -1463.924,         37.524,,,,,,,,,,,,,,,,,,
I01, 2025-01-03 02:55:00.000,  428198889.272,  377203611.866,      -1463.663,         36.752,,,,,,,,,,,,,,,,,,
I01, 2025-01-03 02:55:30.000,  428210081.956,  377247532.891,      -1464.247,         36.446,,,,,,,,,,,,,,,,,,
I01, 2025-01-03 02:56:00.000,  428221274.111,  377291452.029,      -1464.273,         37.115,,,,,,,,,,,,,,,,,,
I01, 2025-01-03 02:56:30.000,  428232467.216,  377335374.885,      -1464.342,         38.378,,,,,,,,,,,,,,,,,,
I01, 2025-01-03 02:57:00.000,  428243661.356,  377379298.323,      -1464.147,         38.276,,,,,,,,,,,,,,,,,,
I01, 2025-01-03 02:57:30.000,  428254853.848,  377423221.509,      -1464.846,         41.180,,,,,,,,,,,,,,,,,,
I01, 2025-01-03 02:58:00.000,  428266046.673,  377467146.105,      -1464.347,         36.972,,,,,,,,,,,,,,,,,,
