> PRN,time,C1C,L1C,D1C,S1C,C1W,S1W,C2W,L2W,D2W,S2W,C2L,L2L,D2L,S2L,C5Q,L5Q,D5Q,S5Q,C1L,L1L,D1L,S1L
I01, 2025-01-10 02:26:00.000,  737199021.945,  589786501.481,      -1462.262,         36.813,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:26:30.000,  737210203.236,  589830378.730,      -1464.016,         36.280,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:27:00.000,  737221383.427,  589874255.585,      -1463.039,         37.531,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:27:30.000,  737232564.926,  589918134.572,      -1463.525,         38.027,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:28:00.000,  737243747.628,  589962016.877,      -1463.267,         38.135,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:28:30.000,  737254928.929,  590005895.421,      -1462.652,         37.819,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:29:00.000,  737266111.122,  590049775.297,      -1462.107,         38.216,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:29:30.000,  737277293.683,  590093656.195,      -1462.962,         39.429,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:30:00.000,  737288476.450,  590137539.432,      -1463.335,         39.763,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:30:30.000,  737299659.285,  590181421.549,      -1461.984,         39.435,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:31:00.000,  737310841.654,  590225305.643,      -1462.609,         38.054,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:31:30.000,  737322025.310,  590269191.884,      -1461.987,         36.662,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:32:00.000,  737333208.492,  590313076.753,      -1463.180,         36.726,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:32:30.000,  737344391.641,  590356964.754,      -1463.879,         36.624,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:33:00.000,  737355576.555,  590400857.853,      -1462.749,         37.267,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:33:30.000,  737366761.507,  590444749.284,      -1463.499,         37.577,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:34:00.000,  737377948.061,  590488643.976,      -1464.268,         36.730,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:34:30.000,  737389134.580,  590532540.957,      -1463.050,         36.185,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:35:00.000,  737400321.369,  590576440.763,      -1463.897,         36.454,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:35:30.000,  737411507.822,  590620341.039,      -1463.428,         34.871,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:36:00.000,  737422695.177,  590664244.168,      -1463.703,         34.476,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:36:30.000,  737433884.562,  590708151.684,      -1463.912,         36.310,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:37:00.000,  737445073.931,  590752061.548,      -1463.333,         37.115,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:37:30.000,  737456264.309,  590795973.578,      -1464.641,         37.898,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:38:00.000,  737467455.914,  590839891.242,      -1463.986,         38.495,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:38:30.000,  737478647.155,  590883809.820,      -1464.492,         37.085,,,,,,,,,,,,,,,,,,
I01, 2025-01-10 02:39:00.000,  737489838.759,  590927731.021,      -1464.147,         36.367,,,,,,,,,,,,,,,,,,
