> PRN,time,C1C,L1C,D1C,S1C,C1W,S1W,C2W,L2W,D2W,S2W,C2L,L2L,D2L,S2L,C5Q,L5Q,D5Q,S5Q,C1L,L1L,D1L,S1L
I01, 2025-01-24 02:07:00.000,  802815159.361,  923063526.019,      -1476.173,         36.378,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:07:30.000,  802826446.990,  923107821.714,      -1476.404,         36.828,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:08:00.000,  802837737.614,  923152130.435,      -1477.566,         37.282,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:08:30.000,  802849030.364,  923196445.005,      -1478.023,         38.504,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:09:00.000,  802860326.920,  923240772.174,      -1476.954,         39.207,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:09:30.000,  802871625.103,  923285108.483,      -1478.085,         39.565,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:10:00.000,  802882924.853,  923329455.995,      -1478.149,         39.171,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:10:30.000,  802894228.433,  923373812.124,      -1479.071,         39.084,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:11:00.000,  802905533.815,  923418181.727,      -1479.207,         38.270,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:11:30.000,  802916842.397,  923462559.321,      -1479.947,         36.314,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:12:00.000,  802928154.656,  923506947.284,      -1478.842,         38.366,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:12:30.000,  802939470.102,  923551348.068,      -1480.702,         38.949,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:13:00.000,  802950785.794,  923595758.769,      -1480.683,         37.868,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:13:30.000,  802962105.056,  923640179.658,      -1481.436,         37.841,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:14:00.000,  802973427.576,  923684611.816,      -1480.755,         38.381,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:14:30.000,  802984753.153,  923729055.942,      -1480.903,         37.195,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:15:00.000,  802996080.944,  923773509.656,      -1482.192,         38.150,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:15:30.000,  803007411.737,  923817975.260,      -1482.682,         37.066,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:16:00.000,  803018745.907,  923862453.427,      -1483.018,         38.459,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:16:30.000,  803030084.127,  923906943.405,      -1483.480,         39.354,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:17:00.000,  803041424.686,  923951444.735,      -1483.628,         39.859,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:17:30.000,  803052766.225,  923995955.901,      -1484.394,         39.459,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:18:00.000,  803064111.127,  924040479.732,      -1484.838,         38.904,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:18:30.000,  803075461.178,  924085016.260,      -1485.308,         39.348,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:19:00.000,  803086813.291,  924129565.126,      -1485.203,         39.429,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:19:30.000,  803098169.078,  924174127.316,      -1485.388,         40.024,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:20:00.000,  803109527.287,  924218698.938,      -1485.922,         39.607,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:20:30.000,  803120887.873,  924263285.063,      -1486.547,         39.357,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:21:00.000,  803132253.967,  924307884.191,      -1486.793,         39.444,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:21:30.000,  803143621.252,  924352494.950,      -1487.493,         39.153,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:22:00.000,  803154993.004,  924397117.261,      -1487.349,         40.217,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:22:30.000,  803166367.360,  924441753.542,      -1488.071,         40.839,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:23:00.000,  803177745.292,  924486402.453,      -1489.332,         40.298,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:23:30.000,  803189126.594,  924531066.527,      -1488.391,         41.099,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:24:00.000,  803200510.585,  924575740.934,      -1489.679,         40.543,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:24:30.000,  803211899.350,  924620431.014,      -1491.464,         41.061,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:25:00.000,  803223291.125,  924665133.155,      -1490.225,         41.097,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:25:30.000,  803234685.148,  924709848.541,      -1490.631,         41.344,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:26:00.000,  803246082.980,  924754577.905,      -1491.574,         41.423,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:26:30.000,  803257485.011,  924799320.963,      -1492.252,         42.000,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:27:00.000,  803268890.074,  924844077.825,      -1492.112,         40.729,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:27:30.000,  803280298.698,  924888848.812,      -1493.288,         40.534,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:28:00.000,  803291710.047,  924933631.445,      -1493.351,         39.844,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:28:30.000,  803303126.012,  924978430.907,      -1493.296,         39.610,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:29:00.000,  803314545.570,  925023242.986,      -1494.215,         39.210,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:29:30.000,  803325968.977,  925068070.343,      -1494.163,         39.931,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:30:00.000,  803337395.322,  925112912.668,      -1495.570,         39.706,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:30:30.000,  803348826.145,  925157768.954,      -1496.531,         39.435,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:31:00.000,  803360260.676,  925202637.305,      -1496.575,         40.069,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:31:30.000,  803371698.888,  925247521.772,      -1495.908,         40.157,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:32:00.000,  803383139.897,  925292420.352,      -1497.036,         40.310,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:32:30.000,  803394584.879,  925337335.274,      -1497.315,         40.484,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:33:00.000,  803406034.195,  925382264.329,      -1497.605,         40.710,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:33:30.000,  803417487.292,  925427208.676,      -1497.137,         40.365,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:34:00.000,  803428944.237,  925472167.667,      -1498.876,         40.234,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:34:30.000,  803440404.630,  925517141.043,      -1499.671,         40.269,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:35:00.000,  803451868.946,  925562130.112,      -1499.804,         40.317,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:35:30.000,  803463337.769,  925607136.710,      -1500.192,         40.267,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:36:00.000,  803474809.033,  925652153.456,      -1501.665,         39.937,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:36:30.000,  803486285.452,  925697190.156,      -1501.762,         39.414,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:37:00.000,  803497765.401,  925742238.989,      -1501.455,         39.529,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:37:30.000,  803509250.099,  925787307.368,      -1502.750,         39.084,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:38:00.000,  803520737.671,  925832389.532,      -1502.909,         39.321,,,,,,,,,,,,,,,,,,
I01, 2025-01-24 02:38:30.000,  803532229.879,  925877487.081,      -1504.449,         38.922,,,,,,,,,,,,,,,,,,
