> PRN,time,C1C,L1C,D1C,S1C,C1W,S1W,C2W,L2W,D2W,S2W,C2L,L2L,D2L,S2L,C5Q,L5Q,D5Q,S5Q,C1L,L1L,D1L,S1L
I01, 2025-01-18 01:39:30.000,   90053235.532,  974462231.725,      -1467.576,         38.357,,,,,,,,,,,,,,,,,,
I01, 2025-01-18 01:40:00.000,   90064450.221,  974506241.003,      -1466.924,         39.108,,,,,,,,,,,,,,,,,,
I01, 2025-01-18 01:43:00.000,   90131715.683,  974770201.898,      -1466.072,         36.461,,,,,,,,,,,,,,,,,,
I01, 2025-01-18 01:43:30.000,   90142923.186,  974814181.907,      -1466.478,         35.100,,,,,,,,,,,,,,,,,,
I01, 2025-01-18 01:44:00.000,   90154129.986,  974858161.383,      -1465.508,         31.321,,,,,,,,,,,,,,,,,,
I01, 2025-01-18 01:44:30.000,   90165334.606,  974902135.355,      -1465.482,         28.597,,,,,,,,,,,,,,,,,,
I01, 2025-01-18 01:45:00.000,   90176540.550,  974946108.089,      -1465.275,         35.324,,,,,,,,,,,,,,,,,,
I01, 2025-01-18 01:45:30.000,   90187745.744,  974990076.331,      -1465.353,         34.433,,,,,,,,,,,,,,,,,,
I01, 2025-01-18 01:46:00.000,   90198950.204,  975034042.906,      -1466.216,         31.117,,,,,,,,,,,,,,,,,,
I01, 2025-01-18 01:46:30.000,   90210153.372,  975078007.040,      -1464.120,         38.513,,,,,,,,,,,,,,,,,,
I01, 2025-01-18 01:47:00.000,   90221355.253,  975121968.551,      -1465.573,         40.074,,,,,,,,,,,,,,,,,,
I01, 2025-01-18 01:47:30.000,   90232557.149,  975165927.563,      -1465.481,         37.543,,,,,,,,,,,,,,,,,,
I01, 2025-01-18 01:48:00.000,   90243758.781,  975209885.089,      -1464.825,         30.506,,,,,,,,,,,,,,,,,,
I01, 2025-01-18 01:48:30.000,   90254958.665,  975253839.753,      -1464.745,         36.340,,,,,,,,,,,,,,,,,,
