> PRN,time,C1C,L1C,S1C,C1P,L1P,S1P,C2C,L2C,S2C,C2P,L2P,S2P,C3X,L3X,S3X
  R01, 2025-01-25 05:35:30.000,24210070.95,129416702,40.9,24210070.18,129416699,38.6,24210084.65,100657455.2,38.1,24210085.01,100657454.2,35.9,,,
  R01, 2025-01-25 05:36:00.000,24189337.46,129305867,38.8,24189336.28,129305864.1,37.9,24189351.18,100571250.2,36.1,24189351.09,100571249.2,34.2,,,
  R01, 2025-01-25 05:36:30.000,24168666.78,129195367.9,40.9,24168665.32,129195364.9,38.3,24168679.55,100485306.4,32.9,24168680.6,100485305.4,31.6,,,
  R01, 2025-01-25 05:37:00.000,24148058.44,129085209.2,39.4,24148057.57,129085206.3,36.9,24148072.1,100399627.4,33.1,24148073.35,100399626.4,31.6,,,
  R01, 2025-01-25 05:37:30.000,24127516.13,128975394.9,38.6,24127514.48,128975391.9,36.8,24127528.96,100314216.1,32.9,24127529.61,100314215.1,31.4,,,
  R01, 2025-01-25 05:38:00.000,24107037.95,128865929.1,39.2,24107036.44,128865926.1,37.6,24107050.73,100229076.1,33.6,24107051.32,100229075.1,31.5,,,
  R01, 2025-01-25 05:38:30.000,24086625.79,128756815.1,40,24086624.78,128756812.1,38.9,24086639.2,100144209.7,35.2,24086640.19,100144208.7,33.5,,,
  R01, 2025-01-25 05:39:00.000,24066280.41,128648056.8,41.5,24066279.98,128648053.8,39.4,24066294.46,100059619.9,37.1,24066294.72,100059618.9,33.7,,,
  R01, 2025-01-25 05:39:30.000,24046002.15,128539658.5,38.8,24046001.4,128539655.5,38.6,24046015.9,99975310.16,34.9,24046016.06,99975309.18,33.7,,,
  R01, 2025-01-25 05:40:00.000,24025792.25,128431623.7,39.8,24025791.09,128431620.7,38.7,24025805.06,99891283.19,36.1,24025806.24,99891282.22,34.4,,,
  R01, 2025-01-25 05:40:30.000,24005651.16,128323956.1,39.2,24005649.44,128323953.1,37.9,24005664.71,99807541.85,36,24005664.25,99807540.85,34.1,,,
  R01, 2025-01-25 05:41:00.000,23985578.84,128216659.6,40.9,23985578.05,128216656.6,38.8,23985591.35,99724089.13,36.5,23985592.27,99724088.13,34.4,,,
  R01, 2025-01-25 05:41:30.000,23965576.66,128109738.2,40.4,23965575.23,128109735.2,39.2,23965589.95,99640928.08,35.6,23965590.39,99640927.07,34.2,,,
