> PRN,time,C1C,L1C,S1C,C1P,L1P,S1P,C2C,L2C,S2C,C2P,L2P,S2P,C3X,L3X,S3X
  R01, 2025-01-04 01:15:30.000,24588790.06,131441183.6,34.5,24588788.95,131441172.6,33.3,24588794.16,102232037.5,35,24588794.73,102232039.5,33.1,,,
  R01, 2025-01-04 01:16:00.000,24573873.23,131361445.2,34.9,24573872.03,131361434.2,33.7,24573878.02,102170018.7,36.8,24573878.04,102170020.7,34.6,,,
  R01, 2025-01-04 01:16:30.000,24558929.15,131281562.3,33.6,24558928.94,131281551.3,33.1,24558933.66,102107887.5,35.7,24558933.91,102107889.5,34,,,
  R01, 2025-01-04 01:17:00.000,24543959.14,131201535.2,35.1,24543958.4,131201524.2,34.2,24543963.2,102045644.2,35,24543963.85,102045646.3,32.2,,,
  R01, 2025-01-04 01:17:30.000,24528961.45,131121363.9,38.9,24528960.66,131121352.9,36.5,24528966.16,101983288.6,34.5,24528966.26,101983290.6,33,,,
  R01, 2025-01-04 01:18:00.000,24513937.27,131041048.4,38.4,24513936.06,131041037.4,37,24513940.87,101920821,35.6,24513941.4,101920823,33.4,,,
  R01, 2025-01-04 01:18:30.000,24498885.2,130960588.1,38.3,24498884.65,130960577.1,36.7,24498888.09,101858240.7,34.4,24498890.06,101858242.7,33.2,,,
  R01, 2025-01-04 01:19:00.000,24483806.27,130879983.5,38.1,24483805.27,130879972.5,35.6,24483810.92,101795548.3,36.6,24483811.95,101795550.3,34.2,,,
  R01, 2025-01-04 01:19:30.000,24468700.65,130799234.5,35.6,24468699.11,130799223.5,34.4,24468703.91,101732743.5,35.1,24468704.96,101732745.5,33.1,,,
  R01, 2025-01-04 01:20:00.000,24453568.24,130718340.8,35.9,24453565.76,130718329.8,34.1,24453572.18,101669826.2,35.6,24453572.71,101669828.1,33.5,,,
  R01, 2025-01-04 01:20:30.000,24438408.41,130637302.7,37.2,24438406.98,130637291.7,35.4,24438412.4,101606796.5,36.1,24438412.75,101606798.6,33.6,,,
