> PRN,time,C1C,L1C,S1C,C1P,L1P,S1P,C2C,L2C,S2C,C2P,L2P,S2P,C3X,L3X,S3X
  R01, 2025-01-28 00:00:00.000,23896063.66,127738186.1,37.1,23896062.8,127738162.1,36,23896068.32,99351918.05,35.5,23896068.72,99351921.05,33.7,,,
  R01, 2025-01-28 00:00:30.000,23879987.92,127652250.3,37.8,23879986.84,127652226.3,36.3,23879992.69,99285079.13,35.2,23879992.25,99285082.13,33.5,,,
  R01, 2025-01-28 00:01:00.000,23863885.67,127566179.5,37.9,23863884.94,127566155.6,36,23863891.47,99218135.32,35.6,23863891.54,99218138.3,34.7,,,
  R01, 2025-01-28 00:01:30.000,23847760.22,127479974.8,36.9,23847759.14,127479950.8,35.5,23847764.35,99151087.26,36.4,23847765.09,99151090.26,34.9,,,
  R01, 2025-01-28 00:02:00.000,23831608.77,127393636.4,37.5,23831607.63,127393612.4,36.3,23831612.18,99083935.2,35.5,23831612.92,99083938.23,33.5,,,
  R01, 2025-01-28 00:02:30.000,23815432.3,127307164.9,38.5,23815431.34,127307140.9,36.8,23815435.66,99016679.72,36,23815436.41,99016682.71,33.8,,,
  R01, 2025-01-28 00:03:00.000,23799231.31,127220560.8,39,23799230.24,127220536.8,38,23799235.61,98949320.99,36.3,23799235.48,98949324,34,,,
  R01, 2025-01-28 00:03:30.000,23783005.52,127133824.5,37.4,23783004.29,127133800.6,37.4,23783009.32,98881859.54,35.1,23783009.81,98881862.59,33.1,,,
  R01, 2025-01-28 00:04:00.000,23766754.72,127046956.8,40.3,23766754.44,127046932.9,38.6,23766758.05,98814295.86,35.6,23766758.6,98814298.87,34.3,,,
  R01, 2025-01-28 00:04:30.000,23750479.8,126959958.4,38.4,23750478.77,126959934.5,37.2,23750483.81,98746630.5,35.7,23750484.66,98746633.48,34,,,
  R01, 2025-01-28 00:05:00.000,23734180.89,126872829.8,37.6,23734179.89,126872805.7,35.5,23734184.66,98678863.84,35.3,23734184.44,98678866.83,32.7,,,
  R01, 2025-01-28 00:05:30.000,23717857.34,126785571.2,38.8,23717856.38,126785547.2,37.3,23717860.89,98610996.16,36.6,23717861.74,98610999.18,34.3,,,
  R01, 2025-01-28 00:06:00.000,23701509.32,126698183.8,37.9,23701507.66,126698159.9,36.7,23701513.16,98543028.26,36,23701513.93,98543031.26,34.4,,,
  R01, 2025-01-28 00:06:30.000,23685138.02,126610668.1,38.1,23685136.73,126610644.2,37.6,23685142.03,98474960.57,36.7,23685142.44,98474963.57,36,,,
  R01, 2025-01-28 00:07:00.000,23668742.81,126523024.7,39.1,23668741.21,126523000.7,37.5,23668747.17,98406793.53,36.7,23668746.95,98406796.54,35.1,,,
  R01, 2025-01-28 00:07:30.000,23652322.52,126435254.2,38.1,23652321.46,126435230.1,36.7,23652326.22,98338527.62,35.7,23652327.42,98338530.62,34,,,
  R01, 2025-01-28 00:08:00.000,23635879.66,126347357.5,38.9,23635878.68,126347333.5,37.8,23635884.38,98270163.65,36.4,23635884.26,98270166.66,34.5,,,
  R01, 2025-01-28 00:08:30.000,23619413.12,126259335.2,37.6,23619412.47,126259311.2,36.5,23619417.26,98201701.86,36.4,23619417.84,98201704.85,35.1,,,
  R01, 2025-01-28 00:09:00.000,23602923.98,126171188.1,38.7,23602922.97,126171164.1,37.6,23602926.43,98133143.08,35.4,23602927.76,98133146.11,34.5,,,
  R01, 2025-01-28 00:09:30.000,23586411.16,126082916.8,39.6,23586409.74,126082892.8,38.1,23586412.73,98064487.71,35.8,23586414.6,98064490.7,33.4,,,
  R01, 2025-01-28 00:10:00.000,23569874.91,125994522.5,39,23569873.33,125994498.5,37.8,23569878.84,97995736.67,36.3,23569878.98,97995739.66,34.5,,,
  R01, 2025-01-28 00:10:30.000,23553315.64,125906005.4,38,23553314.37,125905981.5,36.7,23553319.77,97926890.13,36.7,23553319.58,97926893.14,33.8,,,
  R01, 2025-01-28 00:11:00.000,23536733.6,125817366.6,38.9,23536732.76,125817342.6,38.1,23536736.78,97857948.87,36.6,23536738.04,97857951.89,34.1,,,
  R01, 2025-01-28 00:11:30.000,23520128.89,125728606.9,38.7,23520128.34,125728582.9,37.1,23520132.63,97788913.61,37.1,23520133.7,97788916.63,35,,,
  R01, 2025-01-28 00:12:00.000,23503502.47,125639727.2,39.7,23503501.29,125639703.2,37.9,23503506.61,97719785.09,37.6,23503506.75,97719788.1,35.3,,,
  R01, 2025-01-28 00:12:30.000,23486852.91,125550728.2,40.8,23486852.28,125550704.2,38.4,23486856.81,97650563.66,36.8,23486857.56,97650566.68,34.9,,,
  R01, 2025-01-28 00:13:00.000,23470181.7,125461610.7,39,23470180.51,125461586.7,38.5,23470185.6,97581250.09,36.5,23470186.46,97581253.1,35.9,,,
  R01, 2025-01-28 00:13:30.000,23453489.37,125372375.3,38.7,23453487.95,125372351.3,37.5,23453491.99,97511844.91,37,23453492.74,97511847.93,34.6,,,
  R01, 2025-01-28 00:14:00.000,23436773.35,125283023.3,39.2,23436771.88,125282999.3,37.2,23436776.62,97442348.95,38,23436778.08,97442351.94,34.7,,,
  R01, 2025-01-28 00:14:30.000,23420036.7,125193555.5,39.8,23420035.95,125193531.5,39,23420039.8,97372762.99,36.7,23420040.72,97372765.98,35,,,
  R01, 2025-01-28 00:15:00.000,23403278.23,125103972.7,39.2,23403276.89,125103948.7,37.9,23403281.44,97303087.55,37.4,23403282.86,97303090.54,35.3,,,
  R01, 2025-01-28 00:15:30.000,23386498.39,125014276,40.6,23386497.61,125014252,38.7,23386502.42,97233323.51,36.5,23386502.75,97233326.5,34.7,,,
  R01, 2025-01-28 00:16:00.000,23369697.84,124924466.1,39.3,23369696.84,124924442.2,37.8,23369701.43,97163471.45,36.9,23369702.16,97163474.45,35.8,,,
  R01, 2025-01-28 00:16:30.000,23352875.28,124834544.2,39.2,23352874.54,124834520.2,38.1,23352879.31,97093532.23,37,23352879.86,97093535.26,34.5,,,
  R01, 2025-01-28 00:17:00.000,23336032.82,124744511.2,39.2,23336032.11,124744487.2,38.4,23336037.36,97023506.64,37.4,23336037.41,97023509.64,35.6,,,
  R01, 2025-01-28 00:17:30.000,23319169.81,124654368.2,39.5,23319168.87,124654344.2,38.6,23319173.41,96953395.43,37,23319173.86,96953398.46,35.9,,,
  R01, 2025-01-28 00:18:00.000,23302286.59,124564115.9,38.9,23302285.78,124564091.9,37.7,23302290.67,96883199.28,37.9,23302291.05,96883202.29,35.9,,,
  R01, 2025-01-28 00:18:30.000,23285382.77,124473755.4,39.2,23285381.35,124473731.4,37.8,23285385.57,96812918.94,36.5,23285386.85,96812921.92,34.5,,,
  R01, 2025-01-28 00:19:00.000,23268458.95,124383287.5,38.9,23268457.38,124383263.5,37.5,23268462.28,96742555.12,38.1,23268463.51,96742558.1,37,,,
  R01, 2025-01-28 00:19:30.000,23251515.27,124292713.9,37.9,23251514.42,124292689.9,37,23251519.01,96672109,36.7,23251518.79,96672112.02,35.1,,,
  R01, 2025-01-28 00:20:00.000,23234551.82,124202035.3,40.3,23234550.96,124202011.3,38.8,23234554.06,96601581.25,37.5,23234556.01,96601584.24,35.9,,,
  R01, 2025-01-28 00:20:30.000,23217568.79,124111252.7,40,23217568.27,124111228.7,39.2,23217572.56,96530972.63,38.4,23217573.23,96530975.6,35.8,,,
  R01, 2025-01-28 00:21:00.000,23200566.9,124020367.4,40.2,23200565.75,124020343.4,38.5,23200570.57,96460284.1,37.9,23200571.02,96460287.11,35.7,,,
  R01, 2025-01-28 00:21:30.000,23183545.73,123929380.6,38.7,23183544.76,123929356.6,37.2,23183549.53,96389516.6,36.9,23183550.35,96389519.62,35.7,,,
  R01, 2025-01-28 00:22:00.000,23166506.09,123838292.8,39.9,23166505.38,123838268.8,38.4,23166509.25,96318670.64,38.3,23166510.23,96318673.67,36.3,,,
  R01, 2025-01-28 00:22:30.000,23149447.37,123747105.8,39.7,23149446.57,123747081.8,37.7,23149451.11,96247747.44,38.3,23149451.83,96247750.46,36.2,,,
  R01, 2025-01-28 00:23:00.000,23132370.46,123655820.3,41.9,23132370.32,123655796.3,40.1,23132374.48,96176747.61,38.8,23132374.86,96176750.62,36.4,,,
  R01, 2025-01-28 00:23:30.000,23115275.69,123564437.5,41,23115275.01,123564413.5,38.9,23115278.95,96105672.21,38.3,23115279.29,96105675.19,35.7,,,
  R01, 2025-01-28 00:24:00.000,23098162.59,123472958.9,39.7,23098161.34,123472934.9,38.6,23098166.21,96034522.19,37.1,23098166.23,96034525.18,35.7,,,
  R01, 2025-01-28 00:24:30.000,23081032.2,123381385.6,39.9,23081030.86,123381361.6,38.5,23081035.04,95963298.53,37.8,23081036.17,95963301.55,35.9,,,
  R01, 2025-01-28 00:25:00.000,23063883.73,123289718.8,39.8,23063881.85,123289694.8,37.9,23063886.61,95892002.17,36.9,23063887.73,95892005.16,36.1,,,
  R01, 2025-01-28 00:25:30.000,23046717.97,123197959.7,38.6,23046716.81,123197935.7,37.2,23046721.78,95820634,37.1,23046722.31,95820637.01,35.9,,,
  R01, 2025-01-28 00:26:00.000,23029535.97,123106109.6,40,23029534.94,123106085.6,38.8,23029539.17,95749195.06,38.3,23029539.43,95749198.09,35.8,,,
