> PRN,time,C1C,L1C,S1C,C1P,L1P,S1P,C2C,L2C,S2C,C2P,L2P,S2P,C3X,L3X,S3X
  R01, 2025-01-13 00:00:00.000,21849765.62,116799546.3,43.1,21849764.83,116799775.3,42.2,21849768.26,90844128.9,39.7,21849769.4,90844102.9,37.7,,,
  R01, 2025-01-13 00:00:30.000,21839010.26,116742055.5,42.4,21839009.23,116742284.6,41.2,21839013.67,90799413.91,39.4,21839014.5,90799387.93,37.8,,,
  R01, 2025-01-13 00:01:00.000,21828254.48,116684558.3,42.9,21828253.81,116684787.3,41.5,21828257.57,90754693.83,39.7,21828258.43,90754667.81,37.3,,,
  R01, 2025-01-13 00:01:30.000,21817497.47,116627054.5,42.4,21817496.45,116627283.5,41.4,21817500.39,90709968.66,39.4,21817501.14,90709942.67,38.1,,,
  R01, 2025-01-13 00:02:00.000,21806739.04,116569544.5,43,21806737.87,116569773.5,41.2,21806741.96,90665238.73,39.7,21806742.49,90665212.73,37.9,,,
  R01, 2025-01-13 00:02:30.000,21795979.43,116512028.6,43.1,21795978.39,116512257.6,41.3,21795983.38,90620504.17,40.1,21795983.48,90620478.17,37.9,,,
  R01, 2025-01-13 00:03:00.000,21785218.77,116454507.2,43,21785217.77,116454736.2,41.5,21785222.27,90575765.27,40.1,21785222.82,90575739.26,38.3,,,
  R01, 2025-01-13 00:03:30.000,21774456.88,116396980.6,43.2,21774456.54,116397209.6,41.6,21774460.24,90531022.4,38.1,21774460.85,90530996.4,37,,,
  R01, 2025-01-13 00:04:00.000,21763694.91,116339449.2,43,21763693.93,116339678.2,41.6,21763698.07,90486275.72,39.5,21763698.5,90486249.75,37.6,,,
  R01, 2025-01-13 00:04:30.000,21752930.64,116281913,41.5,21752930.23,116282142,41.1,21752934.91,90441525.35,40,21752934.82,90441499.36,37.7,,,
  R01, 2025-01-13 00:05:00.000,21742167.34,116224372.4,42.6,21742166.13,116224601.4,41.4,21742170.87,90396771.59,40.5,21742171.34,90396745.58,37.8,,,
  R01, 2025-01-13 00:05:30.000,21731402.4,116166828.1,42.2,21731400.97,116167057.1,41.6,21731405.36,90352014.95,39.2,21731406.16,90351988.95,37.5,,,
  R01, 2025-01-13 00:06:00.000,21720637.23,116109280.3,42.4,21720636.34,116109509.3,41.3,21720639.71,90307255.55,38.8,21720640.65,90307229.55,37.5,,,
  R01, 2025-01-13 00:06:30.000,21709870.96,116051729.4,43.2,21709869.89,116051958.4,41.5,21709874.12,90262493.72,39.6,21709874.74,90262467.7,38.1,,,
