> PRN,time,C1C,L1C,S1C,C1P,L1P,S1P,C2C,L2C,S2C,C2P,L2P,S2P,C3X,L3X,S3X
  R01, 2025-01-24 07:33:30.000,24165614.27,129179052,38.7,24165611.95,129179228,37,24165627.8,100472628.9,33.2,24165628.58,               ,31,,,
  R01, 2025-01-24 07:34:00.000,24155115.62,129122932.8,40.9,24155114.08,129123108.8,39.9,24155130.07,100428980.7,36.5,24155130.3,100428971.7,34.7,,,
  R01, 2025-01-24 07:34:30.000,24144732.02,129067424.4,40.2,24144731.15,129067600.4,37.7,24144744.52,100385807.6,35.2,24144745.87,100385798.6,33.5,,,
  R01, 2025-01-24 07:35:00.000,24134462.71,129012528.7,39.4,24134461.54,129012704.7,38.8,24134475.9,100343111,35.8,24134476.68,100343102,34,,,
  R01, 2025-01-24 07:35:30.000,24124308.29,128958247.6,40.7,24124306.65,128958423.6,38.6,24124322.26,100300892.5,37,24124321.99,100300883.5,34.2,,,
  R01, 2025-01-24 07:36:00.000,24114268.88,128904583.1,38.6,24114267.1,128904759,36.7,24114282.45,100259153.4,36.9,24114283.13,100259144.4,34.5,,,
  R01, 2025-01-24 07:36:30.000,24104345.22,128851537.4,38,24104343.88,128851713.5,36.9,24104358.16,100217895.9,35,24104359.47,100217886.9,33.2,,,
  R01, 2025-01-24 07:37:00.000,24094538.41,128799112,41.2,24094537.54,128799288,39.8,24094551.15,100177120.5,36.7,24094552.18,100177111.6,34.2,,,
  R01, 2025-01-24 07:37:30.000,24084847.48,128747308.3,40.3,24084846.63,128747484.3,38.1,24084860.82,100136828.8,35.9,24084861.16,100136819.9,34.5,,,
  R01, 2025-01-24 07:38:00.000,24075273.01,128696128.4,38.3,24075271.73,128696304.4,37.7,24075286.02,100097022.3,37.3,24075286.94,100097013.3,35.1,,,
  R01, 2025-01-24 07:38:30.000,24065816.3,128645574.7,40.9,24065815.12,128645750.7,38.4,24065828.85,100057702.8,35.9,24065829.24,100057693.8,35,,,
  R01, 2025-01-24 07:39:00.000,24056475.7,128595648.5,39.9,24056474.25,128595824.4,37.9,24056489.47,100018871.4,36.1,24056489.79,100018862.4,34.3,,,
  R01, 2025-01-24 07:39:30.000,24047254.02,128546351.4,40.8,24047252.8,128546527.5,38.4,24047267.88,99980529.38,35.4,24047267.52,99980520.4,34.3,,,
  R01, 2025-01-24 07:40:00.000,24038149.7,128497685.4,39.7,24038148.85,128497861.4,38.8,24038163.48,99942678.05,36.7,24038163.68,99942669.09,35.2,,,
  R01, 2025-01-24 07:40:30.000,24029164.31,128449651.7,39.9,24029163.47,128449827.7,38.8,24029176.71,99905318.71,36.4,24029177.99,99905309.69,34.6,,,
  R01, 2025-01-24 07:41:00.000,24020296.99,128402252.7,39.4,24020295.52,128402428.6,38.1,24020310.61,99868452.86,36.8,24020311.16,99868443.84,35,,,
  R01, 2025-01-24 07:41:30.000,24011549.03,128355489.6,39.9,24011547.86,128355665.6,38.2,24011561.25,99832081.67,36.7,24011562.59,99832072.7,34.6,,,
  R01, 2025-01-24 07:42:00.000,24002919.67,128309363.8,38.8,24002918.41,128309539.8,37.9,24002933.24,99796206.2,36.6,24002933.69,99796197.2,34.4,,,
  R01, 2025-01-24 07:42:30.000,23994410.77,128263876.8,40.2,23994409.92,128264052.8,38.4,23994424.56,99760827.55,36.5,23994424.56,99760818.53,34.4,,,
  R01, 2025-01-24 07:43:00.000,23986020.91,128219030,41.7,23986020.06,128219206,40.3,23986034.33,99725946.75,35.1,23986034.09,99725937.76,33.8,,,
  R01, 2025-01-24 07:43:30.000,23977752.09,128174825.2,40.6,23977751.2,128175001.2,39.4,23977764.95,99691565.27,37.1,23977765.18,99691556.27,34.9,,,
  R01, 2025-01-24 07:44:00.000,23969602.12,128131263.5,39.9,23969601.36,128131439.5,38.3,23969615.5,99657684.05,36.8,23969616.26,99657675.07,35.1,,,
  R01, 2025-01-24 07:44:30.000,23961573.84,128088346.6,39.5,23961572.75,128088522.6,38.3,23961586.15,99624304.33,35.8,23961587.12,99624295.35,34.2,,,
  R01, 2025-01-24 07:45:00.000,23953665.81,128046075.8,38,23953664.71,128046251.8,37.1,23953678.74,99591427.13,35.7,23953679.6,99591418.12,33.6,,,
  R01, 2025-01-24 07:45:30.000,23945879.33,128004452.2,40.2,23945878.46,128004628.3,38.1,23945892.09,99559053.32,35,23945892.82,99559044.32,34.3,,,
  R01, 2025-01-24 07:46:00.000,23938214.2,127963477.8,40.3,23938213.09,127963653.8,38.3,23938227.1,99527184.4,36,23938227.99,99527175.39,34,,,
  R01, 2025-01-24 07:46:30.000,23930670.77,127923153.5,39.8,23930669.28,127923329.5,37.6,23930684.18,99495821.12,35.3,23930684.19,99495812.13,33.6,,,
  R01, 2025-01-24 07:47:00.000,23923248.58,127883480.2,39.6,23923247.17,127883656.2,37.8,23923261.35,99464964.17,36.3,23923262.84,99464955.2,34.5,,,
  R01, 2025-01-24 07:47:30.000,23915949.37,127844459.4,40.8,23915948.47,127844635.4,39.1,23915961.95,99434614.79,36.5,23915962.63,99434605.81,34.5,,,
  R01, 2025-01-24 07:48:00.000,23908771.97,127806092.1,41.4,23908770.15,127806268.1,38.8,23908785.26,99404773.64,36,23908785.54,99404764.66,35,,,
  R01, 2025-01-24 07:48:30.000,23901717.13,127768379.6,40.3,23901716.07,127768555.6,38.4,23901730.47,99375441.72,35.9,23901730.39,99375432.72,33.9,,,
  R01, 2025-01-24 07:49:00.000,23894785.09,127731322.8,40.5,23894783.1,127731498.8,38.8,23894797.96,99346619.88,35.8,23894797.76,99346610.88,34.4,,,
  R01, 2025-01-24 07:49:30.000,23887974.79,127694922.9,41.7,23887974.18,127695098.9,40.5,23887988.36,99318308.97,37.4,23887989.09,99318299.99,35.6,,,
  R01, 2025-01-24 07:50:00.000,23881288.96,127659181.1,42.1,23881288.02,127659357.1,40.4,23881301.84,99290509.83,37,23881302.17,99290500.82,34.6,,,
  R01, 2025-01-24 07:50:30.000,23874725.95,127624097.9,40.8,23874725.21,127624273.9,39.9,23874738.32,99263222.99,36.1,23874738.97,99263214,34.7,,,
  R01, 2025-01-24 07:51:00.000,23868286.27,127589674.6,39.8,23868285.2,127589850.6,38.4,23868298.46,99236449.38,36.5,23868299.57,99236440.37,35.3,,,
  R01, 2025-01-24 07:51:30.000,23861970.23,127555911.8,39.4,23861969.43,127556087.8,38,23861983.39,99210189.5,37.7,23861984.05,99210180.5,35.7,,,
  R01, 2025-01-24 07:52:00.000,23855777.5,127522810.6,39.7,23855776.34,127522986.6,37.9,23855790.81,99184444.18,37.3,23855790.83,99184435.21,35.1,,,
  R01, 2025-01-24 07:52:30.000,23849708.87,127490371.7,40.1,23849708,127490547.8,38.7,23849722.33,99159214.09,37.3,23849722.88,99159205.11,35.7,,,
  R01, 2025-01-24 07:53:00.000,23843765.09,127458596.4,40.4,23843764.05,127458772.4,39.4,23843777.57,99134500.02,36.4,23843777.88,99134491,35.1,,,
  R01, 2025-01-24 07:53:30.000,23837944.82,127427484.9,40.3,23837943.47,127427660.9,39,23837957.71,99110302.21,36.8,23837957.82,99110293.21,33.9,,,
  R01, 2025-01-24 07:54:00.000,23832249.11,127397038.5,39.4,23832248.24,127397214.4,38,23832261.88,99086621.69,36.5,23832262.45,99086612.68,34.9,,,
  R01, 2025-01-24 07:54:30.000,23826678.02,127367257.8,39.5,23826677.15,127367433.8,38.6,23826690.57,99063459,37.2,23826691.4,99063450.02,34.2,,,
  R01, 2025-01-24 07:55:00.000,23821231.55,127338143.4,40.4,23821230.59,127338319.4,39,23821244.1,99040814.56,35.7,23821244.38,99040805.56,34.4,,,
  R01, 2025-01-24 07:55:30.000,23815909.81,127309695.7,40.6,23815909.07,127309871.7,39.4,23815922.98,99018688.58,35.4,23815923.1,99018679.59,34.5,,,
  R01, 2025-01-24 07:56:00.000,23810713.09,127281915.6,40.5,23810712.56,127282091.6,38.7,23810726,98997081.92,35.6,23810726.19,98997072.93,33.9,,,
  R01, 2025-01-24 07:56:30.000,23805641.1,127254803.5,40.9,23805640.14,127254979.5,39.1,23805654.29,98975994.78,34.7,23805653.89,98975985.79,32.7,,,
  R01, 2025-01-24 07:57:00.000,23800693.78,127228360,38.8,23800692.39,127228536,37.7,23800707.88,98955427.68,36.7,23800707.77,98955418.67,34.6,,,
  R01, 2025-01-24 07:57:30.000,23795872.06,127202585,40.3,23795871.23,127202761,38.7,23795884.34,98935380.55,35.7,23795885.45,98935371.52,33.8,,,
  R01, 2025-01-24 07:58:00.000,23791175.98,127177479.9,41.8,23791175.32,127177655.9,40.2,23791189.31,98915854.32,36.8,23791189.32,98915845.32,35.1,,,
