> PRN,time,C1C,L1C,S1C,C1P,L1P,S1P,C2C,L2C,S2C,C2P,L2P,S2P,C3X,L3X,S3X
  R01, 2025-01-03 03:29:30.000,24395665.76,130408813.5,38.5,24395664.5,130408807.5,36.4,24395673.65,               ,33.3,24395673.41,               ,31.4,,,
  R01, 2025-01-03 03:30:00.000,24374197.18,130294046.5,36.5,24374195.81,130294040.5,35,24374205.03,101339834.4,33.7,24374205.11,101339826.4,31.1,,,
  R01, 2025-01-03 03:30:30.000,24352703.3,130179153.2,36.4,24352702.86,130179147.2,34.8,24352710.07,101250472.6,33.4,24352711.88,101250464.6,31.2,,,
  R01, 2025-01-03 03:31:00.000,24331187.82,130064135.9,37.6,24331186.53,130064129.9,35.9,24331194.28,101161014.6,35.1,24331194.87,101161006.6,33.3,,,
  R01, 2025-01-03 03:31:30.000,24309648.41,129948996.3,37.6,24309647.64,129948990.3,36,24309656.03,101071461.3,34,24309656.66,101071453.3,32.2,,,
  R01, 2025-01-03 03:32:00.000,24288086.58,129833736.4,38.4,24288086.65,129833730.4,37.3,24288094.04,100981814.5,35.1,24288094.77,100981806.5,33.4,,,
  R01, 2025-01-03 03:32:30.000,24266503.37,129718358.4,38.7,24266502.47,129718352.4,36.5,24266511.04,100892075.8,35.4,24266511.23,100892067.8,33.4,,,
  R01, 2025-01-03 03:33:00.000,24244897.96,129602864.2,37.7,24244896.42,129602858.2,36.2,24244904.44,100802246.9,34.7,24244905.38,100802238.9,32.2,,,
  R01, 2025-01-03 03:33:30.000,24223271.03,129487255.7,37.5,24223269.18,129487249.7,36.6,24223279.42,100712329,35.2,24223279.13,100712321,34,,,
  R01, 2025-01-03 03:34:00.000,24201623.38,129371535.8,37.6,24201621.27,129371529.8,35.9,24201630.45,100622324.4,36.2,24201631.2,100622316.5,33.7,,,
  R01, 2025-01-03 03:34:30.000,24179955.21,129255706.4,39.2,24179954.31,129255700.4,37.2,24179962.47,100532234.7,36.1,24179962.65,100532226.7,34.1,,,
  R01, 2025-01-03 03:35:00.000,24158267.05,129139769.1,37.6,24158265.3,129139763.1,37.5,24158274.01,100442061.2,35.6,24158274.91,100442053.2,33.8,,,
  R01, 2025-01-03 03:35:30.000,24136558.27,129023726.6,37.5,24136557.65,129023720.6,36.6,24136566.85,100351805.7,36.2,24136567.13,100351797.7,34.1,,,
  R01, 2025-01-03 03:36:00.000,24114831.34,128907580.9,37.6,24114829.91,128907574.9,35.4,24114838.57,100261470,36.2,24114839.67,100261462.1,33.5,,,
  R01, 2025-01-03 03:36:30.000,24093084.38,128791334.1,33.7,24093083.06,128791328.1,34.1,24093092.51,100171055.7,35,24093092.95,100171047.7,32.8,,,
  R01, 2025-01-03 03:37:00.000,24071319.8,128674988.6,37.6,24071319.33,128674982.6,36.6,24071327.82,100080564.7,35.9,24071328.47,100080556.7,34.1,,,
  R01, 2025-01-03 03:37:30.000,24049537.45,128558546.8,37.8,24049536.04,128558540.8,36.2,24049546.04,99989998.7,34.3,24049545.49,99989990.67,32.8,,,
  R01, 2025-01-03 03:38:00.000,24027736.61,128442011,37.5,24027735.89,128442005,36,24027744.95,99899359.55,34.5,24027745.13,99899351.54,32.6,,,
  R01, 2025-01-03 03:38:30.000,24005918.95,128325382.9,38.4,24005918.71,128325376.9,37.5,24005928.33,99808648.6,37.1,24005927.97,99808640.6,34.8,,,
  R01, 2025-01-03 03:39:00.000,23984085.29,128208665.1,39.2,23984084.46,128208659.1,38.1,23984093.53,99717867.88,37.9,23984093.7,99717859.91,35.2,,,
  R01, 2025-01-03 03:39:30.000,23962233.65,128091859.7,37.6,23962233.73,128091853.7,36.1,23962243.01,99627019.01,37,23962243.29,99627011.04,35.8,,,
  R01, 2025-01-03 03:40:00.000,23940367.18,127974969,37.4,23940367.09,127974963,37,23940376.1,99536103.89,35.9,23940376.39,99536095.9,33.6,,,
  R01, 2025-01-03 03:40:30.000,23918485.91,127857996.2,40.5,23918485.38,127857990.2,38.1,23918493.06,99445124.84,35.5,23918493.87,99445116.85,32.4,,,
  R01, 2025-01-03 03:41:00.000,23896589.09,127740943.2,39.1,23896588.31,127740937.2,38.4,23896597.37,99354083.44,37.3,23896597.83,99354075.44,34.9,,,
  R01, 2025-01-03 03:41:30.000,23874677.21,127623812.4,37.6,23874675.92,127623806.4,36.4,23874685.34,99262981.67,36.3,23874685.55,99262973.66,34.1,,,
  R01, 2025-01-03 03:42:00.000,23852751.34,127506606.2,38.5,23852750.86,127506600.2,36.8,23852759.55,99171821.15,36.7,23852759.59,99171813.14,34.3,,,
  R01, 2025-01-03 03:42:30.000,23830812.11,127389327.3,39.4,23830811.28,127389321.3,37.5,23830819.8,99080604.12,36.5,23830820.27,99080596.08,33.9,,,
  R01, 2025-01-03 03:43:00.000,23808859.69,127271978,39.8,23808858.75,127271972,38.4,23808866.98,98989332.39,36.4,23808868.21,98989324.38,34.8,,,
  R01, 2025-01-03 03:43:30.000,23786894.61,127154560.1,40.6,23786892.84,127154554.1,38.6,23786901.79,98898007.32,36.2,23786902.65,98897999.31,34.9,,,
  R01, 2025-01-03 03:44:00.000,23764917.04,127037076.8,38.6,23764915.8,127037070.8,37,23764924.82,98806631.32,36.7,23764925.09,98806623.32,34.6,,,
  R01, 2025-01-03 03:44:30.000,23742927.7,126919530.4,40.4,23742926.48,126919524.4,38.8,23742935.15,98715206.35,36.8,23742936.19,98715198.34,34.9,,,
  R01, 2025-01-03 03:45:00.000,23720926.48,126801923.5,39.9,23720925.43,126801917.6,38.5,23720934.32,98623734.22,36.7,23720934.81,98623726.22,35.3,,,
  R01, 2025-01-03 03:45:30.000,23698914.88,126684258.4,39,23698914.16,126684252.5,37.6,23698922.09,98532216.81,36.9,23698923.81,98532208.82,35.4,,,
  R01, 2025-01-03 03:46:00.000,23676893.16,126566537.7,40.3,23676892.51,126566531.7,38.9,23676900.96,98440656.09,37.7,23676901.95,98440648.1,36,,,
  R01, 2025-01-03 03:46:30.000,23654860.84,126448764,40.3,23654859.75,126448757.9,38.8,23654868.91,98349054.16,37.6,23654869.33,98349046.17,35.4,,,
  R01, 2025-01-03 03:47:00.000,23632819.57,126330939.9,40.2,23632818.68,126330933.9,38.7,23632827.7,98257413.17,36.7,23632827.84,98257405.18,34.6,,,
  R01, 2025-01-03 03:47:30.000,23610769.62,126213068.5,40.2,23610768.56,126213062.4,38.6,23610777.46,98165735.23,37.2,23610778.07,98165727.24,35.5,,,
  R01, 2025-01-03 03:48:00.000,23588710.91,126095151.7,40.4,23588709.46,126095145.7,39.1,23588717.98,98074022.13,36.1,23588718.89,98074014.12,34,,,
  R01, 2025-01-03 03:48:30.000,23566644.19,125977192.2,40.6,23566642.71,125977186.3,38.6,23566652.04,97982275.79,37.2,23566652.73,97982267.77,34.5,,,
  R01, 2025-01-03 03:49:00.000,23544569.66,125859192.9,39.9,23544568.59,125859186.9,38.8,23544578.48,97890498.42,38,23544578.8,97890490.42,36,,,
  R01, 2025-01-03 03:49:30.000,23522488.09,125741156.5,39.8,23522486.99,125741150.5,37.8,23522496.78,97798692.31,37.5,23522497.73,97798684.31,36.1,,,
  R01, 2025-01-03 03:50:00.000,23500401.05,125623085.4,39.8,23500400.24,125623079.4,38.4,23500408.56,97706859.15,37.4,23500409.75,97706851.13,35,,,
  R01, 2025-01-03 03:50:30.000,23478307.41,125504982.5,39.9,23478305.95,125504976.5,37.8,23478315.44,97615001.15,36.4,23478316.27,97614993.18,35.1,,,
  R01, 2025-01-03 03:51:00.000,23456208.64,125386850.6,40,23456207.7,125386844.6,37.9,23456217.39,97523120.75,37,23456217.23,97523112.75,36.1,,,
  R01, 2025-01-03 03:51:30.000,23434104.46,125268692.2,40.5,23434103.13,125268686.2,39,23434112.41,97431219.72,37,23434113.13,97431211.72,35.3,,,
  R01, 2025-01-03 03:52:00.000,23411996.7,125150510.7,39.9,23411994.92,125150504.7,38,23412005.19,97339300.64,38.3,23412005.3,97339292.65,36.3,,,
  R01, 2025-01-03 03:52:30.000,23389884.41,125032308.4,39.8,23389883.42,125032302.3,38.8,23389892.43,97247365.5,37.6,23389893.24,97247357.5,36.1,,,
  R01, 2025-01-03 03:53:00.000,23367768.56,124914088.2,40.4,23367767.84,124914082.2,38.6,23367775.96,97155416.47,36.1,23367777.41,97155408.46,35.4,,,
  R01, 2025-01-03 03:53:30.000,23345650.36,124795852.5,39.8,23345649.5,124795846.6,38.7,23345658.63,97063455.41,37.6,23345659.08,97063447.41,35.6,,,
  R01, 2025-01-03 03:54:00.000,23323529.91,124677604.6,40.4,23323528.91,124677598.6,39.6,23323538.63,96971484.86,38,23323538.63,96971476.84,36.5,,,
  R01, 2025-01-03 03:54:30.000,23301407.1,124559346.9,39.9,23301405.81,124559340.9,39.2,23301415.22,96879506.67,35.7,23301415.38,96879498.63,35.7,,,
  R01, 2025-01-03 03:55:00.000,23279283.26,124441082.6,40.5,23279282.04,124441076.5,39.3,23279292.29,96787523.29,38.7,23279292.45,96787515.29,37.7,,,
  R01, 2025-01-03 03:55:30.000,23257158.95,124322814.3,39.1,23257157.2,124322808.4,38.9,23257168.03,96695536.92,37.6,23257167.22,96695528.93,36.5,,,
  R01, 2025-01-03 03:56:00.000,23235034.05,124204544.9,40.6,23235032.84,124204538.9,39.4,23235042.49,96603549.59,38,23235042.76,96603541.59,36.3,,,
  R01, 2025-01-03 03:56:30.000,23212909.54,124086277.6,40.6,23212908.79,124086271.6,39.4,23212918.12,96511563.86,37.4,23212918.35,96511555.87,36.2,,,
  R01, 2025-01-03 03:57:00.000,23190786.09,123968014.6,40.2,23190784.62,123968008.6,38.4,23190793.98,96419581.53,37.7,23190795,96419573.52,36.2,,,
  R01, 2025-01-03 03:57:30.000,23168663.98,123849759.3,41,23168662.9,123849753.3,39.1,23168672.49,96327605.14,38.1,23168673.27,96327597.16,36,,,
  R01, 2025-01-03 03:58:00.000,23146544.14,123731514.8,40.4,23146542.79,123731508.8,38.6,23146552.34,96235637.19,38.6,23146552.8,96235629.2,36.4,,,
  R01, 2025-01-03 03:58:30.000,23124427.31,123613284,41.2,23124425.68,123613278,40.4,23124435.35,96143679.85,38.9,23124435.19,96143671.87,36.8,,,
  R01, 2025-01-03 03:59:00.000,23102312.78,123495070.3,41.5,23102311.34,123495064.3,40,23102320.64,96051735.85,38.1,23102321.2,96051727.82,36.7,,,
  R01, 2025-01-03 03:59:30.000,23080201.99,123376876,41.5,23080200.48,123376870,38.9,23080209.4,95959806.97,38.1,23080210.11,95959798.96,36.4,,,
  R01, 2025-01-03 04:00:00.000,23058095.33,123258704.5,40.8,23058093.79,123258698.5,39.9,23058103.21,95867895.77,38.3,23058104.09,95867887.77,35.9,,,
  R01, 2025-01-03 04:00:30.000,23035993.66,123140559,41.1,23035992.22,123140553,39.2,23036001.76,95776004.81,39.2,23036002.5,95775996.81,37.4,,,
  R01, 2025-01-03 04:01:00.000,23013897.85,123022442.4,41.6,23013896.95,123022436.4,39.9,23013906.48,95684136.42,39.4,23013906.35,95684128.42,37.3,,,
  R01, 2025-01-03 04:01:30.000,22991807.51,122904357.7,40.2,22991806.14,122904351.7,39.1,22991815.94,95592292.79,38.4,22991816.26,95592284.8,36.8,,,
