> PRN,time,C1C,L1C,S1C,C1P,L1P,S1P,C2C,L2C,S2C,C2P,L2P,S2P,C3X,L3X,S3X
  R01, 2025-01-26 03:49:00.000,24133823.35,129009118.8,39.4,24133822.26,129009105.7,38.6,24133831.19,100340446.1,34.1,24133832.01,100340441.1,31.8,,,
  R01, 2025-01-26 03:49:30.000,24110158.52,128882615,39.3,24110157.17,128882601.9,37,24110167.01,100242054.1,34.8,24110167.29,100242049.1,32.2,,,
  R01, 2025-01-26 03:50:00.000,24086509.44,128756198.3,39.9,24086508.48,128756185.3,37.5,24086516.85,100143729.8,35.1,24086518.49,100143724.8,33.3,,,
  R01, 2025-01-26 03:50:30.000,24062878.32,128629872.7,40.4,24062876.72,128629859.7,38.4,24062885.76,100045476.5,35.2,24062886.44,100045471.4,33.7,,,
  R01, 2025-01-26 03:51:00.000,24039264.33,128503641.3,39.7,24039262.57,128503628.3,37.9,24039272.6,99947296.27,36.2,24039272.06,99947291.3,33.5,,,
  R01, 2025-01-26 03:51:30.000,24015668.26,128377507.5,38.9,24015666.7,128377494.6,37.6,24015675.3,99849192.15,36.4,24015676.41,99849187.16,34.7,,,
  R01, 2025-01-26 03:52:00.000,23992091.36,128251475.1,40,23992090.33,128251462.1,38.1,23992099.35,99751166.81,36.9,23992100.03,99751161.82,35.1,,,
  R01, 2025-01-26 03:52:30.000,23968534.07,128125547.4,40.7,23968532.91,128125534.4,39.2,23968541.98,99653222.98,36,23968542.83,99653217.98,33.7,,,
  R01, 2025-01-26 03:53:00.000,23944996.84,127999728.8,40.6,23944995.96,127999715.8,39.4,23945004.31,99555363.95,34.8,23945005.16,99555358.93,33,,,
  R01, 2025-01-26 03:53:30.000,23921480.78,127874022.4,40.3,23921479.81,127874009.5,39.2,23921489.49,99457592.25,35,23921489.27,99457587.25,33.8,,,
  R01, 2025-01-26 03:54:00.000,23897986.73,127748432,40.3,23897985.63,127748419,38.3,23897995.05,99359910.77,36.9,23897995.63,99359905.77,34.2,,,
  R01, 2025-01-26 03:54:30.000,23874514.56,127622961.5,39.8,23874513.25,127622948.5,38.6,23874522.06,99262322.53,35.9,23874523.77,99262317.53,33.9,,,
  R01, 2025-01-26 03:55:00.000,23851066.01,127497614.6,41.2,23851065.18,127497601.6,40.1,23851074.2,99164830.48,36,23851075.03,99164825.48,34.7,,,
  R01, 2025-01-26 03:55:30.000,23827640.75,127372395.1,39.7,23827640.22,127372382.1,38.8,23827649.15,99067437.53,36.9,23827650.38,99067432.51,34.9,,,
  R01, 2025-01-26 03:56:00.000,23804240.45,127247306.4,39.2,23804239.66,127247293.4,38.1,23804248.95,98970146.34,36.6,23804249.8,98970141.35,34.3,,,
  R01, 2025-01-26 03:56:30.000,23780865.54,127122352.2,40.4,23780864.31,127122339.2,39.5,23780873.58,98872959.79,35.3,23780874.51,98872954.81,32.4,,,
  R01, 2025-01-26 03:57:00.000,23757516.21,126997536.6,41.4,23757514.91,126997523.6,39.7,23757524.41,98775880.95,36.4,23757524.92,98775875.94,33.9,,,
  R01, 2025-01-26 03:57:30.000,23734193.31,126872863.1,41,23734192.09,126872850.1,39.5,23734202.67,98678912.68,37,23734202.38,98678907.68,35.3,,,
  R01, 2025-01-26 03:58:00.000,23710898.06,126748335.3,40.1,23710896.55,126748322.3,38.8,23710906.16,98582057.78,35.8,23710906.77,98582052.78,33.8,,,
  R01, 2025-01-26 03:58:30.000,23687630.45,126623957.4,41.6,23687629.25,126623944.4,40.2,23687640.04,98485319.38,37.2,23687639.22,98485314.36,35.3,,,
  R01, 2025-01-26 03:59:00.000,23664391.38,126499732.7,40.6,23664390.48,126499719.7,38.8,23664399.69,98388700.2,36.7,23664400.27,98388695.2,35.2,,,
  R01, 2025-01-26 03:59:30.000,23641182.57,126375665.6,41.5,23641181.71,126375652.6,40.5,23641190.17,98292203.59,36.4,23641191.1,98292198.6,34.7,,,
  R01, 2025-01-26 04:00:00.000,23618003.31,126251759.1,40.1,23618001.98,126251746.1,39.3,23618010.94,98195831.88,35.5,23618011.73,98195826.89,33.8,,,
  R01, 2025-01-26 04:00:30.000,23594854.49,126128017.4,41.3,23594853.54,126128004.4,39.4,23594863.75,98099588.37,37.8,23594863.45,98099583.38,35.6,,,
  R01, 2025-01-26 04:01:00.000,23571737.6,126004444.6,40.7,23571736.32,126004431.6,39.7,23571745.72,98003476.28,37.8,23571746.58,98003471.29,35.7,,,
  R01, 2025-01-26 04:01:30.000,23548653.34,125881044.8,40.8,23548651.9,125881031.8,40.1,23548661.41,97907498.69,37.5,23548662.13,97907493.67,35.8,,,
  R01, 2025-01-26 04:02:00.000,23525601.41,125757821.6,41.4,23525600.26,125757808.6,40.4,23525609.38,97811658.43,37.1,23525610.53,97811653.43,35.5,,,
  R01, 2025-01-26 04:02:30.000,23502583.81,125634778.7,40.9,23502582.37,125634765.7,39.9,23502592.31,97715958.37,36.8,23502592.91,97715953.38,35.3,,,
  R01, 2025-01-26 04:03:00.000,23479600.47,125511919.8,40.7,23479598.75,125511906.9,39.7,23479609.19,97620401.56,37.1,23479610.11,97620396.54,35.2,,,
  R01, 2025-01-26 04:03:30.000,23456652.44,125389249.1,40.7,23456651.22,125389236.1,39.4,23456660.04,97524990.98,38.1,23456660.95,97524985.96,35.1,,,
  R01, 2025-01-26 04:04:00.000,23433739.84,125266770.3,40.9,23433738.6,125266757.3,39.4,23433748.61,97429729.77,37.8,23433749.16,97429724.75,35.3,,,
  R01, 2025-01-26 04:04:30.000,23410864.46,125144487.8,40.5,23410863.37,125144474.8,39.6,23410872.64,97334621.18,38.7,23410873.42,97334616.18,36,,,
  R01, 2025-01-26 04:05:00.000,23388026.66,125022404.9,40.4,23388024.93,125022391.9,38.9,23388034.8,97239667.87,37.4,23388034.98,97239662.86,35.4,,,
  R01, 2025-01-26 04:05:30.000,23365226.4,124900525.4,40.4,23365225.33,124900512.4,39.7,23365234.5,97144872.76,37.1,23365235.31,97144867.76,35.9,,,
  R01, 2025-01-26 04:06:00.000,23342465.09,124778853.8,41.1,23342463.7,124778840.9,39.9,23342473.23,97050239.39,37.3,23342474.1,97050234.37,36.2,,,
  R01, 2025-01-26 04:06:30.000,23319743.36,124657393.5,40.8,23319742.32,124657380.5,39.2,23319752.22,96955770.28,37.4,23319752.32,96955765.26,36.1,,,
  R01, 2025-01-26 04:07:00.000,23297061.56,124536148.7,40.7,23297060.95,124536135.8,39.4,23297069.7,96861468.92,38.3,23297070.99,96861463.9,35.9,,,
  R01, 2025-01-26 04:07:30.000,23274421.66,124415123.4,41.4,23274420.9,124415110.4,39.4,23274430.22,96767338.16,37.4,23274430.43,96767333.15,35.9,,,
  R01, 2025-01-26 04:08:00.000,23251822.66,124294321.6,41.3,23251822.38,124294308.6,39.9,23251832.13,96673381.29,38.3,23251831.79,96673376.28,35.9,,,
  R01, 2025-01-26 04:08:30.000,23229267.03,124173747,41.4,23229266.21,124173734,40.1,23229275.11,96579601.1,38.3,23229275.66,96579596.1,35.8,,,
  R01, 2025-01-26 04:09:00.000,23206754.52,124053404,41.1,23206753.36,124053391,39.4,23206762.52,96486001.13,38.7,23206763.21,96485996.13,36.6,,,
  R01, 2025-01-26 04:09:30.000,23184285.83,123933296.6,40.1,23184284.54,123933283.6,38.9,23184294.27,96392584.32,38.4,23184294.69,96392579.34,35.9,,,
  R01, 2025-01-26 04:10:00.000,23161862.31,123813428,42.8,23161861.04,123813415,40.6,23161869.63,96299353.27,38.1,23161870.34,96299348.27,36,,,
  R01, 2025-01-26 04:10:30.000,23139483.6,123693802.6,40.4,23139481.41,123693789.6,39.1,23139491.42,96206311.4,38.6,23139492.09,96206306.38,36.2,,,
  R01, 2025-01-26 04:11:00.000,23117150.88,123574424.8,40.9,23117150.28,123574411.8,39.9,23117158.82,96113462.03,38.7,23117160.14,96113457.05,36.3,,,
  R01, 2025-01-26 04:11:30.000,23094865.68,123455297.9,42.1,23094865.12,123455284.9,40.2,23094874.36,96020807.84,38.8,23094874.83,96020802.84,35.9,,,
  R01, 2025-01-26 04:12:00.000,23072628.73,123336426.3,41.3,23072627.84,123336413.3,40.2,23072636.3,95928352.22,37.9,23072636.98,95928347.23,35.9,,,
  R01, 2025-01-26 04:12:30.000,23050440.07,123217814.3,40.4,23050438.59,123217801.4,39.2,23050447.96,95836098.58,38.7,23050448.42,95836093.57,36.8,,,
  R01, 2025-01-26 04:13:00.000,23028300.46,123099466,42.3,23028299.81,123099453,40.9,23028308.54,95744049.9,39,23028308.86,95744044.88,36.5,,,
  R01, 2025-01-26 04:13:30.000,23006210.73,122981384.9,42,23006209.49,122981371.9,40.5,23006219.13,95652209.16,39,23006219.07,95652204.15,37.5,,,
  R01, 2025-01-26 04:14:00.000,22984171.93,122863575.5,42.1,22984171.19,122863562.5,40.8,22984179.97,95560579.67,38.6,22984180.09,95560574.68,37,,,
  R01, 2025-01-26 04:14:30.000,22962184.22,122746041.5,41.2,22962183.52,122746028.5,39.7,22962193,95469164.5,39,22962192.84,95469159.5,37,,,
  R01, 2025-01-26 04:15:00.000,22940249.56,122628786.8,42,22940248.75,122628773.8,40.3,22940258.1,95377966.43,38.9,22940258.31,95377961.44,36.9,,,
  R01, 2025-01-26 04:15:30.000,22918367.58,122511815.6,41.7,22918366.49,122511802.6,40.7,22918375.89,95286988.98,38.8,22918376.31,95286984,36.4,,,
  R01, 2025-01-26 04:16:00.000,22896539.38,122395132.3,41.8,22896538.51,122395119.3,40.7,22896547.24,95196235.37,38.6,22896547.81,95196230.38,37,,,
  R01, 2025-01-26 04:16:30.000,22874766.09,122278740.3,41.2,22874764.7,122278727.4,39.5,22874774.65,95105708.41,39.1,22874774.2,95105703.4,36.2,,,
  R01, 2025-01-26 04:17:00.000,22853047.73,122162644.1,40.9,22853046.35,122162631.1,39.8,22853054.83,95015411.38,38.8,22853055.87,95015406.35,36.3,,,
  R01, 2025-01-26 04:17:30.000,22831385.6,122046847.7,40.6,22831384.36,122046834.7,39.9,22831393.57,94925347.62,38.6,22831393.95,94925342.64,37.3,,,
  R01, 2025-01-26 04:18:00.000,22809780.49,121931355.3,41.8,22809779.06,121931342.3,40.4,22809787.77,94835520.33,38.7,22809788.66,94835515.31,36.8,,,
  R01, 2025-01-26 04:18:30.000,22788232.56,121816171.2,40.2,22788231.26,121816158.2,39.3,22788240.52,94745932.74,38.9,22788241.23,94745927.74,37.1,,,
  R01, 2025-01-26 04:19:00.000,22766743.63,121701299.6,41.7,22766742.31,121701286.6,40.3,22766751.45,94656588.27,37.7,22766751.42,94656583.29,37,,,
  R01, 2025-01-26 04:19:30.000,22745313.25,121586744.4,40.6,22745312.24,121586731.4,40.3,22745321.44,94567489.86,38.5,22745321.9,94567484.85,37.1,,,
  R01, 2025-01-26 04:20:00.000,22723943.48,121472509,40.5,22723941.54,121472496,39,22723951.45,94478640.24,39.4,22723951.77,94478635.24,37.6,,,
  R01, 2025-01-26 04:20:30.000,22702633.84,121358597.9,41.8,22702632.82,121358584.9,40,22702641.25,94390042.81,38.7,22702642.11,94390037.82,36.9,,,
  R01, 2025-01-26 04:21:00.000,22681385.84,121245014.9,41,22681384.77,121245001.9,40.5,22681393.09,94301700.53,39.3,22681394.12,94301695.52,37,,,
  R01, 2025-01-26 04:21:30.000,22660199.97,121131764.5,40.1,22660198.99,121131751.5,39.7,22660207.18,94213616.92,38.3,22660207.84,94213611.95,36.7,,,
  R01, 2025-01-26 04:22:00.000,22639076.45,121018850.3,41.7,22639074.91,121018837.3,39.8,22639084.97,94125794.94,39.2,22639084.94,94125789.96,37.3,,,
  R01, 2025-01-26 04:22:30.000,22618017.77,120906277.3,41,22618016.67,120906264.3,39.4,22618025.17,94038238.21,39,22618026.16,94038233.18,37.4,,,
  R01, 2025-01-26 04:23:00.000,22597022.91,120794049.1,41.6,22597021.61,120794036.1,39.6,22597030,93950949.61,38.1,22597031.01,93950944.61,36.8,,,
  R01, 2025-01-26 04:23:30.000,22576093.45,120682169.6,40.2,22576092.2,120682156.6,39.5,22576101.09,93863932.32,38.9,22576101.7,93863927.32,37.3,,,
  R01, 2025-01-26 04:24:00.000,22555230.2,120570643.3,41.8,22555229.34,120570630.3,40.2,22555238.12,93777189.69,38.9,22555238.21,93777184.67,36.8,,,
  R01, 2025-01-26 04:24:30.000,22534433.73,120459474.1,41.5,22534432.61,120459461.1,39.7,22534442.07,93690724.84,38.7,22534441.97,93690719.86,37.1,,,
  R01, 2025-01-26 04:25:00.000,22513705.05,120348666,42.4,22513704.13,120348653,40.6,22513711.89,93604540.85,39.1,22513712.71,93604535.85,37.2,,,
  R01, 2025-01-26 04:25:30.000,22493043.88,120238223.1,41.3,22493042.94,120238210.2,40.1,22493051.83,93518640.97,39.4,22493051.7,93518635.97,37.2,,,
  R01, 2025-01-26 04:26:00.000,22472452.84,120128150.1,41.1,22472451.15,120128137.1,40.5,22472460.53,93433028.69,40,22472460.75,93433023.68,37.9,,,
  R01, 2025-01-26 04:26:30.000,22451931.02,120018450.4,40.5,22451929.41,120018437.4,40,22451938.59,93347706.78,39.9,22451938.73,93347701.79,37.5,,,
  R01, 2025-01-26 04:27:00.000,22431479.49,119909128,41.4,22431478.34,119909115.1,40.8,22431486.79,93262678.38,39.4,22431488.02,93262673.38,37.5,,,
  R01, 2025-01-26 04:27:30.000,22411099.45,119800187.9,40.7,22411098.92,119800174.9,40.1,22411107.25,93177947.21,39.3,22411108.55,93177942.21,37.2,,,
  R01, 2025-01-26 04:28:00.000,22390792.65,119691633.4,41.3,22390791.53,119691620.3,41,22390800.65,93093515.95,38.7,22390800.99,93093510.96,36.8,,,
  R01, 2025-01-26 04:28:30.000,22370558.53,119583469.8,41.1,22370557.64,119583456.8,40.4,22370566.08,93009388.81,39.7,22370566.29,93009383.81,37.7,,,
  R01, 2025-01-26 04:29:00.000,22350397.92,119475700.2,41.8,22350396.36,119475687.2,40.2,22350405.63,92925568.11,39.7,22350405.97,92925563.12,37.7,,,
  R01, 2025-01-26 04:29:30.000,22330311.52,119368328.6,42.3,22330310.85,119368315.6,40.9,22330319.37,92842056.91,39.2,22330319.68,92842051.92,37.8,,,
  R01, 2025-01-26 04:30:00.000,22310301.16,119261358.9,41.1,22310299.68,119261345.9,40,22310308.65,92758858.36,39.7,22310308.83,92758853.38,36.8,,,
  R01, 2025-01-26 04:30:30.000,22290365.5,119154795.5,40.6,22290364.71,119154782.5,39.9,22290372.68,92675975.79,40,22290373.83,92675970.78,37.8,,,
