> PRN,time,C1C,L1C,S1C,C1P,L1P,S1P,C2C,L2C,S2C,C2P,L2P,S2P,C3X,L3X,S3X
  R01, 2025-01-21 00:00:00.000,21149734.62,113057470.4,45.6,21149733.33,113057700.4,43.6,21149737.69,87933603.75,39.8,21149738.04,87933604.76,37.9,,,
  R01, 2025-01-21 00:00:30.000,21139115.92,113000706.8,44.9,21139114.75,113000936.8,43.9,21139119.05,87889454.28,40.3,21139119.98,87889455.27,38.6,,,
  R01, 2025-01-21 00:01:00.000,21128504.41,112943982.2,45.7,21128503.53,112944212.2,43.9,21128507.64,87845335.16,40,21128508.16,87845336.14,38.5,,,
  R01, 2025-01-21 00:01:30.000,21117900.07,112887298,45.8,21117898.87,112887528,43.8,21117903.91,87801247.43,39.8,21117904.04,87801248.47,38,,,
  R01, 2025-01-21 00:02:00.000,21107304.13,112830655,45.4,21107302.71,112830885,43.6,21107307.09,87757191.77,40,21107307.72,87757192.77,38,,,
  R01, 2025-01-21 00:02:30.000,21096715.41,112774054.8,44.4,21096714.51,112774284.8,43.7,21096718.52,87713169.44,40.1,21096719.6,87713170.45,38.2,,,
  R01, 2025-01-21 00:03:00.000,21086135.95,112717499.3,45.6,21086135.17,112717729.3,44.1,21086139.03,87669181.8,40.3,21086139.93,87669182.78,38.7,,,
  R01, 2025-01-21 00:03:30.000,21075564.05,112660987.4,45.4,21075563.24,112661217.4,43.7,21075566.95,87625228.13,40.6,21075567.87,87625229.12,38.4,,,
  R01, 2025-01-21 00:04:00.000,21065001.02,112604521.8,45.5,21064999.68,112604751.8,44,21065004.41,87581310.43,39.7,21065004.73,87581311.43,38.4,,,
  R01, 2025-01-21 00:04:30.000,21054447.02,112548104,45.2,21054445.82,112548334,43.6,21054450.02,87537429.96,40.4,21054450.52,87537430.94,38.4,,,
  R01, 2025-01-21 00:05:00.000,21043902.21,112491735.4,45.1,21043900.91,112491965.4,43.9,21043905.47,87493587.67,40.6,21043905.93,87493588.68,38.9,,,
  R01, 2025-01-21 00:05:30.000,21033366.66,112435416.9,45.5,21033365.36,112435646.9,43.9,21033369.6,87449784.48,40,21033370.06,87449785.49,38.1,,,
  R01, 2025-01-21 00:06:00.000,21022840.55,112379149.9,45.1,21022839.36,112379379.9,44.2,21022843.34,87406021.2,39.8,21022843.99,87406022.21,38,,,
  R01, 2025-01-21 00:06:30.000,21012324.71,112322935.5,44.8,21012323.24,112323165.5,43.9,21012327.84,87362298.91,39.7,21012327.91,87362299.93,38.1,,,
  R01, 2025-01-21 00:07:00.000,21001818.53,112266775.4,44.5,21001818,112267005.4,44,21001822.12,87318618.82,40.6,21001822.09,87318619.81,38.7,,,
  R01, 2025-01-21 00:07:30.000,20991322.96,112210670.7,45.3,20991321.68,112210900.7,44.4,20991326.37,87274981.86,40.4,20991326.68,87274982.89,38.9,,,
  R01, 2025-01-21 00:08:00.000,20980838.18,112154623,45.1,20980836.88,112154853,44.7,20980841.57,87231389.23,40.8,20980841.88,87231390.26,38.3,,,
  R01, 2025-01-21 00:08:30.000,20970364.09,112098633.6,45.9,20970363.32,112098863.6,44.5,20970367.6,87187841.92,40.1,20970367.82,87187842.92,38.7,,,
  R01, 2025-01-21 00:09:00.000,20959901.02,112042703.8,44.9,20959900.46,112042933.8,44.1,20959904.52,87144341.01,40.6,20959905.08,87144342.01,38.6,,,
  R01, 2025-01-21 00:09:30.000,20949449.96,111986835.2,45,20949448.68,111987065.2,44.4,20949453.7,87100887.63,39.5,20949453.53,87100888.66,38.7,,,
  R01, 2025-01-21 00:10:00.000,20939010.2,111931029.1,45.4,20939009.03,111931259.1,44,20939013.14,87057482.92,39.5,20939013.87,87057483.92,38.1,,,
  R01, 2025-01-21 00:10:30.000,20928582.47,111875286.7,46.1,20928581.51,111875516.7,44.4,20928585.63,87014127.7,39.4,20928586.32,87014128.69,37.4,,,
  R01, 2025-01-21 00:11:00.000,20918167.08,111819609.8,45.7,20918166.06,111819839.8,43.9,20918169.91,86970823.46,38.1,20918170.4,86970824.45,37.9,,,
  R01, 2025-01-21 00:11:30.000,20907764.02,111763999.7,45.7,20907762.96,111764229.7,44.5,20907767.38,86927571.18,39.8,20907767.77,86927572.18,38.1,,,
  R01, 2025-01-21 00:12:00.000,20897373.53,111708457.7,46,20897372.81,111708687.7,44.5,20897376.92,86884371.87,39.5,20897377.06,86884372.88,37.3,,,
  R01, 2025-01-21 00:12:30.000,20886996.52,111652985.7,46,20886995.37,111653215.7,44.1,20886999.77,86841226.98,39.5,20887000.11,86841227.99,38.7,,,
  R01, 2025-01-21 00:13:00.000,20876632.56,111597585.2,45.6,20876631.29,111597815.2,44.2,20876636.63,86798137.73,40.6,20876636.32,86798138.75,38.9,,,
  R01, 2025-01-21 00:13:30.000,20866282.15,111542257.6,46.1,20866281,111542487.6,44,20866285.91,86755105.18,40.3,20866286.4,86755106.2,38.6,,,
  R01, 2025-01-21 00:14:00.000,20855945.92,111487004.3,46.1,20855945.11,111487234.3,44.6,20855949.48,86712130.38,40.9,20855949.55,86712131.38,38.2,,,
  R01, 2025-01-21 00:14:30.000,20845624.16,111431827,45.8,20845622.81,111432057,44.4,20845626.59,86669214.7,40.5,20845627.79,86669215.71,38.6,,,
  R01, 2025-01-21 00:15:00.000,20835316.84,111376727.1,45.7,20835315.14,111376957.1,44.6,20835319.71,86626359.26,41,20835320.03,86626360.23,38.9,,,
  R01, 2025-01-21 00:15:30.000,20825023.67,111321706,46.3,20825022.81,111321936,45,20825026.43,86583565.12,40.5,20825027.25,86583566.11,38.9,,,
  R01, 2025-01-21 00:16:00.000,20814745.77,111266765.7,45.5,20814745.01,111266995.8,44,20814749.09,86540833.8,40.4,20814749.63,86540834.79,38.1,,,
  R01, 2025-01-21 00:16:30.000,20804483.26,111211907.6,45.8,20804482.59,111212137.6,44.3,20804486.8,86498166.36,41.2,20804487.23,86498167.37,39,,,
  R01, 2025-01-21 00:17:00.000,20794236.68,111157133.2,46.8,20794235.57,111157363.2,45,20794239.79,86455564.04,41.1,20794240.36,86455565.05,39.4,,,
  R01, 2025-01-21 00:17:30.000,20784006.3,111102444.7,46,20784005.17,111102674.7,44.1,20784009.71,86413028.55,40.7,20784009.98,86413029.56,39.7,,,
  R01, 2025-01-21 00:18:00.000,20773791.6,111047843.3,45.6,20773791.16,111048073.3,44.8,20773794.3,86370560.83,40,20773795.59,86370561.83,38.8,,,
  R01, 2025-01-21 00:18:30.000,20763594.22,110993330.5,45.5,20763593.15,110993560.5,44.4,20763597.45,86328162.01,41.1,20763598.05,86328163.03,39.1,,,
  R01, 2025-01-21 00:19:00.000,20753413.61,110938908.5,46.2,20753412,110939138.5,44.5,20753416.73,86285833.79,40.4,20753417.24,86285834.79,39.4,,,
  R01, 2025-01-21 00:19:30.000,20743249.81,110884578.8,45.8,20743249.04,110884808.8,44.7,20743252.76,86243577.36,41.3,20743253.62,86243578.35,39,,,
