> PRN,time,C1C,L1C,S1C,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
S22, 2025-01-17 00:00:00.000,   39561095.125,  207895100.530,         33.800,,,,,,,,,
S22, 2025-01-17 00:00:30.000,   39561543.641,  207897440.204,         33.400,,,,,,,,,
S22, 2025-01-17 00:01:00.000,   39561985.969,  207899779.285,         33.500,,,,,,,,,
S22, 2025-01-17 00:01:30.000,   39562429.828,  207902101.721,         33.700,,,,,,,,,
S22, 2025-01-17 00:02:00.000,   39562873.281,  207904447.141,         33.500,,,,,,,,,
S22, 2025-01-17 00:02:30.000,   39563314.609,  207906765.097,         33.200,,,,,,,,,
S22, 2025-01-17 00:03:00.000,   39563756.453,  207909099.580,         33.300,,,,,,,,,
S22, 2025-01-17 00:03:30.000,   39564195.625,  207911416.396,         34.600,,,,,,,,,
S22, 2025-01-17 00:04:00.000,   39564642.609,  207913730.727,         32.300,,,,,,,,,
S22, 2025-01-17 00:04:30.000,   39565078.125,  207916056.333,         32.900,,,,,,,,,
S22, 2025-01-17 00:05:00.000,   39565518.016,  207918354.462,         32.500,,,,,,,,,
S22, 2025-01-17 00:05:30.000,   39565957.250,  207920676.089,         32.600,,,,,,,,,
S22, 2025-01-17 00:06:00.000,   39566396.250,  207922974.786,         33.200,,,,,,,,,
S22, 2025-01-17 00:06:30.000,   39566834.594,  207925268.998,         33.700,,,,,,,,,
S22, 2025-01-17 00:07:00.000,   39567273.203,  207927580.551,         33.400,,,,,,,,,
S22, 2025-01-17 00:07:30.000,   39567707.406,  207929857.469,         33.600,,,,,,,,,
S22, 2025-01-17 00:08:00.000,   39568149.891,  207932161.423,         33.100,,,,,,,,,
S22, 2025-01-17 00:08:30.000,   39568582.359,  207934443.499,         32.900,,,,,,,,,
S22, 2025-01-17 00:09:00.000,   39569019.078,  207936731.466,         32.500,,,,,,,,,
S22, 2025-01-17 00:09:30.000,   39569449.156,  207939023.796,         33.000,,,,,,,,,
S22, 2025-01-17 00:10:00.000,   39569881.906,  207941291.088,         33.400,,,,,,,,,
S22, 2025-01-17 00:10:30.000,   39570320.750,  207943582.443,         32.300,,,,,,,,,
S22, 2025-01-17 00:11:00.000,   39570749.859,  207945852.524,         33.200,,,,,,,,,
S22, 2025-01-17 00:11:30.000,   39571185.844,  207948130.763,         32.400,,,,,,,,,
S22, 2025-01-17 00:12:00.000,   39571614.703,  207950404.244,         33.900,,,,,,,,,
S22, 2025-01-17 00:13:00.000,   39572480.375,  207954936.347,         32.600,,,,,,,,,
S22, 2025-01-17 00:13:30.000,   39572906.125,  207957182.564,         33.100,,,,,,,,,
S22, 2025-01-17 00:14:00.000,   39573338.703,  207959450.401,         33.600,,,,,,,,,
S22, 2025-01-17 00:14:30.000,   39573764.500,  207961700.421,         33.100,,,,,,,,,
S22, 2025-01-17 00:15:00.000,   39574191.203,  207963950.970,         34.300,,,,,,,,,
S22, 2025-01-17 00:15:30.000,   39574618.422,  207966200.950,         34.400,,,,,,,,,
S22, 2025-01-17 00:16:00.000,   39575042.984,  207968433.759,         33.700,,,,,,,,,
S22, 2025-01-17 00:16:30.000,   39575472.188,  207970689.436,         32.500,,,,,,,,,
S22, 2025-01-17 00:17:00.000,   39575894.984,  207972912.247,         32.500,,,,,,,,,
S22, 2025-01-17 00:17:30.000,   39576325.391,  207975161.548,         32.600,,,,,,,,,
S22, 2025-01-17 00:18:00.000,   39576744.297,  207977387.901,         33.500,,,,,,,,,
S22, 2025-01-17 00:18:30.000,   39577172.641,  207979617.682,         34.400,,,,,,,,,
S22, 2025-01-17 00:19:00.000,   39577594.266,  207981844.856,         34.200,,,,,,,,,
S22, 2025-01-17 00:19:30.000,   39578020.875,  207984061.872,         33.100,,,,,,,,,
S22, 2025-01-17 00:20:00.000,   39578435.859,  207986286.363,         33.300,,,,,,,,,
S22, 2025-01-17 00:20:30.000,   39578859.406,  207988485.434,         33.700,,,,,,,,,
S22, 2025-01-17 00:21:00.000,   39579279.969,  207990715.796,         34.200,,,,,,,,,
S22, 2025-01-17 00:21:30.000,   39579699.016,  207992909.341,         34.700,,,,,,,,,
S22, 2025-01-17 00:22:00.000,   39580123.281,  207995123.183,         35.000,,,,,,,,,
S22, 2025-01-17 00:22:30.000,   39580539.125,  207997313.887,         32.500,,,,,,,,,
S22, 2025-01-17 00:23:00.000,   39580955.344,  207999512.875,         33.000,,,,,,,,,
S22, 2025-01-17 00:23:30.000,   39581375.406,  208001700.867,         32.500,,,,,,,,,
S22, 2025-01-17 00:24:00.000,   39581792.766,  208003890.792,         32.800,,,,,,,,,
S22, 2025-01-17 00:24:30.000,   39582204.313,  208006076.708,         33.100,,,,,,,,,
S22, 2025-01-17 00:25:00.000,   39582621.875,  208008251.212,         32.500,,,,,,,,,
S22, 2025-01-17 00:25:30.000,   39583038.109,  208010441.281,         33.900,,,,,,,,,
S22, 2025-01-17 00:26:00.000,   39583451.781,  208012607.364,         33.600,,,,,,,,,
S22, 2025-01-17 00:26:30.000,   39583866.094,  208014801.777,         32.800,,,,,,,,,
S22, 2025-01-17 00:27:00.000,   39584277.422,  208016960.824,         32.800,,,,,,,,,
S22, 2025-01-17 00:27:30.000,   39584687.953,  208019145.393,         33.000,,,,,,,,,
S22, 2025-01-17 00:28:00.000,   39585103.469,  208021295.806,         34.800,,,,,,,,,
S22, 2025-01-17 00:28:30.000,   39585512.844,  208023469.758,         33.700,,,,,,,,,
S22, 2025-01-17 00:29:00.000,   39585921.266,  208025615.853,         32.600,,,,,,,,,
S22, 2025-01-17 00:29:30.000,   39586333.313,  208027787.833,         33.600,,,,,,,,,
S22, 2025-01-17 00:30:00.000,   39586742.875,  208029932.019,         34.800,,,,,,,,,
S22, 2025-01-17 00:30:30.000,   39587149.281,  208032087.782,         33.900,,,,,,,,,
