> PRN,time,C1C,L1C,S1C,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
S22, 2025-01-20 00:00:00.000,   39571858.906,  207951749.950,         32.800,,,,,,,,,
S22, 2025-01-20 00:00:30.000,   39572287.188,  207954026.649,         33.200,,,,,,,,,
S22, 2025-01-20 00:01:00.000,   39572719.625,  207956282.331,         33.200,,,,,,,,,
S22, 2025-01-20 00:01:30.000,   39573150.797,  207958553.948,         33.200,,,,,,,,,
S22, 2025-01-20 00:02:00.000,   39573578.625,  207960806.055,         32.600,,,,,,,,,
S22, 2025-01-20 00:02:30.000,   39574008.297,  207963066.701,         33.400,,,,,,,,,
S22, 2025-01-20 00:03:00.000,   39574436.859,  207965316.205,         33.700,,,,,,,,,
S22, 2025-01-20 00:03:30.000,   39574863.125,  207967562.328,         32.500,,,,,,,,,
S22, 2025-01-20 00:04:00.000,   39575293.938,  207969816.457,         34.200,,,,,,,,,
S22, 2025-01-20 00:04:30.000,   39575719.875,  207972050.034,         34.300,,,,,,,,,
S22, 2025-01-20 00:05:00.000,   39576144.141,  207974305.480,         34.500,,,,,,,,,
S22, 2025-01-20 00:05:30.000,   39576569.625,  207976528.559,         32.300,,,,,,,,,
S22, 2025-01-20 00:06:00.000,   39576996.344,  207978771.736,         32.300,,,,,,,,,
S22, 2025-01-20 00:06:30.000,   39577421.688,  207980997.068,         33.900,,,,,,,,,
S22, 2025-01-20 00:07:00.000,   39577841.125,  207983218.801,         34.100,,,,,,,,,
S22, 2025-01-20 00:07:30.000,   39578268.063,  207985451.436,         33.300,,,,,,,,,
S22, 2025-01-20 00:08:00.000,   39578686.359,  207987659.393,         33.400,,,,,,,,,
S22, 2025-01-20 00:08:30.000,   39579107.875,  207989886.633,         32.500,,,,,,,,,
S22, 2025-01-20 00:09:00.000,   39579533.172,  207992093.942,         33.200,,,,,,,,,
S22, 2025-01-20 00:09:30.000,   39579951.047,  207994310.968,         33.200,,,,,,,,,
S22, 2025-01-20 00:10:00.000,   39580371.984,  207996511.709,         33.700,,,,,,,,,
S22, 2025-01-20 00:10:30.000,   39580790.422,  207998708.678,         32.800,,,,,,,,,
S22, 2025-01-20 00:11:00.000,   39581206.281,  208000909.589,         33.700,,,,,,,,,
S22, 2025-01-20 00:11:30.000,   39581625.672,  208003095.321,         33.400,,,,,,,,,
S22, 2025-01-20 00:12:00.000,   39582043.500,  208005033.404,         32.400,,,,,,,,,
S22, 2025-01-20 00:12:30.000,   39582458.063,  208007210.346,         32.500,,,,,,,,,
S22, 2025-01-20 00:13:00.000,   39582873.734,  208009410.000,         33.100,,,,,,,,,
S22, 2025-01-20 00:13:30.000,   39583289.219,  208011584.214,         34.300,,,,,,,,,
S22, 2025-01-20 00:14:00.000,   39583705.953,  208013763.414,         33.600,,,,,,,,,
S22, 2025-01-20 00:14:30.000,   39584119.953,  208015939.612,         33.500,,,,,,,,,
S22, 2025-01-20 00:15:00.000,   39584531.250,  208018106.729,         33.300,,,,,,,,,
S22, 2025-01-20 00:15:30.000,   39584942.406,  208020286.891,         33.400,,,,,,,,,
S22, 2025-01-20 00:16:00.000,   39585353.859,  208022441.556,         32.800,,,,,,,,,
S22, 2025-01-20 00:16:30.000,   39585763.641,  208024613.710,         33.300,,,,,,,,,
S22, 2025-01-20 00:17:00.000,   39586175.016,  208026762.103,         33.100,,,,,,,,,
S22, 2025-01-20 00:17:30.000,   39586583.375,  208028920.384,         34.800,,,,,,,,,
S22, 2025-01-20 00:18:00.000,   39586993.344,  208031069.834,         33.700,,,,,,,,,
S22, 2025-01-20 00:18:30.000,   39587402.609,  208033212.900,         33.500,,,,,,,,,
S22, 2025-01-20 00:19:00.000,   39587806.750,  208035367.080,         32.600,,,,,,,,,
S22, 2025-01-20 00:19:30.000,   39588213.703,  208037499.265,         34.100,,,,,,,,,
S22, 2025-01-20 00:20:00.000,   39588620.453,  208039650.239,         33.000,,,,,,,,,
S22, 2025-01-20 00:20:30.000,   39589025.703,  208041777.680,         33.100,,,,,,,,,
S22, 2025-01-20 00:21:00.000,   39589430.406,  208043920.164,         33.600,,,,,,,,,
S22, 2025-01-20 00:21:30.000,   39589834.703,  208046034.510,         33.100,,,,,,,,,
S22, 2025-01-20 00:22:00.000,   39590239.922,  208048150.045,         33.200,,,,,,,,,
S22, 2025-01-20 00:22:30.000,   39590643.578,  208050278.381,         34.100,,,,,,,,,
S22, 2025-01-20 00:23:00.000,   39591049.031,  208052381.702,         33.800,,,,,,,,,
S22, 2025-01-20 00:23:30.000,   39591448.281,  208054501.470,         33.900,,,,,,,,,
S22, 2025-01-20 00:24:00.000,   39591851.750,  208056598.142,         33.700,,,,,,,,,
S22, 2025-01-20 00:24:30.000,   39592249.234,  208058709.562,         33.600,,,,,,,,,
S22, 2025-01-20 00:25:00.000,   39592649.406,  208060803.567,         32.900,,,,,,,,,
S22, 2025-01-20 00:25:30.000,   39593044.953,  208062901.660,         33.300,,,,,,,,,
S22, 2025-01-20 00:26:00.000,   39593446.969,  208064993.654,         33.700,,,,,,,,,
