> PRN,time,C1C,L1C,S1C,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
S22, 2025-01-22 00:00:00.000,   39579265.531,  207990681.121,         33.700,,,,,,,,,
S22, 2025-01-22 00:00:30.000,   39579687.938,  207992918.928,         34.800,,,,,,,,,
S22, 2025-01-22 00:01:00.000,   39580114.828,  207995138.068,         34.300,,,,,,,,,
S22, 2025-01-22 00:01:30.000,   39580534.203,  207997352.775,         33.700,,,,,,,,,
S22, 2025-01-22 00:02:00.000,   39580955.359,  207999579.099,         32.900,,,,,,,,,
S22, 2025-01-22 00:02:30.000,   39581376.297,  208001785.483,         33.000,,,,,,,,,
S22, 2025-01-22 00:03:00.000,   39581795.750,  208004000.072,         32.900,,,,,,,,,
S22, 2025-01-22 00:03:30.000,   39582216.359,  208006198.091,         33.400,,,,,,,,,
S22, 2025-01-22 00:04:00.000,   39582634.734,  208008407.272,         32.900,,,,,,,,,
S22, 2025-01-22 00:04:30.000,   39583055.625,  208010610.452,         33.200,,,,,,,,,
S22, 2025-01-22 00:05:00.000,   39583473.828,  208012800.602,         33.600,,,,,,,,,
S22, 2025-01-22 00:05:30.000,   39583889.672,  208015004.034,         33.100,,,,,,,,,
S22, 2025-01-22 00:06:00.000,   39584308.531,  208017183.089,         33.000,,,,,,,,,
S22, 2025-01-22 00:06:30.000,   39584722.063,  208019375.036,         32.800,,,,,,,,,
S22, 2025-01-22 00:07:00.000,   39585141.516,  208021561.021,         33.500,,,,,,,,,
S22, 2025-01-22 00:07:30.000,   39585553.406,  208023732.312,         33.100,,,,,,,,,
S22, 2025-01-22 00:08:00.000,   39585968.938,  208025916.954,         33.500,,,,,,,,,
S22, 2025-01-22 00:08:30.000,   39586382.563,  208028083.472,         34.500,,,,,,,,,
S22, 2025-01-22 00:09:00.000,   39586792.406,  208030263.580,         34.200,,,,,,,,,
S22, 2025-01-22 00:09:30.000,   39587203.453,  208032427.628,         33.500,,,,,,,,,
S22, 2025-01-22 00:10:00.000,   39587615.203,  208034592.096,         33.800,,,,,,,,,
S22, 2025-01-22 00:10:30.000,   39588023.672,  208036757.710,         33.900,,,,,,,,,
S22, 2025-01-22 00:11:00.000,   39588433.734,  208038904.593,         33.100,,,,,,,,,
S22, 2025-01-22 00:11:30.000,   39588844.109,  208041068.040,         33.600,,,,,,,,,
S22, 2025-01-22 00:12:00.000,   39589249.672,  208043210.289,         33.900,,,,,,,,,
S22, 2025-01-22 00:12:30.000,   39589656.672,  208045358.012,         32.800,,,,,,,,,
S22, 2025-01-22 00:13:00.000,   39590064.422,  208047501.593,         33.700,,,,,,,,,
S22, 2025-01-22 00:13:30.000,   39590470.703,  208049632.583,         33.300,,,,,,,,,
S22, 2025-01-22 00:14:00.000,   39590878.938,  208051776.015,         33.600,,,,,,,,,
S22, 2025-01-22 00:14:30.000,   39591288.438,  208053894.921,         33.900,,,,,,,,,
S22, 2025-01-22 00:15:00.000,   39591689.859,  208056033.756,         33.500,,,,,,,,,
S22, 2025-01-22 00:15:30.000,   39592094.172,  208058149.038,         33.400,,,,,,,,,
S22, 2025-01-22 00:16:00.000,   39592494.922,  208060267.103,         33.700,,,,,,,,,
S22, 2025-01-22 00:16:30.000,   39592897.734,  208062389.317,         33.700,,,,,,,,,
S22, 2025-01-22 00:17:00.000,   39593302.953,  208064487.836,         33.500,,,,,,,,,
S22, 2025-01-22 00:17:30.000,   39593705.484,  208066607.446,         33.700,,,,,,,,,
S22, 2025-01-22 00:18:00.000,   39594106.125,  208068703.831,         33.800,,,,,,,,,
S22, 2025-01-22 00:18:30.000,   39594501.406,  208070805.549,         33.500,,,,,,,,,
S22, 2025-01-22 00:19:00.000,   39594899.484,  208072901.847,         34.300,,,,,,,,,
S22, 2025-01-22 00:19:30.000,   39595298.984,  208074986.458,         33.800,,,,,,,,,
S22, 2025-01-22 00:20:00.000,   39595694.719,  208077089.282,         33.200,,,,,,,,,
S22, 2025-01-22 00:20:30.000,   39596092.516,  208079164.830,         33.900,,,,,,,,,
S22, 2025-01-22 00:21:00.000,   39596485.234,  208081254.531,         33.500,,,,,,,,,
S22, 2025-01-22 00:21:30.000,   39596880.391,  208083330.782,         33.500,,,,,,,,,
S22, 2025-01-22 00:22:00.000,   39597275.609,  208085396.754,         34.200,,,,,,,,,
S22, 2025-01-22 00:22:30.000,   39597670.766,  208087472.388,         34.800,,,,,,,,,
S22, 2025-01-22 00:23:00.000,   39598065.281,  208089527.307,         33.500,,,,,,,,,
S22, 2025-01-22 00:23:30.000,   39598455.156,  208091598.047,         33.200,,,,,,,,,
S22, 2025-01-22 00:24:00.000,   39598845.078,  208093650.194,         32.600,,,,,,,,,
S22, 2025-01-22 00:24:30.000,   39599234.328,  208095707.907,         32.900,,,,,,,,,
S22, 2025-01-22 00:25:00.000,   39599626.453,  208097762.837,         32.500,,,,,,,,,
S22, 2025-01-22 00:25:30.000,   39600012.938,  208099796.339,         32.600,,,,,,,,,
S22, 2025-01-22 00:26:00.000,   39600400.500,  208101850.071,         32.800,,,,,,,,,
S22, 2025-01-22 00:26:30.000,   39600789.344,  208103880.328,         32.200,,,,,,,,,
S22, 2025-01-22 00:27:00.000,   39601173.109,  208105574.604,         32.900,,,,,,,,,
S22, 2025-01-22 00:27:30.000,   39601560.234,  208107609.011,         32.900,,,,,,,,,
S22, 2025-01-22 00:28:00.000,   39601949.688,  208109624.638,         32.900,,,,,,,,,
S22, 2025-01-22 00:28:30.000,   39602333.328,  208111654.933,         33.100,,,,,,,,,
S22, 2025-01-22 00:29:00.000,   39602713.531,  208113659.396,         32.800,,,,,,,,,
S22, 2025-01-22 00:29:30.000,   39603098.406,  208115683.951,         33.300,,,,,,,,,
S22, 2025-01-22 00:30:00.000,   39603481.016,  208117696.052,         32.800,,,,,,,,,
S22, 2025-01-22 00:30:30.000,   39603860.234,  208119697.482,         33.300,,,,,,,,,
S22, 2025-01-22 00:31:00.000,   39604240.375,  208121705.869,         32.600,,,,,,,,,
S22, 2025-01-22 00:31:30.000,   39604625.672,  208123689.658,         32.500,,,,,,,,,
S22, 2025-01-22 00:32:00.000,   39605002.078,  208125696.502,         33.300,,,,,,,,,
S22, 2025-01-22 00:32:30.000,   39605380.984,  208127683.175,         33.200,,,,,,,,,
S22, 2025-01-22 00:33:00.000,   39605758.484,  208129667.492,         33.000,,,,,,,,,
S22, 2025-01-22 00:33:30.000,   39606133.578,  208131655.235,         33.000,,,,,,,,,
S22, 2025-01-22 00:34:00.000,   39606511.203,  208133623.328,         33.800,,,,,,,,,
S22, 2025-01-22 00:34:30.000,   39606884.438,  208135608.918,         33.500,,,,,,,,,
S22, 2025-01-22 00:35:00.000,   39607261.469,  208137571.113,         32.900,,,,,,,,,
S22, 2025-01-22 00:35:30.000,   39607633.484,  208139543.019,         33.500,,,,,,,,,
S22, 2025-01-22 00:36:00.000,   39608007.609,  208141503.000,         32.900,,,,,,,,,
S22, 2025-01-22 00:36:30.000,   39608379.313,  208143454.260,         34.100,,,,,,,,,
S22, 2025-01-22 00:37:00.000,   39608749.297,  208145418.643,         33.400,,,,,,,,,
S22, 2025-01-22 00:37:30.000,   39609121.500,  208147364.720,         33.100,,,,,,,,,
S22, 2025-01-22 00:38:00.000,   39609489.125,  208149310.009,         32.600,,,,,,,,,
S22, 2025-01-22 00:38:30.000,   39609858.047,  208151254.709,         32.800,,,,,,,,,
S22, 2025-01-22 00:39:00.000,   39610229.563,  208153184.011,         33.900,,,,,,,,,
S22, 2025-01-22 00:39:30.000,   39610591.172,  208155124.769,         32.300,,,,,,,,,
S22, 2025-01-22 00:40:00.000,   39610958.844,  208157046.462,         33.600,,,,,,,,,
S22, 2025-01-22 00:40:30.000,   39611325.891,  208158972.641,         32.200,,,,,,,,,
S22, 2025-01-22 00:41:00.000,   39611687.391,  208160890.982,         32.800,,,,,,,,,
S22, 2025-01-22 00:41:30.000,   39612053.328,  208162800.074,         32.400,,,,,,,,,
S22, 2025-01-22 00:42:00.000,   39612416.828,  208164721.311,         32.300,,,,,,,,,
S22, 2025-01-22 00:42:30.000,   39612780.563,  208166616.493,         32.800,,,,,,,,,
S22, 2025-01-22 00:43:00.000,   39613141.234,  208168525.993,         32.500,,,,,,,,,
S22, 2025-01-22 00:43:30.000,   39613502.500,  208170427.391,         32.900,,,,,,,,,
S22, 2025-01-22 00:44:00.000,   39613866.250,  208172316.505,         33.200,,,,,,,,,
S22, 2025-01-22 00:44:30.000,   39614225.156,  208174219.786,         32.900,,,,,,,,,
S22, 2025-01-22 00:45:00.000,   39614581.422,  208176093.377,         33.200,,,,,,,,,
S22, 2025-01-22 00:45:30.000,   39614943.422,  208177979.378,         33.200,,,,,,,,,
S22, 2025-01-22 00:46:00.000,   39615300.859,  208179858.323,         33.700,,,,,,,,,
S22, 2025-01-22 00:46:30.000,   39615653.734,  208181725.422,         33.500,,,,,,,,,
S22, 2025-01-22 00:47:00.000,   39616006.031,  208183599.633,         32.600,,,,,,,,,
S22, 2025-01-22 00:47:30.000,   39616361.531,  208185450.846,         32.900,,,,,,,,,
S22, 2025-01-22 00:48:00.000,   39616713.141,  208187322.759,         33.500,,,,,,,,,
S22, 2025-01-22 00:48:30.000,   39617065.609,  208189171.516,         33.300,,,,,,,,,
S22, 2025-01-22 00:49:00.000,   39617416.594,  208191023.154,         32.300,,,,,,,,,
S22, 2025-01-22 00:49:30.000,   39617769.625,  208192876.743,         33.600,,,,,,,,,
S22, 2025-01-22 00:50:00.000,   39618117.016,  208194707.318,         33.200,,,,,,,,,
S22, 2025-01-22 00:50:30.000,   39618467.047,  208196557.337,         33.300,,,,,,,,,
S22, 2025-01-22 00:51:00.000,   39618818.984,  208198383.749,         33.500,,,,,,,,,
