> PRN,time,C1C,L1C,S1C,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
S22, 2025-01-28 00:00:00.000,   39600512.266,  208102097.757,         32.800,,,,,,,,,
S22, 2025-01-28 00:00:30.000,   39600903.391,  208104142.978,         32.900,,,,,,,,,
S22, 2025-01-28 00:01:00.000,   39601285.547,  208106167.543,         33.000,,,,,,,,,
S22, 2025-01-28 00:01:30.000,   39601674.266,  208108208.846,         33.200,,,,,,,,,
S22, 2025-01-28 00:02:00.000,   39602058.953,  208110223.938,         31.800,,,,,,,,,
S22, 2025-01-28 00:02:30.000,   39602442.078,  208112251.673,         32.400,,,,,,,,,
S22, 2025-01-28 00:03:00.000,   39602829.359,  208114261.019,         32.800,,,,,,,,,
S22, 2025-01-28 00:03:30.000,   39603211.125,  208116280.303,         33.500,,,,,,,,,
S22, 2025-01-28 00:04:00.000,   39603598.016,  208118278.229,         32.400,,,,,,,,,
S22, 2025-01-28 00:04:30.000,   39603977.625,  208120288.878,         32.200,,,,,,,,,
S22, 2025-01-28 00:05:00.000,   39604358.141,  208122290.963,         33.000,,,,,,,,,
S22, 2025-01-28 00:05:30.000,   39604741.359,  208124283.232,         33.400,,,,,,,,,
S22, 2025-01-28 00:06:00.000,   39605119.516,  208126274.703,         33.100,,,,,,,,,
S22, 2025-01-28 00:06:30.000,   39605496.328,  208128267.463,         32.400,,,,,,,,,
S22, 2025-01-28 00:07:00.000,   39605876.688,  208130263.115,         32.300,,,,,,,,,
S22, 2025-01-28 00:07:30.000,   39606251.875,  208132238.328,         33.000,,,,,,,,,
S22, 2025-01-28 00:08:00.000,   39606628.000,  208134229.169,         33.700,,,,,,,,,
S22, 2025-01-28 00:08:30.000,   39607001.328,  208136198.631,         33.700,,,,,,,,,
S22, 2025-01-28 00:09:00.000,   39607377.672,  208138181.410,         32.500,,,,,,,,,
S22, 2025-01-28 00:09:30.000,   39607752.344,  208140142.173,         33.600,,,,,,,,,
S22, 2025-01-28 00:10:00.000,   39608128.234,  208142116.734,         32.500,,,,,,,,,
S22, 2025-01-28 00:10:30.000,   39608497.328,  208144060.530,         32.900,,,,,,,,,
S22, 2025-01-28 00:11:00.000,   39608870.547,  208146028.239,         33.600,,,,,,,,,
S22, 2025-01-28 00:11:30.000,   39609239.266,  208147965.128,         33.300,,,,,,,,,
S22, 2025-01-28 00:12:00.000,   39609612.719,  208149920.572,         32.000,,,,,,,,,
S22, 2025-01-28 00:12:30.000,   39609983.469,  208151854.907,         32.800,,,,,,,,,
S22, 2025-01-28 00:13:00.000,   39610349.875,  208153802.790,         33.700,,,,,,,,,
S22, 2025-01-28 00:13:30.000,   39610718.094,  208155728.481,         32.400,,,,,,,,,
S22, 2025-01-28 00:14:00.000,   39611083.703,  208157658.487,         32.400,,,,,,,,,
