> PRN,time,C1C,L1C,S1C,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
S22, 2025-01-30 00:00:00.000,   39606715.406,  208134755.073,         33.100,,,,,,,,,
S22, 2025-01-30 00:00:30.000,   39607087.094,  208136722.743,         32.900,,,,,,,,,
S22, 2025-01-30 00:01:00.000,   39607460.500,  208138670.651,         32.000,,,,,,,,,
S22, 2025-01-30 00:01:30.000,   39607833.109,  208140643.340,         32.500,,,,,,,,,
S22, 2025-01-30 00:02:00.000,   39608203.328,  208142572.103,         32.600,,,,,,,,,
S22, 2025-01-30 00:02:30.000,   39608573.797,  208144540.226,         33.300,,,,,,,,,
S22, 2025-01-30 00:04:00.000,   39609677.063,  208150333.520,         32.400,,,,,,,,,
S22, 2025-01-30 00:04:30.000,   39610050.906,  208152238.407,         32.400,,,,,,,,,
S22, 2025-01-30 00:05:00.000,   39610415.875,  208154187.567,         32.200,,,,,,,,,
S22, 2025-01-30 00:05:30.000,   39610780.500,  208156087.153,         32.600,,,,,,,,,
S22, 2025-01-30 00:06:30.000,   39611507.328,  208159930.559,         32.500,,,,,,,,,
S22, 2025-01-30 00:07:00.000,   39611873.109,  208161860.760,         32.300,,,,,,,,,
S22, 2025-01-30 00:07:30.000,   39612230.234,  208163757.208,         32.200,,,,,,,,,
S22, 2025-01-30 00:08:00.000,   39612595.844,  208165662.842,         32.300,,,,,,,,,
S22, 2025-01-30 00:08:30.000,   39612953.766,  208167556.272,         33.600,,,,,,,,,
S22, 2025-01-30 00:10:30.000,   39614391.656,  208175109.878,         32.200,,,,,,,,,
S22, 2025-01-30 00:11:00.000,   39614750.875,  208176966.649,         32.000,,,,,,,,,
S22, 2025-01-30 00:11:30.000,   39615105.016,  208178864.400,         32.300,,,,,,,,,
S22, 2025-01-30 00:12:00.000,   39615462.328,  208180709.375,         32.800,,,,,,,,,
S22, 2025-01-30 00:12:30.000,   39615820.063,  208182595.197,         32.300,,,,,,,,,
S22, 2025-01-30 00:13:00.000,   39616172.703,  208184461.834,         33.100,,,,,,,,,
S22, 2025-01-30 00:13:30.000,   39616523.094,  208186297.585,         33.200,,,,,,,,,
S22, 2025-01-30 00:14:00.000,   39616878.469,  208188171.324,         33.600,,,,,,,,,
S22, 2025-01-30 00:14:30.000,   39617228.438,  208189992.930,         32.400,,,,,,,,,
S22, 2025-01-30 00:15:00.000,   39617579.078,  208191857.936,         34.000,,,,,,,,,
S22, 2025-01-30 00:15:30.000,   39617924.406,  208193678.610,         32.300,,,,,,,,,
S22, 2025-01-30 00:16:00.000,   39618280.141,  208195535.152,         33.000,,,,,,,,,
S22, 2025-01-30 00:16:30.000,   39618623.609,  208197344.261,         34.200,,,,,,,,,
S22, 2025-01-30 00:17:00.000,   39618971.938,  208199177.563,         32.900,,,,,,,,,
S22, 2025-01-30 00:17:30.000,   39619312.453,  208200987.256,         32.800,,,,,,,,,
