> PRN,time,C1C,L1C,S1C,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X,Unnamed: 14,Unnamed: 15,Unnamed: 16
S22, 2025-01-02 00:00:00.000,40372913.92,212161270.8,32.3,,,,,,,,,,,,
S22, 2025-01-02 00:00:30.000,40373410.05,212163872.9,31.6,,,,,,,,,,,,
S22, 2025-01-02 00:01:00.000,40373903.8,212166472,32.4,,,,,,,,,,,,
S22, 2025-01-02 00:02:00.000,40374889.23,212171663,31.8,,,,,,,,,,,,
S22, 2025-01-02 00:02:30.000,40375386.5,212174252.1,32.5,,,,,,,,,,,,
S22, 2025-01-02 00:03:00.000,40375877.86,212176848.5,32,,,,,,,,,,,,
S22, 2025-01-02 00:03:30.000,40376378.88,212179441.7,32.5,,,,,,,,,,,,
S22, 2025-01-02 00:04:00.000,40376866.38,212182028.8,31.8,,,,,,,,,,,,
S22, 2025-01-02 00:04:30.000,40377356.55,212184616.7,32.5,,,,,,,,,,,,
S22, 2025-01-02 00:05:00.000,40377846.64,212187196.9,32,,,,,,,,,,,,
S22, 2025-01-02 00:05:30.000,40378341.98,212189777.8,32.4,,,,,,,,,,,,
S22, 2025-01-02 00:06:00.000,40378830.17,212192363.7,32.3,,,,,,,,,,,,
S22, 2025-01-02 00:06:30.000,40379324.5,212194949.7,33.1,,,,,,,,,,,,
S22, 2025-01-02 00:07:00.000,40379815.67,212197537.3,32.2,,,,,,,,,,,,
S22, 2025-01-02 00:07:30.000,40380304.97,212200120.7,32.5,,,,,,,,,,,,
S22, 2025-01-02 00:08:00.000,40380793.59,212202698.9,32.4,,,,,,,,,,,,
S22, 2025-01-02 00:08:30.000,40381281.13,212205277.9,32.4,,,,,,,,,,,,
S22, 2025-01-02 00:09:00.000,40381768.06,212207855.6,32.4,,,,,,,,,,,,
S22, 2025-01-02 00:09:30.000,40382259.83,212210430.8,32,,,,,,,,,,,,
S22, 2025-01-02 00:10:00.000,40382751.61,212213006.9,31.8,,,,,,,,,,,,
S22, 2025-01-02 00:10:30.000,40383239.42,212215575.7,32.4,,,,,,,,,,,,
S22, 2025-01-02 00:11:00.000,40383729.31,212218162.3,31.8,,,,,,,,,,,,
S22, 2025-01-02 00:11:30.000,40384213.86,212220719.2,32.3,,,,,,,,,,,,
S22, 2025-01-02 00:12:00.000,40384701.81,212223274.6,31.9,,,,,,,,,,,,
S22, 2025-01-02 00:12:30.000,40385192.39,212225583.5,32.6,,,,,,,,,,,,
S22, 2025-01-02 00:13:30.000,40386166.5,212230726.3,32.5,,,,,,,,,,,,
S22, 2025-01-02 00:14:00.000,40386656.39,212233278.9,32.3,,,,,,,,,,,,
S22, 2025-01-02 00:14:30.000,40387142.75,212235825.8,32.8,,,,,,,,,,,,
S22, 2025-01-02 00:15:00.000,40387631.45,212238374.7,33.1,,,,,,,,,,,,
S22, 2025-01-02 00:15:30.000,40388119.8,212240927,32.3,,,,,,,,,,,,
S22, 2025-01-02 00:16:00.000,40388601.03,212243480.6,33,,,,,,,,,,,,
S22, 2025-01-02 00:16:30.000,40389089.75,212246033,33.1,,,,,,,,,,,,
S22, 2025-01-02 00:17:00.000,40389569.45,212248580.6,32.2,,,,,,,,,,,,
S22, 2025-01-02 00:18:00.000,40390538.64,212253671.4,31.5,,,,,,,,,,,,
S22, 2025-01-02 00:18:30.000,40391020.78,212256213.6,31.9,,,,,,,,,,,,
S22, 2025-01-02 00:19:00.000,40391503.91,212258752.4,32.4,,,,,,,,,,,,
S22, 2025-01-02 00:19:30.000,40391983.33,212261294.2,33.3,,,,,,,,,,,,
S22, 2025-01-02 00:20:00.000,40392465.58,212263833.4,32.6,,,,,,,,,,,,
S22, 2025-01-02 00:20:30.000,40392947.27,212266363.3,32.5,,,,,,,,,,,,
S22, 2025-01-02 00:21:00.000,40393431.55,212268889.9,31.9,,,,,,,,,,,,
S22, 2025-01-02 00:21:30.000,40393908.52,212271421.6,31.8,,,,,,,,,,,,
S22, 2025-01-02 00:22:00.000,40394392.5,212273946.6,31.9,,,,,,,,,,,,
S22, 2025-01-02 00:22:30.000,40394870.33,212276464.8,32.4,,,,,,,,,,,,
S22, 2025-01-02 00:23:00.000,40395355.72,212278986.2,32.6,,,,,,,,,,,,
S22, 2025-01-02 00:23:30.000,40395834.13,212281504,32.3,,,,,,,,,,,,
S22, 2025-01-02 00:24:00.000,40396312.52,212284025.9,32.4,,,,,,,,,,,,
S22, 2025-01-02 00:24:30.000,40396791.25,212286544.8,32.3,,,,,,,,,,,,
S22, 2025-01-02 00:25:00.000,40397267.55,212289064.8,32.2,,,,,,,,,,,,
S22, 2025-01-02 00:25:30.000,40397746.45,212291581.1,31.9,,,,,,,,,,,,
S22, 2025-01-02 00:26:30.000,40398700.73,212296607.6,31.9,,,,,,,,,,,,
S22, 2025-01-02 00:27:00.000,40399177.72,212299117,31.9,,,,,,,,,,,,
S22, 2025-01-02 00:27:30.000,40399656.83,212301615.8,32,,,,,,,,,,,,
S22, 2025-01-02 00:28:00.000,40400137.94,212304114.3,32.5,,,,,,,,,,,,
S22, 2025-01-02 00:28:30.000,40400609.97,212306612,32.3,,,,,,,,,,,,
S22, 2025-01-02 00:29:00.000,40401090.91,212309102.2,32.3,,,,,,,,,,,,
S22, 2025-01-02 00:29:30.000,40401563.84,212311592,32.8,,,,,,,,,,,,
S22, 2025-01-02 00:30:00.000,40402035.42,212314088,32.5,,,,,,,,,,,,
S22, 2025-01-02 00:30:30.000,40402515.08,212316577,31.8,,,,,,,,,,,,
S22, 2025-01-02 00:31:00.000,40402987.67,212319069,32.8,,,,,,,,,,,,
S22, 2025-01-02 00:31:30.000,40403456.63,212321556.6,32.5,,,,,,,,,,,,
S22, 2025-01-02 00:32:00.000,40403934.05,212324038.5,32.9,,,,,,,,,,,,
S22, 2025-01-02 00:32:30.000,40404408.11,212326523.9,32.8,,,,,,,,,,,,
S22, 2025-01-02 00:33:00.000,40404881.56,212329000.3,31.9,,,,,,,,,,,,
S22, 2025-01-02 00:33:30.000,40405352.55,212331476.8,32.6,,,,,,,,,,,,
S22, 2025-01-02 00:34:00.000,40405821.77,212333975.1,32.6,,,,,,,,,,,,
S22, 2025-01-02 00:34:30.000,40406295.25,212336448.8,32.2,,,,,,,,,,,,
S22, 2025-01-02 00:35:00.000,40406765.63,212338925.8,33.2,,,,,,,,,,,,
S22, 2025-01-02 00:35:30.000,40407237.55,212341401.2,34,,,,,,,,,,,,
