> PRN,time,C1X,L1X,S1X,C5X,L5X,S5X,C7X,L7X,S7X,C8X,L8X,S8X,C6X,L6X,S6X
  E02, 2025-01-10 01:18:00.000,28672256.62,150673724.9,36.7,28672259.48,112516101.8,39.7,28672258.11,115451302.1,39.8,28672260.56,113983709.2,43.9,28672252.52,122300083.9,37
  E02, 2025-01-10 01:18:30.000,28656341.61,150590089.8,37.7,28656344.38,112453646.8,40,28656342.71,115387217.9,41.1,28656345.45,113920439.6,44.4,28656337.23,122232198.1,37.1
  E02, 2025-01-10 01:19:00.000,28640396.7,150506298.6,37.4,28640399.78,112391075.4,39.1,28640398.01,115323014.1,40.3,28640400.14,113857052,43.6,28640392.72,122164185.7,38.4
  E02, 2025-01-10 01:19:30.000,28624422.58,150422353,37.6,28624425.28,112328388.6,39.2,28624423.65,115258692,40.2,28624425.96,113793547.6,44.1,28624418.88,122096047.9,39.8
  E02, 2025-01-10 01:20:00.000,28608419.43,150338254.3,37.9,28608421.92,112265587.4,39.7,28608421.16,115194252.6,42.3,28608422.99,113729927.3,45.3,28608414.77,122027785.9,38.8
  E02, 2025-01-10 01:20:30.000,28592386.6,150254004.2,39.1,28592389.58,112202673.2,40.1,28592388.73,115129697.2,44.2,28592390.86,113666192.5,45.8,28592382.77,121959401,40.6
  E02, 2025-01-10 01:21:00.000,28576326.56,150169604.1,39.5,28576329.32,112139647.1,41.2,28576328.17,115065026.9,43.2,28576330.16,113602344.3,46.5,28576322.5,121890894.3,39.9
  E02, 2025-01-10 01:21:30.000,28560237.24,150085055.5,38.3,28560240.38,112076510,41.2,28560238.5,115000242.7,41.6,28560240.95,113538383.7,45.1,28560233.37,121822267.1,37.9
  E02, 2025-01-10 01:22:00.000,28544120.24,150000360,38.3,28544123.49,112013263.3,40.9,28544121.75,114935346.1,41,28544123.89,113474312,45.3,28544116.38,121753520.6,39.7
  E02, 2025-01-10 01:22:30.000,28527975.72,149915519.1,39.7,28527978.77,111949907.9,41.5,28527977.31,114870338,42.3,28527979.58,113410130.2,45.6,28527971.57,121684656.2,40
  E02, 2025-01-10 01:23:00.000,28511803.88,149830534.1,39.3,28511806.73,111886444.9,41.2,28511805.36,114805219.4,42.9,28511807.58,113345839.5,45.9,28511799.87,121615674.7,40.6
  E02, 2025-01-10 01:23:30.000,28495604.88,149745406.8,36.2,28495607.72,111822875.6,41.1,28495606.25,114739991.9,42.8,28495608.48,113281441,45.6,28495600.7,121546577.8,39.6
  E02, 2025-01-10 01:24:00.000,28479379.1,149660138.3,37.6,28479382.07,111759201,41.2,28479380.44,114674656.2,42.1,28479382.43,113216935.9,45.5,28479374.82,121477366.3,39
  E02, 2025-01-10 01:24:30.000,28463126.62,149574730.4,37.6,28463129.44,111695422.2,40.6,28463127.88,114609213.6,42.8,28463129.95,113152325.2,45.9,28463121.77,121408041.6,37.3
  E02, 2025-01-10 01:25:00.000,28446848.07,149489184.5,38.9,28446850.77,111631540.3,41,28446849.29,114543665.3,42.5,28446851.29,113087610.1,45.5,28446843.4,121338604.8,38.2
  E02, 2025-01-10 01:25:30.000,28430543.16,149403502.1,38.4,28430546.16,111567556.6,40.9,28430544.7,114478012.4,42.4,28430546.65,113022791.8,45.3,28430538.65,121269057.3,39.2
  E02, 2025-01-10 01:26:00.000,28414213.06,149317684.9,38.9,28414216.07,111503472.1,41.2,28414214.31,114412256.2,42.9,28414216.43,112957871.4,46,28414208.18,121199400.3,38.7
  E02, 2025-01-10 01:26:30.000,28397856.95,149231734.2,38.6,28397860.16,111439288,41.5,28397858.15,114346397.8,41.6,28397860.86,112892850.2,45.3,28397852.76,121129635.1,39
  E02, 2025-01-10 01:27:00.000,28381475.73,149145652,39,28381479.31,111375005.7,41.1,28381477.73,114280438.5,42.5,28381480.06,112827729.4,45.5,28381472.1,121059763,40
  E02, 2025-01-10 01:27:30.000,28365070.59,149059439.6,38.3,28365074.04,111310626.1,41.5,28365072.49,114214379.5,42.6,28365074.48,112762510.1,45.8,28365066.01,120989785.3,39.2
  E02, 2025-01-10 01:28:00.000,28348640.43,148973098.6,39.1,28348643.81,111246150.6,41.2,28348642.48,114148222,42.4,28348644.46,112697193.6,45.7,28348636.45,120919703.3,39.6
  E02, 2025-01-10 01:28:30.000,28332185.77,148886630.5,37.5,28332189.54,111181580.1,41.5,28332187.71,114081967.1,42,28332190.18,112631780.9,45.9,28332182.77,120849518,40.4
  E02, 2025-01-10 01:29:00.000,28315707.86,148800036.7,38.8,28315711.89,111116915.8,42.2,28315709.71,114015615.9,42.2,28315712.09,112566273.1,46.1,28315704.18,120779230.8,40.6
  E02, 2025-01-10 01:29:30.000,28299206.38,148713319,38.5,28299210.27,111052158.9,42.4,28299208.23,113949169.7,42.4,28299210.38,112500671.6,46.4,28299202.15,120708842.9,40
  E02, 2025-01-10 01:30:00.000,28282681.34,148626478.9,38.7,28282684.98,110987310.6,42.3,28282682.96,113882629.8,42.2,28282685.35,112434977.5,45.8,28282676.98,120638355.7,39.7
  E02, 2025-01-10 01:30:30.000,28266132.63,148539518,39,28266136.59,110922372.2,41.4,28266135.16,113815997.3,42.6,28266137.38,112369192,46.4,28266129.49,120567770.5,40.6
  E02, 2025-01-10 01:31:00.000,28249561.72,148452437.9,37.6,28249565.94,110857344.7,42.1,28249564.41,113749273.4,42.5,28249566.79,112303316.4,46.5,28249558.18,120497088.5,39.9
  E02, 2025-01-10 01:31:30.000,28232969.09,148365240.1,39.1,28232973.13,110792229.3,41.4,28232971.15,113682459.5,42.3,28232973.66,112237351.7,46.3,28232965.62,120426310.9,40.4
  E02, 2025-01-10 01:32:00.000,28216354.21,148277926.5,39.2,28216358.17,110727027.5,41.6,28216356.48,113615556.7,42.6,28216358.54,112171299.3,46,28216350.2,120355439.4,40.8
  E02, 2025-01-10 01:32:30.000,28199717.73,148190498.7,39.6,28199721.17,110661740.3,41.9,28199719.57,113548566.3,43.1,28199721.81,112105160.6,46.7,28199713.47,120284475.1,40.9
  E02, 2025-01-10 01:33:00.000,28183058.98,148102957.7,39,28183062.84,110596368.6,42.1,28183061.34,113481489.3,43.6,28183063.5,112038936.2,46.9,28183054.86,120213419,39.9
  E02, 2025-01-10 01:33:30.000,28166379.6,148015305.4,39.8,28166383.31,110530913.8,42.1,28166381.6,113414327,43.6,28166384.07,111972627.7,47.2,28166375.81,120142272.6,40.2
  E02, 2025-01-10 01:34:00.000,28149678.92,147927543.5,38.8,28149683.4,110465377.1,42.6,28149681.11,113347080.7,43.2,28149683.7,111906236.2,47,28149675.8,120071037.1,41
  E02, 2025-01-10 01:34:30.000,28132958.17,147839673.5,39.4,28132962.09,110399759.7,42.7,28132960.46,113279751.6,43.1,28132962.75,111839763,47,28132954.55,119999713.9,41.1
  E02, 2025-01-10 01:35:00.000,28116217.01,147751697.2,39.7,28116220.86,110334062.9,42.1,28116219.1,113212341,42.8,28116221.58,111773209.3,46.6,28116213.07,119928304.5,41.1
  E02, 2025-01-10 01:35:30.000,28099455.41,147663616,38.7,28099459.46,110268287.9,42,28099457.59,113144850.1,43.2,28099460.41,111706576.3,46.8,28099451.97,119856809.9,41.3
  E02, 2025-01-10 01:36:00.000,28082674.95,147575431.9,39.3,28082678.91,110202436,43,28082676.79,113077280.4,43.6,28082679.59,111639865.5,46.5,28082671,119785231.8,40.5
