> PRN,time,C1X,L1X,S1X,C5X,L5X,S5X,C7X,L7X,S7X,C8X,L8X,S8X,C6X,L6X,S6X
  E02, 2025-01-20 00:35:00.000,28750924.23,151087125.8,35.2,28750928.49,112824814.7,38.6,28750926.95,115768063.3,40,28750929.08,114296445.8,43.2,28750920.77,122635637.3,35.4
  E02, 2025-01-20 00:35:30.000,28735168.06,151004326.3,35.5,28735172.06,112762984,36.5,28735170.54,115704619.6,38.4,28735172.46,114233808.6,41.4,28735164.19,122568430,34.4
  E02, 2025-01-20 00:36:00.000,28719380.59,150921363.8,36.8,28719384.78,112701031.6,39.3,28719382.71,115641051.1,40.6,28719385.57,114171048.2,44,28719377.07,122501090.4,38.3
  E02, 2025-01-20 00:36:30.000,28703562.79,150838239.8,37.9,28703566.5,112638958.6,37.9,28703565.57,115577358.8,42,28703567.59,114108165.5,44,28703559.31,122433619.7,35.8
  E02, 2025-01-20 00:37:00.000,28687714.06,150754955.4,39.2,28687717.16,112576765.9,40.2,28687716.64,115513543.7,43.4,28687718.76,114045161.6,45.6,28687710.56,122366018.9,38.4
  E02, 2025-01-20 00:37:30.000,28671835.17,150671512.2,36,28671838.99,112514454.5,38.7,28671837.6,115449606.8,40,28671840.05,113982037.4,43.5,28671831.38,122298289,34.8
  E02, 2025-01-20 00:38:00.000,28655926.37,150587911.5,36.2,28655930.11,112452025.6,38.9,28655928.7,115385549.2,39.9,28655931.28,113918794.2,43,28655922.2,122230431.4,34.5
  E02, 2025-01-20 00:38:30.000,28639988.19,150504155,38.8,28639991.66,112389480.3,39.8,28639990.04,115321372.2,40.5,28639992.13,113855433,43.9,28639984.32,122162447.4,39.5
  E02, 2025-01-20 00:39:00.000,28624020.34,150420243.8,37.5,28624024.03,112326819.5,39,28624022.26,115257076.8,39.2,28624024.47,113791954.9,43.3,28624017.02,122094337.7,39
  E02, 2025-01-20 00:39:30.000,28608023.13,150336179.6,39.3,28608026.82,112264044.3,39.8,28608025.74,115192664,43.3,28608027.72,113728361,45,28608019.46,122026103.9,39.7
  E02, 2025-01-20 00:40:00.000,28591997.04,150251963.8,37,28592000.57,112201156,38.3,28591999.93,115128135.2,42.9,28592001.95,113664652.4,44.6,28591993.9,121957747,38.4
  E02, 2025-01-20 00:40:30.000,28575943.41,150167598.1,39.1,28575946.72,112138155.8,40,28575945.72,115063491.4,43.5,28575947.62,113600830.4,45.6,28575939.41,121889268.4,39.7
  E02, 2025-01-20 00:41:00.000,28559860.47,150083083.9,37.8,28559864,112075044.6,39.8,28559862.44,114998733.9,41.4,28559864.86,113536896,44.8,28559856.71,121820669.3,37.9
  E02, 2025-01-20 00:41:30.000,28543749.53,149998422.6,39.9,28543753.56,112011823.7,42.4,28543751.47,114933863.6,42.6,28543754.08,113472850.4,46,28543746.1,121751950.8,40.9
  E02, 2025-01-20 00:42:00.000,28527611.81,149913615.5,38.7,28527614.85,111948493.8,40.7,28527613.6,114868881.6,42.7,28527615.71,113408694.5,45.5,28527608.14,121683113.9,40.2
  E02, 2025-01-20 00:42:30.000,28511445.88,149828664.1,39.4,28511448.97,111885056.2,40.2,28511447.93,114803789.1,43,28511449.88,113344429.5,45.6,28511442.07,121614160,40.4
  E02, 2025-01-20 00:43:00.000,28495252.91,149743570.1,37.6,28495256.18,111821512.2,41.9,28495254.58,114738587.4,42.7,28495256.9,113280056.6,46.5,28495248.68,121545090.3,39.7
  E02, 2025-01-20 00:43:30.000,28479033.07,149658335.1,37.8,28479036.36,111757862.9,41.5,28479034.79,114673277.7,42.4,28479037.07,113215577,46,28479028.91,121475906.2,39.7
  E02, 2025-01-20 00:44:00.000,28462787.14,149572960.5,37.8,28462790.01,111694109.3,41.2,28462788.24,114607860.9,42.7,28462790.58,113150991.9,45.8,28462782.09,121406608.8,37.3
  E02, 2025-01-20 00:44:30.000,28446514.41,149487447.8,38.6,28446517.27,111630252.6,40.9,28446515.61,114542338.4,41.9,28446517.76,113086302.3,45.7,28446509.31,121337199.2,37.5
  E02, 2025-01-20 00:45:00.000,28430215.55,149401798.6,37,28430218.66,111566293.9,41,28430217.11,114476711.2,42.3,28430219.09,113021509.4,45.3,28430211.61,121267678.9,38.8
  E02, 2025-01-20 00:45:30.000,28413891.32,149316014.4,38.5,28413894.45,111502234.5,41,28413892.96,114410980.6,42.9,28413894.82,112956614.4,45.6,28413886.6,121198049,37.4
  E02, 2025-01-20 00:46:00.000,28397542.06,149230097,38.5,28397544.3,111438075.7,41.4,28397542.77,114345148.1,41.7,28397545.29,112891618.7,45.7,28397537.36,121128311.1,37.7
  E02, 2025-01-20 00:46:30.000,28381166.51,149144047.6,38,28381169.86,111373818.2,41.5,28381168.42,114279214.3,43,28381170.37,112826523.1,46.1,28381162.82,121058465.9,38.7
  E02, 2025-01-20 00:47:00.000,28364766.8,149057867.8,39.4,28364770.18,111309463.4,41.9,28364768.9,114213180.6,43.2,28364770.7,112761328.8,46.3,28364762.36,120988514.9,37.7
  E02, 2025-01-20 00:47:30.000,28348342.59,148971559.1,38.4,28348346.13,111245012.3,41.9,28348344.44,114147048.2,42.3,28348346.48,112696037,46,28348338.26,120918459.3,39
  E02, 2025-01-20 00:48:00.000,28331894.07,148885123.2,38.5,28331897.5,111180466.2,41.8,28331895.45,114080818.2,42.1,28331898.01,112630649,46.2,28331890.7,120848300.4,39.9
  E02, 2025-01-20 00:48:30.000,28315422.32,148798561.4,38.5,28315425.15,111115826.1,41.4,28315423.26,114014491.9,42.6,28315425.76,112565165.8,45.5,28315418.18,120778039.4,40.9
  E02, 2025-01-20 00:49:00.000,28298926.58,148711875.5,38.9,28298929.69,111051093.3,42.6,28298927.61,113948070.4,43.1,28298929.85,112499588.7,46.9,28298921.84,120707677.6,40.6
  E02, 2025-01-20 00:49:30.000,28282407.06,148625067.1,38.7,28282410.04,110986269.1,41.9,28282408.38,113881555.1,42.5,28282410.49,112433918.9,46.1,28282402.36,120637216.4,39.5
  E02, 2025-01-20 00:50:00.000,28265864.82,148538137.8,38.6,28265867.56,110921354.5,41.4,28265866.2,113814947.1,42.5,28265868.25,112368157.6,46.2,28265860.7,120566657,40.5
  E02, 2025-01-20 00:50:30.000,28249299.15,148451089.4,37.9,28249302.69,110856351,41.3,28249301.1,113748247.8,42.8,28249303.46,112302306.2,46.1,28249295.63,120496000.9,39.9
  E02, 2025-01-20 00:51:00.000,28232712.34,148363923.1,39.4,28232715.26,110791259.5,42.1,28232713.66,113681458.2,42.1,28232716.1,112236365.6,46.8,28232708.04,120425249.2,40.8
  E02, 2025-01-20 00:51:30.000,28216103.35,148276640.4,39.8,28216105.84,110726081,41.4,28216104.56,113614579.4,43,28216106.47,112170337,46.5,28216098.7,120354403,40.9
  E02, 2025-01-20 00:52:00.000,28199472.48,148189243.1,39.9,28199474.63,110660816.9,41.7,28199473.13,113547612.8,43.5,28199475.32,112104221.6,46.2,28199467.24,120283463.7,40.6
  E02, 2025-01-20 00:52:30.000,28182819.28,148101732.7,38.6,28182821.84,110595468.4,41.7,28182820.27,113480559.5,43,28182822.48,112038020.8,46.5,28182813.99,120212432.7,39.9
