> PRN,time,C1X,L1X,S1X,C5X,L5X,S5X,C7X,L7X,S7X,C8X,L8X,S8X,C6X,L6X,S6X
  E02, 2025-01-26 00:00:00.000,25140062.77,132111926.5,46.3,25140063.49,98655022.39,47.3,25140062.2,101228627.8,49.2,25140064.49,99941810.91,51.9,25140056.69,107233707.9,45.3
  E02, 2025-01-26 00:00:30.000,25130222.31,132060214.6,46.8,25130222.97,98616406.36,47.3,25130221.84,101189004.5,49.2,25130224.04,99902691.2,52.4,25130216.06,107191734,45.3
  E02, 2025-01-26 00:01:00.000,25120437.38,132008794.9,47,25120438.11,98578008.56,47.6,25120437.06,101149605,49.5,25120439.2,99863792.55,52.9,25120431.23,107149997.3,45.3
  E02, 2025-01-26 00:01:30.000,25110708.39,131957668.8,47.2,25110709.21,98539829.97,47.2,25110707.93,101110430.4,49.6,25110710.22,99825115.97,52.4,25110702.44,107108498.8,45.4
  E02, 2025-01-26 00:02:00.000,25101035.81,131906839,47.3,25101036.68,98501872.66,48.2,25101035.4,101071482.9,49.6,25101037.62,99786663.57,52.8,25101029.88,107067240.8,45.6
  E02, 2025-01-26 00:02:30.000,25091420.12,131856307.3,46.8,25091420.87,98464138,48.5,25091419.72,101032763.9,49.2,25091421.76,99748436.72,52.8,25091413.68,107026224.9,45.5
  E02, 2025-01-26 00:03:00.000,25081861.13,131806075.2,46.6,25081862,98426627,48.3,25081860.82,100994274.3,49.8,25081862.9,99710436.45,53.4,25081855.31,106985452.1,45.7
  E02, 2025-01-26 00:03:30.000,25072359.78,131756144.4,46.9,25072360.43,98389341,48.2,25072359.29,100956015.6,49.9,25072361.36,99672664.11,52.7,25072353.95,106944923.8,45.8
  E02, 2025-01-26 00:04:00.000,25062915.56,131706516.5,46.9,25062916.4,98352281.2,48,25062915.38,100917989.1,49.8,25062917.5,99635120.92,52.6,25062909.91,106904641.4,45.7
  E02, 2025-01-26 00:04:30.000,25053529.58,131657193,47.3,25053530.57,98315448.77,48.3,25053529.44,100880195.8,49.3,25053531.55,99597808.06,53,25053524.08,106864606.2,45.8
  E02, 2025-01-26 00:05:00.000,25044202.12,131608175.9,47,25044202.75,98278845.11,47.9,25044201.67,100842637.2,49.6,25044203.91,99560726.97,52.7,25044196.14,106824819.6,45.7
  E02, 2025-01-26 00:05:30.000,25034933.12,131559466.9,47.4,25034933.86,98242471.46,48.2,25034932.72,100805314.7,49.8,25034934.87,99523878.88,52.7,25034926.92,106785283,45.7
  E02, 2025-01-26 00:06:00.000,25025723.16,131511067.2,47,25025723.54,98206328.87,48.2,25025722.64,100768229.3,50.1,25025724.72,99487264.86,52.9,25025716.82,106745997.5,45.7
  E02, 2025-01-26 00:06:30.000,25016572.17,131462978.7,47.5,25016572.64,98170418.62,47.7,25016571.72,100731382.2,50.1,25016573.75,99450886.22,52.5,25016565.9,106706964.7,45.7
  E02, 2025-01-26 00:07:00.000,25007480.72,131415203,47.6,25007481.23,98134741.95,48.3,25007480.26,100694774.9,49.7,25007482.32,99414744.2,53.2,25007474.5,106668185.7,45.8
  E02, 2025-01-26 00:07:30.000,24998449.09,131367741.8,47.5,24998449.72,98099300.17,48,24998448.77,100658408.5,49.5,24998450.73,99378840.13,52.7,24998442.5,106629662,45.7
  E02, 2025-01-26 00:08:00.000,24989477.64,131320596.6,47.2,24989478.23,98064094.38,48,24989477.34,100622284.3,49.8,24989479.28,99343175.13,52.6,24989471.07,106591394.8,45.8
  E02, 2025-01-26 00:08:30.000,24980566.65,131273769.3,47.1,24980567.34,98029125.89,47.7,24980566.39,100586403.6,49.9,24980568.32,99307750.53,52.9,24980560.69,106553385.6,46
  E02, 2025-01-26 00:09:00.000,24971716.52,131227261.3,47,24971717.17,97994395.96,48.3,24971716.11,100550767.7,50.1,24971718.14,99272567.61,52.5,24971710.41,106515635.7,46
  E02, 2025-01-26 00:09:30.000,24962927.26,131181074.3,47.2,24962928.11,97959905.64,48.2,24962927.07,100515377.6,49.9,24962929.01,99237627.4,53.2,24962921.48,106478146.2,46.2
  E02, 2025-01-26 00:10:00.000,24954199.63,131135209.7,46.6,24954200.4,97925656.09,48.2,24954199.29,100480234.6,49.2,24954201.26,99202931.13,52.8,24954193.3,106440918.4,46
  E02, 2025-01-26 00:10:30.000,24945533.27,131089669,47.4,24945534.15,97891648.46,47.9,24945533.07,100445339.8,50.1,24945535.15,99168479.92,52.5,24945527.25,106403953.6,46
  E02, 2025-01-26 00:11:00.000,24936929.48,131044454.1,47.1,24936929.9,97857884.06,48.3,24936929.05,100410694.6,49.8,24936931.04,99134275.11,53.3,24936923.05,106367253.2,46
  E02, 2025-01-26 00:11:30.000,24928387.32,130999566.2,47.2,24928388.16,97824363.89,48,24928387.08,100376300,50.1,24928389.15,99100317.72,52.8,24928381.35,106330818.2,46
  E02, 2025-01-26 00:12:00.000,24919908.07,130955007,46.9,24919908.82,97791089.17,48.2,24919907.74,100342157.2,50.1,24919909.79,99066608.97,53.3,24919902.12,106294650,46.1
  E02, 2025-01-26 00:12:30.000,24911491.75,130910778,47.9,24911492.28,97758061.06,48.5,24911491.26,100308267.5,49.7,24911493.3,99033150.07,53.2,24911485.63,106258749.9,45.9
  E02, 2025-01-26 00:13:00.000,24903138.29,130866880.6,47.2,24903138.93,97725280.52,48.3,24903137.87,100274631.8,49.9,24903139.89,98999941.96,53.1,24903132.02,106223118.9,46
  E02, 2025-01-26 00:13:30.000,24894848.62,130823316.7,47.2,24894849.06,97692749.07,48.6,24894847.99,100241251.7,50.1,24894849.93,98966986.18,52.9,24894842.14,106187758.6,46
  E02, 2025-01-26 00:14:00.000,24886622.22,130780087.5,47.3,24886622.84,97660467.53,48.4,24886621.66,100208128,49.8,24886623.68,98934283.58,52.9,24886615.82,106152670,46
  E02, 2025-01-26 00:14:30.000,24878459.93,130737194.6,47.6,24878460.57,97628437.09,48.8,24878459.18,100175262,50.1,24878461.39,98901835.34,53.1,24878453.66,106117854.2,46.2
  E02, 2025-01-26 00:15:00.000,24870361.83,130694639.4,47.5,24870362.48,97596658.86,48.4,24870361.28,100142654.8,50.1,24870363.4,98869642.61,52.6,24870355.73,106083312.7,46.3
  E02, 2025-01-26 00:15:30.000,24862328.44,130652423.3,47.2,24862329.11,97565133.87,48.9,24862327.84,100110307.4,49.9,24862329.93,98837706.43,52.9,24862321.98,106049046.4,46.2
  E02, 2025-01-26 00:16:00.000,24854359.74,130610547.9,47.3,24854360.5,97533863.33,48.8,24854359.27,100078221.1,50.2,24854361.31,98806028.02,52.9,24854353.52,106015056.7,46.5
  E02, 2025-01-26 00:16:30.000,24846456.24,130569014.7,47.6,24846456.98,97502848.26,49,24846455.62,100046397,49.9,24846457.8,98774608.4,52.9,24846449.9,105981344.6,46.4
  E02, 2025-01-26 00:17:00.000,24838618.29,130527825.3,47.6,24838618.72,97472089.94,48.8,24838617.6,100014836.2,49.7,24838619.68,98743448.88,53.5,24838612.34,105947911.7,46.7
  E02, 2025-01-26 00:17:30.000,24830845.58,130486980.7,47.7,24830846.39,97441589.09,48.3,24830845.08,99983539.73,49.5,24830847.23,98712550.21,52.9,24830839.48,105914758.6,46.7
  E02, 2025-01-26 00:18:00.000,24823139.29,130446482.6,46.8,24823139.66,97411347.01,48.3,24823138.52,99952508.71,49.6,24823140.69,98681913.65,53.1,24823133.22,105881886.8,46.8
  E02, 2025-01-26 00:18:30.000,24815498.79,130406332.2,47.6,24815499.39,97381364.58,48.2,24815498.13,99921744.13,49.6,24815500.32,98651540.15,52.8,24815492.81,105849297.2,46.9
  E02, 2025-01-26 00:19:00.000,24807925.05,130366531.2,47.7,24807925.59,97351643.05,48.7,24807924.27,99891247.27,49.8,24807926.44,98621430.95,52.9,24807918.71,105816991.2,46.7
  E02, 2025-01-26 00:19:30.000,24800417.7,130327080.7,46.8,24800418.4,97322183.3,48.9,24800417.27,99861018.99,50.3,24800419.29,98591586.94,52.5,24800411.74,105784969.7,46.8
  E02, 2025-01-26 00:20:00.000,24792977.59,130287982.3,47.5,24792978.16,97292986.4,48,24792976.97,99831060.43,49.9,24792979.09,98562009.21,52.6,24792971.44,105753233.9,46.8
  E02, 2025-01-26 00:20:30.000,24785604.58,130249237,47.4,24785605.15,97264053.24,48.3,24785603.98,99801372.5,49.4,24785606.11,98532698.66,52.6,24785598.29,105721784.8,46.8
