> PRN,time,C1C,L1C,S1C,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
I02, 2025-01-23 00:00:00.000,   39294901.133,  154201925.293,         46.000,   39294897.684,  326639587.443,         37.300,,,,,,
I02, 2025-01-23 00:00:30.000,   39292503.797,  154192517.924,         45.800,   39292500.602,  326619660.201,         37.600,,,,,,
I02, 2025-01-23 00:01:00.000,   39290095.023,  154183066.363,         45.800,   39290092.129,  326599639.318,         37.700,,,,,,
I02, 2025-01-23 00:01:30.000,   39287675.484,  154173570.545,         45.100,   39287672.688,  326579524.742,         38.700,,,,,,
I02, 2025-01-23 00:02:00.000,   39285244.734,  154164030.633,         45.100,   39285241.992,  326559316.726,         39.400,,,,,,
I02, 2025-01-23 00:02:30.000,   39282802.289,  154154447.347,         43.400,   39282799.648,  326539016.862,         38.400,,,,,,
I02, 2025-01-23 00:03:00.000,   39280348.984,  154144820.230,         43.600,   39280346.297,  326518624.150,         38.100,,,,,,
I02, 2025-01-23 00:03:30.000,   39277885.039,  154135149.665,         45.000,   39277881.461,  326498139.411,         37.100,,,,,,
I02, 2025-01-23 00:04:00.000,   39275409.539,  154125436.228,         44.700,   39275405.711,  326477563.844,         37.000,,,,,,
I02, 2025-01-23 00:04:30.000,   39272923.547,  154115679.337,         44.700,   39272919.598,  326456896.202,         37.600,,,,,,
I02, 2025-01-23 00:05:00.000,   39270425.742,  154105878.937,         45.600,   39270422.438,  326436136.410,         37.800,,,,,,
I02, 2025-01-23 00:05:30.000,   39267916.844,  154096034.204,         43.900,   39267914.148,  326415282.746,         39.600,,,,,,
I02, 2025-01-23 00:06:00.000,   39265397.602,  154086146.720,         44.900,   39265394.699,  326394338.512,         38.900,,,,,,
I02, 2025-01-23 00:06:30.000,   39262866.953,  154076216.779,         45.300,   39262864.133,  326373304.356,         38.700,,,,,,
I02, 2025-01-23 00:07:00.000,   39260325.680,  154066244.199,         45.600,   39260322.605,  326352179.851,         37.400,,,,,,
I02, 2025-01-23 00:07:30.000,   39257774.008,  154056229.473,         44.900,   39257770.375,  326330966.067,         37.900,,,,,,
I02, 2025-01-23 00:08:00.000,   39255210.945,  154046172.359,         45.500,   39255207.141,  326309662.478,         37.400,,,,,,
I02, 2025-01-23 00:08:30.000,   39252637.063,  154036072.252,         44.700,   39252633.484,  326288267.853,         38.200,,,,,,
I02, 2025-01-23 00:09:00.000,   39250052.789,  154025930.227,         45.400,   39250049.535,  326266784.462,         38.300,,,,,,
I02, 2025-01-23 00:09:30.000,   39247457.258,  154015746.221,         45.900,   39247454.387,  326245212.124,         37.500,,,,,,
I02, 2025-01-23 00:10:00.000,   39244851.250,  154005519.620,         44.300,   39244848.219,  326223549.535,         36.900,,,,,,
I02, 2025-01-23 00:10:30.000,   39242234.367,  153995251.669,         44.900,   39242231.309,  326201799.334,         36.900,,,,,,
I02, 2025-01-23 00:11:00.000,   39239607.727,  153984941.851,         43.300,   39239604.246,  326179960.489,         36.800,,,,,,
I02, 2025-01-23 00:11:30.000,   39236969.984,  153974590.334,         45.600,   39236966.641,  326158033.312,         37.400,,,,,,
I02, 2025-01-23 00:12:00.000,   39234321.977,  153964197.431,         44.200,   39234318.191,  326136018.454,         37.000,,,,,,
I02, 2025-01-23 00:12:30.000,   39231662.352,  153953762.698,         44.800,   39231659.496,  326113914.991,         36.800,,,,,,
I02, 2025-01-23 00:13:00.000,   39228992.516,  153943286.459,         45.500,   39228989.723,  326091723.619,         36.800,,,,,,
I02, 2025-01-23 00:13:30.000,   39226313.344,  153932769.621,         46.000,   39226309.176,  326069446.236,         37.500,,,,,,
I02, 2025-01-23 00:14:00.000,   39223622.250,  153922211.336,         45.300,   39223618.305,  326047081.056,         37.300,,,,,,
I02, 2025-01-23 00:14:30.000,   39220920.844,  153911612.178,         44.900,   39220917.617,  326024629.315,         36.500,,,,,,
I02, 2025-01-23 00:15:00.000,   39218210.359,  153900972.668,         45.000,   39218206.781,  326002092.106,         37.300,,,,,,
I02, 2025-01-23 00:15:30.000,   39215488.219,  153890292.561,         43.600,   39215485.031,  325979468.900,         37.000,,,,,,
I02, 2025-01-23 00:16:00.000,   39212756.758,  153879571.660,         45.000,   39212752.559,  325956759.228,         36.400,,,,,,
I02, 2025-01-23 00:16:30.000,   39210014.305,  153868810.249,         45.300,   39210009.781,  325933963.734,         35.500,,,,,,
I02, 2025-01-23 00:17:00.000,   39207261.484,  153858008.392,         44.300,   39207257.277,  325911082.582,         36.600,,,,,,
I02, 2025-01-23 00:17:30.000,   39204498.523,  153847166.656,         44.000,   39204495.238,  325888116.964,         37.800,,,,,,
I02, 2025-01-23 00:18:00.000,   39201726.141,  153836284.637,         42.900,   39201722.750,  325865066.039,         38.400,,,,,,
I02, 2025-01-23 00:18:30.000,   39198943.109,  153825363.367,         45.100,   39198939.773,  325841932.002,         37.400,,,,,,
I02, 2025-01-23 00:19:00.000,   39196150.016,  153814402.874,         44.900,   39196146.363,  325818714.826,         37.100,,,,,,
I02, 2025-01-23 00:19:30.000,   39193346.102,  153803401.688,         44.900,   39193342.621,  325795411.455,         37.500,,,,,,
I02, 2025-01-23 00:20:00.000,   39190532.602,  153792361.334,         44.400,   39190529.281,  325772025.124,         37.900,,,,,,
I02, 2025-01-23 00:20:30.000,   39187709.664,  153781281.557,         45.600,   39187705.949,  325748555.322,         38.100,,,,,,
I02, 2025-01-23 00:21:00.000,   39184875.664,  153770162.749,         45.400,   39184872.746,  325725002.783,         36.900,,,,,,
I02, 2025-01-23 00:21:30.000,   39182033.047,  153759004.786,         44.400,   39182029.238,  325701367.319,         38.100,,,,,,
I02, 2025-01-23 00:22:00.000,   39179179.648,  153747808.187,         45.400,   39179175.828,  325677650.027,         37.300,,,,,,
I02, 2025-01-23 00:22:30.000,   39176316.320,  153736572.124,         45.400,   39176312.813,  325653849.172,         38.400,,,,,,
I02, 2025-01-23 00:23:00.000,   39173443.133,  153725297.808,         43.800,   39173439.930,  325629967.259,         38.700,,,,,,
I02, 2025-01-23 00:23:30.000,   39170560.453,  153713984.987,         44.500,   39170557.031,  325606003.793,         39.000,,,,,,
I02, 2025-01-23 00:24:00.000,   39167667.164,  153702633.279,         44.900,   39167664.430,  325581957.949,         38.400,,,,,,
I02, 2025-01-23 00:24:30.000,   39164765.375,  153691243.340,         45.600,   39164762.152,  325557831.125,         38.900,,,,,,
I02, 2025-01-23 00:25:00.000,   39161853.313,  153679815.476,         44.900,   39161849.902,  325533623.971,         38.400,,,,,,
I02, 2025-01-23 00:25:30.000,   39158931.875,  153668349.521,         44.600,   39158928.004,  325509336.127,         38.800,,,,,,
I02, 2025-01-23 00:26:00.000,   39155999.883,  153656845.542,         45.500,   39155996.434,  325484967.743,         37.700,,,,,,
I02, 2025-01-23 00:26:30.000,   39153058.836,  153645303.690,         45.200,   39153054.996,  325460519.125,         38.300,,,,,,
I02, 2025-01-23 00:27:00.000,   39150108.031,  153633724.052,         45.400,   39150104.176,  325435990.462,         38.600,,,,,,
