> PRN,time,C1C,L1C,S1C,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
I02, 2025-01-27 00:00:00.000,   39208747.047,  153863841.417,         45.200,   39208743.668,  325923435.701,         37.100,,,,,,
I02, 2025-01-27 00:00:30.000,   39206009.000,  153853097.307,         45.500,   39206005.773,  325900676.866,         36.900,,,,,,
I02, 2025-01-27 00:01:00.000,   39203261.359,  153842312.850,         44.600,   39203257.969,  325877832.589,         38.600,,,,,,
I02, 2025-01-27 00:01:30.000,   39200502.945,  153831487.942,         44.200,   39200499.922,  325854902.616,         37.800,,,,,,
I02, 2025-01-27 00:02:00.000,   39197734.141,  153820623.662,         44.600,   39197731.477,  325831889.256,         38.300,,,,,,
I02, 2025-01-27 00:02:30.000,   39194955.516,  153809719.322,         44.300,   39194952.523,  325808791.034,         37.900,,,,,,
I02, 2025-01-27 00:03:00.000,   39192166.820,  153798775.223,         45.100,   39192163.258,  325785608.582,         37.200,,,,,,
I02, 2025-01-27 00:03:30.000,   39189367.539,  153787791.223,         45.400,   39189363.746,  325762341.595,         37.000,,,,,,
I02, 2025-01-27 00:04:00.000,   39186558.570,  153776768.072,         44.700,   39186554.906,  325738991.673,         37.100,,,,,,
I02, 2025-01-27 00:04:30.000,   39183739.305,  153765705.393,         45.400,   39183736.105,  325715558.049,         37.200,,,,,,
I02, 2025-01-27 00:05:00.000,   39180910.641,  153754603.522,         45.700,   39180907.039,  325692041.371,         37.500,,,,,,
I02, 2025-01-27 00:05:30.000,   39178070.906,  153743462.205,         45.800,   39178067.711,  325668441.148,         38.300,,,,,,
I02, 2025-01-27 00:06:00.000,   39175222.078,  153732281.864,         45.600,   39175218.781,  325644758.284,         38.100,,,,,,
I02, 2025-01-27 00:06:30.000,   39172363.047,  153721062.465,         45.400,   39172359.676,  325620992.676,         38.400,,,,,,
I02, 2025-01-27 00:07:00.000,   39169494.398,  153709804.681,         45.800,   39169491.234,  325597145.757,         38.500,,,,,,
I02, 2025-01-27 00:07:30.000,   39166615.594,  153698508.586,         44.700,   39166612.680,  325573217.705,         38.800,,,,,,
I02, 2025-01-27 00:08:00.000,   39163727.391,  153687173.680,         43.700,   39163724.305,  325549207.442,         37.900,,,,,,
I02, 2025-01-27 00:08:30.000,   39160828.992,  153675800.367,         44.900,   39160825.684,  325525115.806,         38.400,,,,,,
I02, 2025-01-27 00:09:00.000,   39157921.063,  153664389.163,         44.700,   39157917.801,  325500943.903,         38.300,,,,,,
I02, 2025-01-27 00:09:30.000,   39155003.633,  153652939.841,         44.600,   39155000.188,  325476691.276,         38.100,,,,,,
I02, 2025-01-27 00:10:00.000,   39152076.594,  153641452.747,         45.400,   39152072.855,  325452358.628,         38.100,,,,,,
I02, 2025-01-27 00:10:30.000,   39149139.492,  153629927.653,         45.200,   39149136.273,  325427945.489,         38.200,,,,,,
I02, 2025-01-27 00:11:00.000,   39146192.992,  153618365.156,         45.800,   39146189.727,  325403453.095,         39.200,,,,,,
I02, 2025-01-27 00:11:30.000,   39143237.250,  153606765.166,         45.800,   39143233.902,  325378881.312,         38.100,,,,,,
I02, 2025-01-27 00:12:00.000,   39140271.828,  153595127.457,         45.500,   39140268.250,  325354229.610,         38.800,,,,,,
I02, 2025-01-27 00:12:30.000,   39137296.000,  153583452.827,         46.200,   39137293.570,  325329499.735,         39.100,,,,,,
I02, 2025-01-27 00:13:00.000,   39134311.930,  153571740.959,         45.300,   39134308.816,  325304690.963,         38.400,,,,,,
I02, 2025-01-27 00:13:30.000,   39131318.102,  153559992.497,         44.500,   39131314.781,  325279804.681,         37.700,,,,,,
I02, 2025-01-27 00:14:00.000,   39128315.000,  153548206.717,         45.100,   39128311.484,  325254839.356,         37.700,,,,,,
I02, 2025-01-27 00:14:30.000,   39125302.438,  153536383.941,         45.500,   39125299.035,  325229795.658,         37.800,,,,,,
I02, 2025-01-27 00:15:00.000,   39122280.031,  153524524.774,         45.900,   39122276.918,  325204674.869,         37.600,,,,,,
I02, 2025-01-27 00:15:30.000,   39119248.703,  153512628.876,         45.400,   39119245.160,  325179476.283,         37.900,,,,,,
I02, 2025-01-27 00:16:00.000,   39116207.992,  153500697.001,         46.400,   39116204.285,  325154201.466,         38.200,,,,,,
I02, 2025-01-27 00:16:30.000,   39113158.031,  153488729.463,         45.700,   39113154.496,  325128851.124,         37.700,,,,,,
I02, 2025-01-27 00:17:00.000,   39110099.297,  153476725.827,         45.400,   39110095.410,  325103424.298,         36.200,,,,,,
I02, 2025-01-27 00:17:30.000,   39107031.500,  153464686.114,         45.800,   39107027.598,  325077921.065,         37.600,,,,,,
I02, 2025-01-27 00:18:00.000,   39103953.805,  153452610.833,         45.700,   39103951.070,  325052342.503,         37.400,,,,,,
I02, 2025-01-27 00:18:30.000,   39100867.547,  153440500.106,         46.300,   39100864.852,  325026688.851,         38.200,,,,,,
I02, 2025-01-27 00:19:00.000,   39097772.828,  153428353.323,         45.500,   39097769.867,  325000958.833,         37.900,,,,,,
I02, 2025-01-27 00:19:30.000,   39094668.703,  153416171.561,         47.100,   39094665.629,  324975154.721,         37.300,,,,,,
I02, 2025-01-27 00:20:00.000,   39091555.195,  153403954.407,         46.200,   39091552.121,  324949275.631,         37.500,,,,,,
I02, 2025-01-27 00:20:30.000,   39088433.422,  153391702.673,         46.600,   39088429.863,  324923323.268,         37.100,,,,,,
I02, 2025-01-27 00:21:00.000,   39085302.539,  153379415.438,         47.300,   39085298.809,  324897295.729,         37.300,,,,,,
I02, 2025-01-27 00:21:30.000,   39082162.586,  153367093.493,         46.800,   39082158.641,  324871194.657,         36.900,,,,,,
I02, 2025-01-27 00:22:00.000,   39079013.172,  153354736.909,         46.500,   39079009.938,  324845020.201,         37.600,,,,,,
I02, 2025-01-27 00:22:30.000,   39075855.531,  153342345.661,         46.200,   39075852.609,  324818772.351,         37.300,,,,,,
I02, 2025-01-27 00:23:00.000,   39072689.258,  153329920.471,         45.200,   39072686.363,  324792452.585,         37.700,,,,,,
I02, 2025-01-27 00:23:30.000,   39069514.461,  153317460.845,         46.100,   39069511.246,  324766059.894,         37.900,,,,,,
I02, 2025-01-27 00:24:00.000,   39066330.836,  153304967.236,         45.900,   39066327.305,  324739595.201,         36.800,,,,,,
I02, 2025-01-27 00:24:30.000,   39063138.336,  153292439.729,         46.000,   39063135.035,  324713058.732,         37.000,,,,,,
I02, 2025-01-27 00:25:00.000,   39059937.773,  153279878.719,         45.900,   39059934.031,  324686451.244,         37.900,,,,,,
I02, 2025-01-27 00:25:30.000,   39056728.219,  153267283.817,         46.900,   39056724.910,  324659771.991,         37.300,,,,,,
I02, 2025-01-27 00:26:00.000,   39053509.750,  153254655.570,         47.000,   39053506.820,  324633022.090,         38.200,,,,,,
I02, 2025-01-27 00:26:30.000,   39050283.391,  153241993.931,         47.000,   39050280.168,  324606201.473,         38.300,,,,,,
I02, 2025-01-27 00:27:00.000,   39047048.188,  153229299.037,         46.800,   39047044.816,  324579310.390,         37.800,,,,,,
I02, 2025-01-27 00:27:30.000,   39043804.734,  153216571.170,         46.400,   39043801.207,  324552349.445,         38.200,,,,,,
I02, 2025-01-27 00:28:00.000,   39040553.250,  153203810.371,         46.300,   39040549.844,  324525318.799,         38.600,,,,,,
I02, 2025-01-27 00:28:30.000,   39037292.961,  153191016.295,         46.600,   39037289.523,  324498217.659,         38.400,,,,,,
I02, 2025-01-27 00:29:00.000,   39034024.211,  153178190.018,         47.100,   39034020.836,  324471048.264,         37.500,,,,,,
I02, 2025-01-27 00:29:30.000,   39030747.734,  153165331.278,         45.200,   39030744.098,  324443810.138,         38.600,,,,,,
I02, 2025-01-27 00:30:00.000,   39027462.367,  153152439.803,         46.500,   39027459.145,  324416502.663,         39.000,,,,,,
I02, 2025-01-27 00:30:30.000,   39024169.141,  153139516.468,         45.000,   39024166.102,  324389127.696,         38.700,,,,,,
I02, 2025-01-27 00:31:00.000,   39020867.594,  153126560.582,         45.900,   39020864.824,  324361683.790,         38.400,,,,,,
I02, 2025-01-27 00:31:30.000,   39017558.070,  153113573.346,         45.900,   39017555.383,  324334173.473,         38.600,,,,,,
I02, 2025-01-27 00:32:00.000,   39014240.742,  153100554.064,         45.600,   39014237.828,  324306595.249,         38.500,,,,,,
I02, 2025-01-27 00:32:30.000,   39010915.078,  153087503.084,         47.100,   39010912.102,  324278949.898,         39.000,,,,,,
I02, 2025-01-27 00:33:00.000,   39007581.711,  153074420.676,         46.800,   39007578.082,  324251237.967,         38.700,,,,,,
I02, 2025-01-27 00:33:30.000,   39004239.805,  153061307.109,         47.000,   39004236.398,  324223460.040,         38.800,,,,,,
I02, 2025-01-27 00:34:00.000,   39000889.945,  153048162.035,         46.600,   39000886.598,  324195615.337,         38.600,,,,,,
I02, 2025-01-27 00:34:30.000,   38997531.969,  153034986.182,         46.600,   38997528.793,  324167705.462,         38.600,,,,,,
I02, 2025-01-27 00:35:00.000,   38994166.523,  153021779.398,         46.200,   38994163.172,  324139730.085,         39.400,,,,,,
I02, 2025-01-27 00:35:30.000,   38990793.461,  153008541.826,         46.400,   38990790.684,  324111689.517,         38.800,,,,,,
I02, 2025-01-27 00:36:00.000,   38987412.109,  152995273.804,         47.000,   38987409.656,  324083584.424,         38.900,,,,,,
