> PRN,time,C1C,L1C,S1C,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
I02, 2025-01-07 00:00:00.000,   39507521.766,  155036298.989,         43.200,   39507518.859,  328407005.359,         37.600,,,,,,
I02, 2025-01-07 00:00:30.000,   39506763.227,  155033321.880,         43.500,   39506760.359,  328400699.063,         36.900,,,,,,
I02, 2025-01-07 00:01:00.000,   39505990.969,  155030289.616,         43.800,   39505987.602,  328394275.911,         37.900,,,,,,
I02, 2025-01-07 00:01:30.000,   39505203.375,  155027201.812,         42.400,   39505200.980,  328387735.127,         38.600,,,,,,
I02, 2025-01-07 00:02:00.000,   39504402.789,  155024058.726,         44.300,   39504400.449,  328381077.241,         38.100,,,,,,
I02, 2025-01-07 00:02:30.000,   39503587.859,  155020860.682,         44.800,   39503585.438,  328374302.925,         38.600,,,,,,
I02, 2025-01-07 00:03:00.000,   39502758.672,  155017606.905,         44.700,   39502755.883,  328367410.564,         37.900,,,,,,
I02, 2025-01-07 00:03:30.000,   39501915.766,  155014298.017,         45.300,   39501912.438,  328360401.458,         37.400,,,,,,
I02, 2025-01-07 00:04:00.000,   39501058.250,  155010934.330,         43.100,   39501054.813,  328353276.292,         36.900,,,,,,
I02, 2025-01-07 00:04:30.000,   39500187.039,  155007515.909,         46.100,   39500183.387,  328346035.170,         37.000,,,,,,
I02, 2025-01-07 00:05:00.000,   39499301.984,  155004042.700,         44.900,   39499298.297,  328338677.990,         37.500,,,,,,
I02, 2025-01-07 00:05:30.000,   39498402.766,  155000514.248,         45.900,   39498399.129,  328331203.807,         36.400,,,,,,
I02, 2025-01-07 00:06:00.000,   39497489.977,  154996931.503,         45.100,   39497485.730,  328323614.601,         36.000,,,,,,
I02, 2025-01-07 00:06:30.000,   39496563.180,  154993293.614,         45.700,   39496558.539,  328315908.582,         37.000,,,,,,
I02, 2025-01-07 00:07:00.000,   39495622.258,  154989601.394,         46.400,   39495617.734,  328308087.479,         37.500,,,,,,
I02, 2025-01-07 00:07:30.000,   39494667.227,  154985854.604,         44.200,   39494663.328,  328300150.791,         37.700,,,,,,
I02, 2025-01-07 00:08:00.000,   39493698.563,  154982053.338,         43.800,   39493695.215,  328292098.718,         38.100,,,,,,
I02, 2025-01-07 00:08:30.000,   39492715.625,  154978197.403,         45.900,   39492712.996,  328283930.832,         38.100,,,,,,
I02, 2025-01-07 00:09:00.000,   39491719.375,  154974286.961,         44.400,   39491716.805,  328275647.488,         38.600,,,,,,
I02, 2025-01-07 00:09:30.000,   39490709.484,  154970322.073,         45.200,   39490706.730,  328267248.843,         39.000,,,,,,
I02, 2025-01-07 00:10:00.000,   39489684.898,  154966302.668,         45.300,   39489682.477,  328258734.698,         38.600,,,,,,
I02, 2025-01-07 00:10:30.000,   39488647.031,  154962229.438,         45.000,   39488644.289,  328250106.540,         38.000,,,,,,
I02, 2025-01-07 00:11:00.000,   39487595.109,  154958102.019,         44.600,   39487592.555,  328241363.599,         38.100,,,,,,
I02, 2025-01-07 00:11:30.000,   39486529.641,  154953920.025,         43.600,   39486526.578,  328232505.052,         37.700,,,,,,
I02, 2025-01-07 00:12:00.000,   39485449.594,  154949684.280,         45.400,   39485446.813,  328223532.644,         37.300,,,,,,
I02, 2025-01-07 00:12:30.000,   39484356.555,  154945394.260,         45.900,   39484353.602,  328214445.254,         37.900,,,,,,
I02, 2025-01-07 00:13:00.000,   39483249.883,  154941050.763,         45.300,   39483246.453,  328205244.576,         37.900,,,,,,
I02, 2025-01-07 00:13:30.000,   39482129.258,  154936653.112,         44.600,   39482125.711,  328195929.211,         37.900,,,,,,
I02, 2025-01-07 00:14:00.000,   39480994.586,  154932202.103,         43.100,   39480991.598,  328186500.799,         37.800,,,,,,
I02, 2025-01-07 00:14:30.000,   39479846.930,  154927697.354,         43.700,   39479843.703,  328176958.563,         37.500,,,,,,
I02, 2025-01-07 00:15:00.000,   39478685.273,  154923138.952,         45.300,   39478681.766,  328167302.706,         37.400,,,,,,
I02, 2025-01-07 00:15:30.000,   39477510.133,  154918526.916,         45.500,   39477506.789,  328157533.219,         38.400,,,,,,
I02, 2025-01-07 00:16:00.000,   39476321.555,  154913861.432,         45.200,   39476317.996,  328147650.520,         38.700,,,,,,
I02, 2025-01-07 00:16:30.000,   39475118.984,  154909142.482,         44.300,   39475115.840,  328137654.569,         38.000,,,,,,
I02, 2025-01-07 00:17:00.000,   39473902.461,  154904370.060,         44.300,   39473900.016,  328127545.342,         39.000,,,,,,
I02, 2025-01-07 00:17:30.000,   39472672.844,  154899544.611,         45.200,   39472670.500,  328117323.800,         38.600,,,,,,
I02, 2025-01-07 00:18:00.000,   39471429.719,  154894666.104,         44.300,   39471427.477,  328106989.854,         38.300,,,,,,
