> PRN,time,C1C,L1C,S1C,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
I02, 2025-01-09 00:00:00.000,   39495471.883,  154989005.921,         46.400,   39495467.508,  328306831.142,         37.800,,,,,,
I02, 2025-01-09 00:00:30.000,   39494491.734,  154985159.148,         44.600,   39494487.586,  328298682.686,         37.600,,,,,,
I02, 2025-01-09 00:01:00.000,   39493497.422,  154981257.363,         42.800,   39493493.750,  328290417.731,         38.400,,,,,,
I02, 2025-01-09 00:01:30.000,   39492489.227,  154977301.433,         46.100,   39492486.227,  328282038.075,         38.700,,,,,,
I02, 2025-01-09 00:02:00.000,   39491467.203,  154973291.330,         45.400,   39491464.539,  328273543.671,         39.000,,,,,,
I02, 2025-01-09 00:02:30.000,   39490431.883,  154969227.107,         45.800,   39490428.949,  328264934.662,         38.700,,,,,,
I02, 2025-01-09 00:03:00.000,   39489382.469,  154965108.631,         44.900,   39489379.258,  328256210.711,         38.100,,,,,,
I02, 2025-01-09 00:03:30.000,   39488319.047,  154960935.961,         45.200,   39488315.629,  328247371.970,         38.700,,,,,,
I02, 2025-01-09 00:04:00.000,   39487242.328,  154956710.157,         45.100,   39487239.031,  328238420.667,         38.300,,,,,,
I02, 2025-01-09 00:04:30.000,   39486151.031,  154952429.187,         45.500,   39486147.414,  328229352.486,         37.000,,,,,,
I02, 2025-01-09 00:05:00.000,   39485046.680,  154948094.274,         45.600,   39485042.227,  328220170.050,         36.800,,,,,,
I02, 2025-01-09 00:05:30.000,   39483927.961,  154943704.996,         43.600,   39483923.445,  328210872.427,         36.400,,,,,,
I02, 2025-01-09 00:06:00.000,   39482795.484,  154939261.977,         45.900,   39482791.379,  328201461.001,         37.700,,,,,,
I02, 2025-01-09 00:06:30.000,   39481649.906,  154934765.259,         43.800,   39481645.785,  328191935.824,         38.100,,,,,,
I02, 2025-01-09 00:07:00.000,   39480490.469,  154930215.564,         45.000,   39480486.785,  328182298.402,         37.900,,,,,,
I02, 2025-01-09 00:07:30.000,   39479317.203,  154925611.956,         43.200,   39479313.883,  328172546.810,         38.100,,,,,,
I02, 2025-01-09 00:08:00.000,   39478130.555,  154920954.893,         42.500,   39478126.973,  328162681.976,         38.400,,,,,,
I02, 2025-01-09 00:08:30.000,   39476930.383,  154916244.409,         44.000,   39476926.492,  328152703.987,         37.700,,,,,,
I02, 2025-01-09 00:09:00.000,   39475716.195,  154911480.553,         44.100,   39475712.891,  328142612.968,         38.800,,,,,,
I02, 2025-01-09 00:09:30.000,   39474489.320,  154906663.608,         44.900,   39474485.668,  328132409.468,         38.700,,,,,,
I02, 2025-01-09 00:10:00.000,   39473247.727,  154901793.496,         44.100,   39473244.832,  328122093.345,         39.900,,,,,,
I02, 2025-01-09 00:10:30.000,   39471993.102,  154896870.165,         43.000,   39471990.391,  328111664.490,         38.700,,,,,,
I02, 2025-01-09 00:11:00.000,   39470725.078,  154891893.832,         42.600,   39470722.137,  328101123.335,         38.500,,,,,,
