> PRN,time,C1C,L1C,S1C,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
I02, 2025-01-15 00:00:00.000,   39428502.555,  154726207.997,         43.000,   39428498.977,  327750152.798,         37.700,,,,,,
I02, 2025-01-15 00:00:30.000,   39426887.320,  154719870.717,         43.600,   39426884.254,  327736728.758,         38.100,,,,,,
I02, 2025-01-15 00:01:00.000,   39425260.125,  154713482.786,         43.600,   39425256.617,  327723197.410,         38.400,,,,,,
I02, 2025-01-15 00:01:30.000,   39423618.648,  154707043.627,         44.100,   39423616.027,  327709557.581,         38.900,,,,,,
I02, 2025-01-15 00:02:00.000,   39421965.164,  154700554.541,         43.500,   39421962.703,  327695811.993,         38.500,,,,,,
I02, 2025-01-15 00:02:30.000,   39420298.773,  154694014.947,         42.800,   39420296.180,  327681959.399,         38.400,,,,,,
I02, 2025-01-15 00:03:00.000,   39418619.344,  154687425.252,         44.400,   39418616.902,  327668000.683,         38.900,,,,,,
I02, 2025-01-15 00:03:30.000,   39416927.367,  154680785.162,         43.400,   39416924.645,  327653935.235,         38.400,,,,,,
I02, 2025-01-15 00:04:00.000,   39415222.414,  154674094.550,         43.100,   39415219.645,  327639762.736,         38.600,,,,,,
I02, 2025-01-15 00:04:30.000,   39413504.344,  154667353.898,         44.600,   39413501.781,  327625484.267,         38.700,,,,,,
I02, 2025-01-15 00:05:00.000,   39411773.703,  154660562.978,         42.600,   39411771.230,  327611099.324,         38.500,,,,,,
I02, 2025-01-15 00:05:30.000,   39410030.914,  154653722.155,         42.800,   39410027.688,  327596608.664,         38.600,,,,,,
I02, 2025-01-15 00:06:00.000,   39408274.953,  154646832.025,         44.100,   39408272.020,  327582013.552,         38.300,,,,,,
I02, 2025-01-15 00:06:30.000,   39406506.180,  154639891.120,         43.800,   39406503.563,  327567310.898,         38.800,,,,,,
I02, 2025-01-15 00:07:00.000,   39404725.078,  154632901.346,         43.100,   39404722.410,  327552504.730,         38.700,,,,,,
I02, 2025-01-15 00:07:30.000,   39402930.984,  154625861.905,         44.900,   39402928.805,  327537593.365,         39.000,,,,,,
I02, 2025-01-15 00:08:00.000,   39401124.664,  154618772.694,         43.100,   39401122.445,  327522576.560,         38.800,,,,,,
I02, 2025-01-15 00:08:30.000,   39399305.844,  154611634.066,         44.100,   39399302.988,  327507455.077,         38.800,,,,,,
I02, 2025-01-15 00:09:00.000,   39397473.914,  154604446.420,         43.700,   39397471.352,  327492229.793,         38.800,,,,,,
I02, 2025-01-15 00:09:30.000,   39395630.336,  154597209.683,         43.100,   39395626.723,  327476900.493,         37.700,,,,,,
I02, 2025-01-15 00:10:00.000,   39393773.102,  154589923.182,         44.500,   39393769.430,  327461465.769,         37.400,,,,,,
I02, 2025-01-15 00:10:30.000,   39391904.125,  154582588.470,         43.400,   39391900.152,  327445928.927,         37.900,,,,,,
I02, 2025-01-15 00:11:00.000,   39390022.109,  154575204.577,         44.600,   39390018.938,  327430287.942,         38.400,,,,,,
I02, 2025-01-15 00:11:30.000,   39388128.273,  154567771.623,         44.600,   39388125.301,  327414543.023,         38.700,,,,,,
I02, 2025-01-15 00:12:00.000,   39386221.648,  154560289.846,         43.200,   39386218.875,  327398694.661,         38.300,,,,,,
I02, 2025-01-15 00:12:30.000,   39384302.844,  154552759.566,         44.500,   39384300.395,  327382743.573,         38.700,,,,,,
I02, 2025-01-15 00:13:00.000,   39382371.539,  154545180.844,         44.300,   39382369.145,  327366689.861,         38.400,,,,,,
I02, 2025-01-15 00:13:30.000,   39380427.789,  154537553.782,         45.100,   39380425.648,  327350533.759,         39.000,,,,,,
I02, 2025-01-15 00:14:00.000,   39378471.727,  154529878.419,         45.300,   39378469.230,  327334275.319,         37.900,,,,,,
I02, 2025-01-15 00:14:30.000,   39376503.414,  154522154.335,         45.700,   39376500.867,  327317913.718,         37.900,,,,,,
I02, 2025-01-15 00:15:00.000,   39374523.258,  154514382.462,         45.700,   39374520.375,  327301450.867,         37.600,,,,,,
I02, 2025-01-15 00:15:30.000,   39372530.938,  154506562.883,         46.200,   39372527.695,  327284886.966,         38.300,,,,,,
I02, 2025-01-15 00:16:00.000,   39370525.469,  154498695.108,         45.900,   39370522.762,  327268220.964,         37.800,,,,,,
I02, 2025-01-15 00:16:30.000,   39368508.727,  154490779.691,         46.300,   39368505.973,  327251454.064,         38.500,,,,,,
I02, 2025-01-15 00:17:00.000,   39366479.016,  154482816.160,         45.300,   39366476.754,  327234585.234,         37.200,,,,,,
I02, 2025-01-15 00:17:30.000,   39364437.805,  154474804.787,         46.200,   39364435.219,  327217615.076,         38.400,,,,,,
I02, 2025-01-15 00:18:00.000,   39362384.055,  154466745.673,         46.100,   39362381.504,  327200543.768,         36.400,,,,,,
I02, 2025-01-15 00:18:30.000,   39360318.414,  154458639.912,         46.100,   39360315.863,  327183373.654,         37.900,,,,,,
I02, 2025-01-15 00:19:00.000,   39358240.773,  154450486.575,         46.100,   39358238.066,  327166102.774,         38.300,,,,,,
I02, 2025-01-15 00:19:30.000,   39356150.609,  154442285.817,         46.100,   39356147.953,  327148731.431,         36.900,,,,,,
I02, 2025-01-15 00:20:00.000,   39354048.961,  154434037.660,         44.900,   39354046.234,  327131259.715,         37.500,,,,,,
