> PRN,time,C1C,L1C,S1C,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
I02, 2025-01-02 00:00:00.000,   39523908.328,  155100543.401,         43.400,   39523900.465,  328543141.708,         39.000,,,,,,
I02, 2025-01-02 00:00:30.000,   39523726.508,  155099828.006,         42.800,   39523717.926,  328541625.799,         38.300,,,,,,
I02, 2025-01-02 00:01:00.000,   39523529.219,  155099055.516,         44.500,   39523520.691,  328539988.888,         38.600,,,,,,
I02, 2025-01-02 00:01:30.000,   39523317.586,  155098225.774,         43.600,   39523309.113,  328538230.697,         37.300,,,,,,
I02, 2025-01-02 00:02:00.000,   39523091.203,  155097339.160,         43.800,   39523082.824,  328536352.022,         37.300,,,,,,
I02, 2025-01-02 00:02:30.000,   39522850.719,  155096395.638,         44.100,   39522842.203,  328534352.802,         37.400,,,,,,
I02, 2025-01-02 00:03:00.000,   39522595.563,  155095395.257,         42.600,   39522587.379,  328532233.167,         36.900,,,,,,
I02, 2025-01-02 00:03:30.000,   39522325.625,  155094338.003,         43.900,   39522318.160,  328529993.102,         36.900,,,,,,
I02, 2025-01-02 00:04:00.000,   39522041.641,  155093223.527,         43.800,   39522033.984,  328527631.819,         37.800,,,,,,
I02, 2025-01-02 00:04:30.000,   39521742.859,  155092052.469,         42.400,   39521735.453,  328525150.673,         38.400,,,,,,
I02, 2025-01-02 00:05:00.000,   39521430.148,  155090824.396,         43.100,   39521422.172,  328522548.735,         36.400,,,,,,
I02, 2025-01-02 00:05:30.000,   39521101.813,  155089539.490,         43.700,   39521094.313,  328519826.420,         37.600,,,,,,
I02, 2025-01-02 00:06:00.000,   39520760.391,  155088198.333,         42.200,   39520752.297,  328516984.977,         34.800,,,,,,
I02, 2025-01-02 00:06:30.000,   39520404.305,  155086800.334,         43.000,   39520396.160,  328514023.090,         36.000,,,,,,
I02, 2025-01-02 00:07:00.000,   39520033.648,  155085345.681,         42.600,   39520025.914,  328510941.262,         36.300,,,,,,
I02, 2025-01-02 00:07:30.000,   39519648.031,  155083834.873,         41.700,   39519640.883,  328507740.456,         36.300,,,,,,
I02, 2025-01-02 00:08:00.000,   39519248.344,  155082267.037,         41.500,   39519241.379,  328504418.842,         38.100,,,,,,
I02, 2025-01-02 00:08:30.000,   39518834.180,  155080642.300,         41.400,   39518827.180,  328500976.745,         37.800,,,,,,
I02, 2025-01-02 00:09:00.000,   39518405.523,  155078960.869,         42.700,   39518398.449,  328497414.574,         37.700,,,,,,
I02, 2025-01-02 00:09:30.000,   39517962.938,  155077222.798,         42.700,   39517955.367,  328493732.419,         37.700,,,,,,
I02, 2025-01-02 00:10:00.000,   39517505.578,  155075428.965,         41.700,   39517497.977,  328489932.180,         37.700,,,,,,
I02, 2025-01-02 00:10:30.000,   39517033.688,  155073578.330,         43.600,   39517026.270,  328486011.626,         38.400,,,,,,
I02, 2025-01-02 00:11:00.000,   39516548.078,  155071671.461,         43.400,   39516540.438,  328481971.970,         39.200,,,,,,
I02, 2025-01-02 00:11:30.000,   39516047.141,  155069707.926,         44.100,   39516040.273,  328477812.278,         38.400,,,,,,
I02, 2025-01-02 00:12:00.000,   39515532.133,  155067688.311,         42.900,   39515525.777,  328473533.837,         38.600,,,,,,
I02, 2025-01-02 00:12:30.000,   39515003.250,  155065612.696,         43.200,   39514996.598,  328469136.795,         38.600,,,,,,
I02, 2025-01-02 00:13:00.000,   39514460.055,  155063481.252,         43.300,   39514453.352,  328464621.513,         38.200,,,,,,
I02, 2025-01-02 00:13:30.000,   39513902.422,  155061293.992,         43.000,   39513895.734,  328459988.010,         37.900,,,,,,
I02, 2025-01-02 00:14:00.000,   39513330.883,  155059050.818,         43.000,   39513323.984,  328455236.081,         37.100,,,,,,
I02, 2025-01-02 00:14:30.000,   39512744.648,  155056751.395,         42.900,   39512737.613,  328450365.027,         37.100,,,,,,
I02, 2025-01-02 00:15:00.000,   39512144.422,  155054395.689,         43.600,   39512136.977,  328445374.752,         37.300,,,,,,
I02, 2025-01-02 00:15:30.000,   39511529.953,  155051984.150,         43.200,   39511522.438,  328440266.234,         36.900,,,,,,
I02, 2025-01-02 00:16:00.000,   39510900.453,  155049516.399,         43.500,   39510893.313,  328435038.662,         36.600,,,,,,
I02, 2025-01-02 00:16:30.000,   39510257.695,  155046992.301,         41.700,   39510249.914,  328429691.716,         36.200,,,,,,
I02, 2025-01-02 00:17:00.000,   39509600.141,  155044412.649,         42.300,   39509592.543,  328424227.114,         37.300,,,,,,
I02, 2025-01-02 00:17:30.000,   39508928.516,  155041777.363,         42.700,   39508920.863,  328418644.695,         37.200,,,,,,
