> PRN,time,C1C,L1C,S1C,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
I02, 2025-01-21 00:00:00.000,   39332778.523,  154350563.903,         46.800,   39332775.574,  326954443.915,         38.500,,,,,,
I02, 2025-01-21 00:00:30.000,   39330564.375,  154341873.984,         46.600,   39330561.086,  326936036.390,         37.000,,,,,,
I02, 2025-01-21 00:01:00.000,   39328337.961,  154333138.283,         45.900,   39328334.703,  326917531.885,         37.900,,,,,,
I02, 2025-01-21 00:01:30.000,   39326100.273,  154324356.298,         46.100,   39326096.852,  326898929.336,         38.300,,,,,,
I02, 2025-01-21 00:02:00.000,   39323850.922,  154315529.040,         45.600,   39323847.418,  326880230.939,         37.100,,,,,,
I02, 2025-01-21 00:02:30.000,   39321589.680,  154306655.924,         45.800,   39321586.199,  326861435.395,         36.900,,,,,,
I02, 2025-01-21 00:03:00.000,   39319316.750,  154297738.233,         45.300,   39319313.555,  326842545.385,         36.900,,,,,,
I02, 2025-01-21 00:03:30.000,   39317032.883,  154288774.336,         46.400,   39317029.336,  326823557.495,         37.900,,,,,,
I02, 2025-01-21 00:04:00.000,   39314736.984,  154279764.820,         46.000,   39314733.863,  326804472.994,         37.800,,,,,,
I02, 2025-01-21 00:04:30.000,   39312429.891,  154270710.517,         45.700,   39312426.656,  326785293.626,         38.100,,,,,,
I02, 2025-01-21 00:05:00.000,   39310110.945,  154261610.848,         46.300,   39310107.902,  326766018.147,         38.100,,,,,,
I02, 2025-01-21 00:05:30.000,   39307780.547,  154252466.455,         45.700,   39307777.543,  326746647.940,         37.800,,,,,,
I02, 2025-01-21 00:06:00.000,   39305439.359,  154243277.091,         46.300,   39305435.715,  326727182.467,         37.400,,,,,,
I02, 2025-01-21 00:06:30.000,   39303086.109,  154234043.244,         46.200,   39303082.691,  326707622.766,         37.700,,,,,,
I02, 2025-01-21 00:07:00.000,   39300721.711,  154224764.572,         45.700,   39300718.230,  326687968.114,         37.100,,,,,,
I02, 2025-01-21 00:07:30.000,   39298345.578,  154215441.440,         45.800,   39298342.352,  326668219.296,         37.900,,,,,,
I02, 2025-01-21 00:08:00.000,   39295958.383,  154206073.913,         46.200,   39295954.902,  326648376.444,         37.000,,,,,,
I02, 2025-01-21 00:08:30.000,   39293560.492,  154196662.077,         45.300,   39293556.832,  326628439.708,         37.600,,,,,,
I02, 2025-01-21 00:09:00.000,   39291150.766,  154187206.009,         45.500,   39291147.199,  326608409.303,         37.900,,,,,,
I02, 2025-01-21 00:09:30.000,   39288729.773,  154177706.450,         45.100,   39288726.820,  326588286.766,         38.300,,,,,,
I02, 2025-01-21 00:10:00.000,   39286297.672,  154168162.107,         45.200,   39286294.988,  326568069.374,         38.300,,,,,,
I02, 2025-01-21 00:10:30.000,   39283854.656,  154158574.658,         45.500,   39283851.723,  326547760.650,         39.000,,,,,,
